new,host,a,mx,soa,ns,txt,caa,status_code,cname,has_internal_ips,internal_ips,aaaa,cdn,cdn-name
,jaeger-prd.elo.com.br,"10.98.135.105, 10.98.31.40",,"ns-2034.awsdns-62.co.uk, awsdns-hostmaster.amazon.com","ns-1276.awsdns-31.org, ns-2034.awsdns-62.co.uk, ns-291.awsdns-36.com, ns-632.awsdns-15.net",,,NOERROR,internal-ec2-opentelemetry-alb-309971664.sa-east-1.elb.amazonaws.com,True,"10.98.135.105, 10.98.31.40",,,
,jaeger-tokenization-dev.elo.com.br,,,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com","ns-1479.awsdns-56.org, ns-1854.awsdns-39.co.uk, ns-415.awsdns-51.com, ns-513.awsdns-00.net",,,NOERROR,internal-k8s-dev-intdevin-e6a3ec8865-2056713803.us-east-2.elb.amazonaws.com,,,,,
,lenses-emissaolite-hml.elo.com.br,"172.19.36.161, 172.19.39.91, 172.19.37.45",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-hml-inthmlin-06c2ea747a-1106507211.us-east-2.elb.amazonaws.com,True,"172.19.36.161, 172.19.39.91, 172.19.37.45",,,
,loki-carteiras-digitais-dev.elo.com.br,"172.19.86.180, 172.19.64.98, 172.19.95.235",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-dev-intdevin-e6a3ec8865-1930085994.us-east-2.elb.amazonaws.com,True,"172.19.86.180, 172.19.64.98, 172.19.95.235",,,
,loki-carteiras-digitais-hml.elo.com.br,"172.19.85.101, 172.19.89.236, 172.19.70.233",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-hml-inthmlin-06c2ea747a-1505455189.us-east-2.elb.amazonaws.com,True,"172.19.85.101, 172.19.89.236, 172.19.70.233",,,
,loki-carteiras-digitais-prd.elo.com.br,"10.98.183.100, 10.98.83.179, 10.98.28.153",,"ns-2034.awsdns-62.co.uk, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-prd-prdinter-f0ebd6ebd4-689805493.sa-east-1.elb.amazonaws.com,True,"10.98.183.100, 10.98.83.179, 10.98.28.153",,,
,loki-dev-api.elo.com.br,"172.19.36.26, 172.19.37.87, 172.19.39.170",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-dev-intdevin-e6a3ec8865-1019258736.us-east-2.elb.amazonaws.com,True,"172.19.36.26, 172.19.37.87, 172.19.39.170",,,
,loki-emissaolite-dev.elo.com.br,"172.19.36.121, 172.19.38.114, 172.19.37.206",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-dev-intdevin-e6a3ec8865-1336275662.us-east-2.elb.amazonaws.com,True,"172.19.36.121, 172.19.38.114, 172.19.37.206",,,
,loki-emissaolite-hml.elo.com.br,"172.19.37.45, 172.19.39.91, 172.19.36.161",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-hml-inthmlin-06c2ea747a-1106507211.us-east-2.elb.amazonaws.com,True,"172.19.37.45, 172.19.39.91, 172.19.36.161",,,
,loki-emissaolite-prd.elo.com.br,"10.98.174.185, 10.98.32.177, 10.98.100.183",,"ns-2034.awsdns-62.co.uk, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-prd-prdinter-f0ebd6ebd4-2117146395.sa-east-1.elb.amazonaws.com,True,"10.98.174.185, 10.98.32.177, 10.98.100.183",,,
,loki-hml-api.elo.com.br,"172.19.92.197, 172.19.77.204, 172.19.84.246",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-hml-inthmlin-06c2ea747a-1636574861.us-east-2.elb.amazonaws.com,True,"172.19.92.197, 172.19.77.204, 172.19.84.246",,,
,loki-lyra-dev.elo.com.br,"172.19.86.143, 172.19.91.193, 172.19.79.53",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-dev-intdevin-e6a3ec8865-1455118181.us-east-2.elb.amazonaws.com,True,"172.19.86.143, 172.19.91.193, 172.19.79.53",,,
,loki-novo-simulador-nprd.elo.com.br,"172.27.22.235, 172.27.18.146, 172.27.21.187",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-hml-inthmlin-75a2f1ad6d-1100084279.us-east-2.elb.amazonaws.com,True,"172.27.22.235, 172.27.18.146, 172.27.21.187",,,
,loki-nprd-api.elo.com.br,"172.19.37.45, 172.19.36.161, 172.19.39.91",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-hml-inthmlin-06c2ea747a-1106507211.us-east-2.elb.amazonaws.com,True,"172.19.37.45, 172.19.36.161, 172.19.39.91",,,
,loki-nprd-lyra.elo.com.br,"172.19.91.193, 172.19.86.143, 172.19.79.53",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-dev-intdevin-e6a3ec8865-1455118181.us-east-2.elb.amazonaws.com,True,"172.19.91.193, 172.19.86.143, 172.19.79.53",,,
,loki-prd-api.elo.com.br,,,"ns-2034.awsdns-62.co.uk, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-prd-prdinter-f0ebd6ebd4-2117146395.sa-east-1.elb.amazonaws.com,,,,,
,loki-tokenization-dev.elo.com.br,"172.19.66.153, 172.19.81.149, 172.19.91.2",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-dev-intdevin-e6a3ec8865-2056713803.us-east-2.elb.amazonaws.com,True,"172.19.66.153, 172.19.81.149, 172.19.91.2",,,
,mediab2b-dev.elo.com.br,"18.66.122.114, 18.66.122.25, 18.66.122.91, 18.66.122.52",,"ns-415.awsdns-51.com, awsdns-hostmaster.amazon.com",,,,NOERROR,,,,,True,cloudfront
,mediab2b-hml.elo.com.br,"143.204.215.85, 143.204.215.59, 143.204.215.128, 143.204.215.72",,"ns-415.awsdns-51.com, awsdns-hostmaster.amazon.com",,,,NOERROR,,,,,True,cloudfront
,monitoriaonline.elo.com.br,"104.18.2.31, 104.18.3.31",,"ns1.cloudflare.net, dns.cloudflare.com",,,,NOERROR,"monitoria.elo.com.br, monitoria.elo.com.br.cdn.cloudflare.net",,,"2606:4700::6812:31f, 2606:4700::6812:21f",True,cloudflare
,mta2.mail.elo.com.br,13.111.143.76,,"ns1.exacttarget.com, hostmaster.exacttarget.com",,,,NOERROR,,,,,,
