new,host,a,soa,status_code,aaaa,cname,ns,mx,txt,caa,cdn,cdn-name,has_internal_ips,internal_ips
[x],ca-fr.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],ca-qa1.unibet.com,85.184.97.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,www-qa1.unibet.com,,,,,,,,
[x],ca-si1.unibet.com,85.184.97.4,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,www-si1.unibet.com,,,,,,,,
[x],ca.32red.com,"104.17.116.43, 104.16.185.79","cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,True,cloudflare,,
[x],cadmac.unibet.fr,,,NOERROR,,,,,,,,,,
[x],calcio.it.unibet.com,80.244.187.68,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],cas-qa1.unibet.com,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,trustwave.com,,,,
[x],cas.unibet.com,85.184.96.3,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,"sto.excedodns.se, global.excedodns.com, dns-ext2.northdev.net, dns-ext1.northdev.net, emea.excedodns.eu, world.excedodns.org",,,trustwave.com,,,,
[x],casino-poker.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,"wildcard01.unibet.com, www.unibet.com",,,,,,,,
[x],casinohuone.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,"dns-ext1.northdev.net, world.excedodns.org, global.excedodns.com, emea.excedodns.eu, sto.excedodns.se, dns-ext2.northdev.net",casinohuone-com.mail.protection.outlook.com,"cf9a16ea-5384-4b2c-9b2b-bfb44fd15279, google-site-verification=mqsrDjCeevVOr2U8BLeZWPareN7qdaVEY2VTuRdE5lU, 540af50a-eb7f-4816-825c-287e4623b008, v=spf1 mx ip4:208.73.5.5 a:relay.unibet.com include:_spf.google.com include:sp.unibet.com include:spf.protection.outlook.com ~all, 4997950d-74dd-42d5-b5ad-8aafbff29669, ce336eab-60c3-48a3-90c6-4e0f0385ef54, google-site-verification=KUjGk_E-UlssNUUDs4T57ApY4ACc1aod0pTEiZh5v_Y, facebook-domain-verification=y1sgz906zugtw54hh5jmiuw6883kex, MS=ms63026824","trustwave.com, letsencrypt.org",,,,
[x],cdn-blogs.unibet.com,"65.9.86.102, 65.9.86.72, 65.9.86.74, 65.9.86.115","ns-1503.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2247:1e00:c:79b2:2d40:93a1, 2600:9000:2247:2600:c:79b2:2d40:93a1, 2600:9000:2247:8a00:c:79b2:2d40:93a1, 2600:9000:2247:2e00:c:79b2:2d40:93a1, 2600:9000:2247:5800:c:79b2:2d40:93a1, 2600:9000:2247:be00:c:79b2:2d40:93a1, 2600:9000:2247:6a00:c:79b2:2d40:93a1, 2600:9000:2247:fe00:c:79b2:2d40:93a1",dzr17gv1t462d.cloudfront.net,"ns-1503.awsdns-59.org, ns-1914.awsdns-47.co.uk, ns-408.awsdns-51.com, ns-556.awsdns-05.net",,,,True,cloudfront,,
[x],cdn-fi.unibet.com,"18.244.155.118, 18.244.155.50, 18.244.155.44, 18.244.155.81","ns-922.awsdns-51.net, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2552:c800:2:53f5:b980:93a1, 2600:9000:2552:d200:2:53f5:b980:93a1, 2600:9000:2552:1c00:2:53f5:b980:93a1, 2600:9000:2552:b000:2:53f5:b980:93a1, 2600:9000:2552:ea00:2:53f5:b980:93a1, 2600:9000:2552:ae00:2:53f5:b980:93a1, 2600:9000:2552:6a00:2:53f5:b980:93a1, 2600:9000:2552:cc00:2:53f5:b980:93a1",d2j90v19uy67s6.cloudfront.net,"ns-1137.awsdns-14.org, ns-1548.awsdns-01.co.uk, ns-44.awsdns-05.com, ns-922.awsdns-51.net",,,,True,cloudfront,,
[x],cdn.az.unibet.com,140.228.97.65,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],cdn.ia.unibet.com,192.16.81.131,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],cdn.il.unibet.com,192.16.89.117,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],cdn.in.unibet.com,192.16.80.131,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],cdn.kes.kindredext.net,"13.225.78.33, 13.225.78.51, 13.225.78.40, 13.225.78.129","ns-1658.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,True,cloudfront,,
[x],cdn.pa.unibet.com,50.229.39.210,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],cdn.va.unibet.com,130.254.51.131,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],cdn3.unibet.com,66.212.250.10,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],cdsaesae2.unibet.fr,,,NOERROR,,,,,,,,,,
[x],cfocal.unibet.fr,,,NOERROR,2602:fcbc:0:3::11,,,,,,,,,
[x],ch-de.unibet.com,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],ch-fr.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],chat.32red.com,212.188.185.233,"cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],chat.unibet.fr,89.234.29.234,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],checkmate.unibet.fr,,,NOERROR,,,,,,,,,,
[x],chinese.32red.com,217.158.122.114,"cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],clientssl-qa1.kindredext.net,85.184.97.5,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],clientssl.kindredext.net,85.184.96.1,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],cms-bo.unibet.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],connect.bel1.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],connect.swe1.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],connect.unibet.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],content.unibet.com,192.121.200.193,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],coopsur.unibet.fr,54.144.128.85,,NOERROR,,,,,,,,,,
[x],counter11.unibet.fr,,,NOERROR,,,,,,,,,,
[x],cpprohomeoh.unibet.fr,54.144.128.85,,NOERROR,,,,,,,,,,
[x],cr1.bel1.unibet.com,10.0.0.1,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,True,10.0.0.1
[x],cr1.mlt.unibet.com,10.0.0.1,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,True,10.0.0.1
[x],cs.unibet.com,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,"wildcard01.unibet.com, www.unibet.com",,,,,,,,
[x],cust35.unibet.fr,,,NOERROR,,,,,,,,,,
[x],cwa.unibet.com,217.158.179.90,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],cz.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],d.connect.unibet.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],d.unibet.fr,,,NOERROR,2602:fcbc:0:3::11,,,,,,,,,
[x],d2-dev.aws.unibet.com,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],d2-dev.kindredext.net,,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-233.awsdns-29.com, ns-573.awsdns-07.net, ns-1428.awsdns-50.org, ns-1679.awsdns-17.co.uk",,,,,,,
[x],d2-prod.aws.unibet.com,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],d2-prod1us1.kindredext.net,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],d2-pt.aws.unibet.com,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],d2-pt.kindredext.net,,"ns-1146.awsdns-15.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1146.awsdns-15.org, ns-1698.awsdns-20.co.uk, ns-268.awsdns-33.com, ns-839.awsdns-40.net",,,,,,,
[x],d2-si1.kindredext.net,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],d2-stage1.us1.kindredext.net,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],d2.kindredext.net,"205.251.192.69, 205.251.195.27, 205.251.196.168, 205.251.199.219","ns-69.awsdns-08.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-2011.awsdns-59.co.uk, ns-795.awsdns-35.net, ns-69.awsdns-08.com, ns-1192.awsdns-21.org",,,,,,,
[x],de-qa1.unibet.com,85.184.97.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,www-qa1.unibet.com,,,,,,,,
[x],de-si1.unibet.com,85.184.97.4,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,www-si1.unibet.com,,,,,,,,
[x],de.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,facebook-domain-verification=mgeyo55wi1od6g8hviho0mlowv8119,,,,,
[x],deutsch.32red.com,212.188.185.233,"cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],dev.aws.unibet.com,,,NOERROR,,,,,,,,,,
[x],dev.mariacasino.com,213.80.23.13,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],dev.mt1.kindredext.net,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],dev.us1.unibet.com,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],developer.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],devstatic.32red.com,85.184.97.2,"cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],dicegames.unibet.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],directory-test.unibet.com,192.121.201.45,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],directory.unibet.com,192.121.201.42,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],dk.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],dl.unibet.com,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,"dns-ext1.northdev.net, sto.excedodns.se, world.excedodns.org, emea.excedodns.eu, global.excedodns.com, dns-ext2.northdev.net",mx1-be.unibet.com,,,,,,
[x],dog-qa1.bingo.com,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,www-qa1.bingo.com,,,,,,,,
[x],download.32red.com,109.202.114.129,"cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],download.casino.unibet.com,87.252.210.10,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],download.cwa.unibet.com,217.158.179.90,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,cwa.unibet.com,,,,,,,,
[x],download.unibet.com,74.200.66.194,"dns1.vps.net, root.fileburstcdn.com",NOERROR,,unibet.fileburstcdn.com,,,,,,,,
[x],dr1.xa5.kindredext.net,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],dr1.xa6.kindredext.net,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],ee.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],eishockey.de.unibet.com,80.244.187.68,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],elpaso.unibet.fr,54.144.128.85,,NOERROR,,,,,,,,,,
[x],email.32red.com,"104.17.116.43, 104.16.185.79","cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,True,cloudflare,,
[x],email.bingo.com,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,google-site-verification=UfpTilZr6xyExWkLOpx2b2XpG2w0VVElJfpodhG5m_E,,,,,
[x],email.casinohuone.com,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],email.kolikkopelit.com,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],email.mariacasino.com,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],email.ottokasino.com,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],embedded-preview.unibet.fr,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],embedded-uat.unibet.fr,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],embedded.unibet.fr,85.184.96.42,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],embedstaging.casinohuone.com,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,staging.casinohuone.com,,,,,,,,
[x],enterpriseenrollment.32red.com,20.91.147.72,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu03.swedencentral.cloudapp.azure.com, pexsucpeu01.northeurope.cloudapp.azure.com",,,,,True,azure,,
[x],enterpriseenrollment.unibet.com,52.236.189.96,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,"manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu02.westeurope.cloudapp.azure.com, pexsucpeu03.swedencentral.cloudapp.azure.com",,,,,True,azure,,
[x],enterpriseregistration.32red.com,20.190.137.40,"internal.akadns.net, hostmaster.akamai.com",NOERROR,,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.akadns.net",,,,,True,azure,,
[x],enterpriseregistration.unibet.com,20.190.137.40,"tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.trafficmanager.net",,,,,True,azure,,
[x],er0.gbr1.unibet.com,85.184.102.255,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],er0.ita2.unibet.com,85.184.105.255,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],er0.swe3.unibet.com,85.184.103.251,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],er1.esp1.unibet.com,185.9.102.254,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],er1.mlt.unibet.com,,,NOERROR,,,,,,,,,,
[x],es.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],espanol.32red.com,,"cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],et.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,"wildcard01.unibet.com, www.unibet.com","sto.excedodns.se, emea.excedodns.eu, world.excedodns.org, global.excedodns.com, dns-ext1.northdev.net, dns-ext2.northdev.net",,,,,,,
[x],eu-qa1.mariacasino.com,85.184.97.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,www-qa1.mariacasino.com,,,,,,,,
[x],eu-si1.mariacasino.com,85.184.97.4,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,www-si1.mariacasino.com,,,,,,,,
[x],eu.mariacasino.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,"dns-ext2.northdev.net, sto.excedodns.se, world.excedodns.org, global.excedodns.com, emea.excedodns.eu, dns-ext1.northdev.net",,,,,,,
[x],eu.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,www.unibet.com,,,,,,,,
[x],eum.bingo.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,eum.unicdn.net,"sto.excedodns.se, emea.excedodns.eu, world.excedodns.org, dns-ext1.northdev.net, dns-ext2.northdev.net, global.excedodns.com",,,,,,,
[x],eum.casinohuone.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,eum.unicdn.net,,,,,,,,
[x],eum.kolikkopelit.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,eum.unicdn.net,,,,,,,,
[x],eum.mariacasino.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,eum.unicdn.net,,,,,,,,
[x],eum.ottokasino.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,eum.unicdn.net,,,,,,,,
[x],eum.storspiller.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,eum.unicdn.net,"sto.excedodns.se, emea.excedodns.eu, world.excedodns.org, dns-ext1.northdev.net, dns-ext2.northdev.net, global.excedodns.com",,,,,,,
[x],eum.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,eum.unicdn.net,"sto.excedodns.se, emea.excedodns.eu, world.excedodns.org, dns-ext1.northdev.net, dns-ext2.northdev.net, global.excedodns.com",,,,,,,
[x],europe1.connect.unibet.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],events.32red.com,195.244.203.12,"cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],events.livescore.unibet.com,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,livescore.unibet.com,,,,,,,,
[x],events.unibet.fr,,,NOERROR,2602:fcbc:0:3::11,,,,,,,,,
[x],evolivecasino.bingo.com,"108.157.229.78, 108.157.229.121, 108.157.229.107, 108.157.229.34","ns-175.awsdns-21.com, awsdns-hostmaster.amazon.com",NOERROR,,"evolivecasino-unibet-com.evonetworks.net, d15e89s6zlksza.cloudfront.net","ns-1184.awsdns-20.org, ns-175.awsdns-21.com, ns-1806.awsdns-33.co.uk, ns-1000.awsdns-61.net",,,,True,cloudfront,,
[x],evolivecasino.casinohuone.com,"18.66.122.44, 18.66.122.124, 18.66.122.119, 18.66.122.104","ns-175.awsdns-21.com, awsdns-hostmaster.amazon.com",NOERROR,,"evolivecasino-unibet-com.evonetworks.net, d15e89s6zlksza.cloudfront.net","ns-1000.awsdns-61.net, ns-1184.awsdns-20.org, ns-175.awsdns-21.com, ns-1806.awsdns-33.co.uk",,,,True,cloudfront,,
[x],evolivecasino.kolikkopelit.com,"18.66.122.44, 18.66.122.119, 18.66.122.124, 18.66.122.104","ns-175.awsdns-21.com, awsdns-hostmaster.amazon.com",NOERROR,,"evolivecasino-unibet-com.evonetworks.net, d15e89s6zlksza.cloudfront.net","ns-1184.awsdns-20.org, ns-175.awsdns-21.com, ns-1806.awsdns-33.co.uk, ns-1000.awsdns-61.net",,,,True,cloudfront,,
[x],evolivecasino.mariacasino.com,"18.66.122.119, 18.66.122.104, 18.66.122.124, 18.66.122.44","ns-175.awsdns-21.com, awsdns-hostmaster.amazon.com",NOERROR,,"evolivecasino-unibet-com.evonetworks.net, d15e89s6zlksza.cloudfront.net","ns-175.awsdns-21.com, ns-1806.awsdns-33.co.uk, ns-1000.awsdns-61.net, ns-1184.awsdns-20.org",,,,True,cloudfront,,
[x],evolivecasino.ottokasino.com,"18.66.248.55, 18.66.248.125, 18.66.248.106, 18.66.248.11","ns-175.awsdns-21.com, awsdns-hostmaster.amazon.com",NOERROR,,"evolivecasino-unibet-com.evonetworks.net, d15e89s6zlksza.cloudfront.net","ns-1806.awsdns-33.co.uk, ns-1000.awsdns-61.net, ns-1184.awsdns-20.org, ns-175.awsdns-21.com",,,,True,cloudfront,,
[x],evolivecasino.storspiller.com,"18.66.122.124, 18.66.122.119, 18.66.122.44, 18.66.122.104","ns-175.awsdns-21.com, awsdns-hostmaster.amazon.com",NOERROR,,"evolivecasino-unibet-com.evonetworks.net, d15e89s6zlksza.cloudfront.net","ns-175.awsdns-21.com, ns-1806.awsdns-33.co.uk, ns-1000.awsdns-61.net, ns-1184.awsdns-20.org",,,,True,cloudfront,,
[x],evolivecasino.unibet.com,"18.165.227.126, 18.165.227.118, 18.165.227.119, 18.165.227.78","ns-175.awsdns-21.com, awsdns-hostmaster.amazon.com",NOERROR,,"evolivecasino-unibet-com.evonetworks.net, d15e89s6zlksza.cloudfront.net","ns-1184.awsdns-20.org, ns-1806.awsdns-33.co.uk, ns-175.awsdns-21.com, ns-1000.awsdns-61.net",,,,True,cloudfront,,
[x],evolivecasino.vladcazino.ro,"13.32.110.26, 13.32.110.79, 13.32.110.87, 13.32.110.61","ns-175.awsdns-21.com, awsdns-hostmaster.amazon.com",NOERROR,,"unibet-ro.evonetworks.net, evolivecasino-unibet-com.evonetworks.net, d15e89s6zlksza.cloudfront.net","ns-1000.awsdns-61.net, ns-1184.awsdns-20.org, ns-175.awsdns-21.com, ns-1806.awsdns-33.co.uk",,,,True,cloudfront,,
[x],external.unibet.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],external2test.connect.unibet.com,,,NOERROR,,,,,,,,,,
[x],external5.connect.unibet.com,,,NOERROR,,,,,,,,,,
[x],extwebfarm.unibet.com,217.158.179.89,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],feed.unibet.fr,178.22.245.147,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],ferme.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],fi-qa1.unibet.com,85.184.97.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,www-qa1.unibet.com,,,,,,,,
[x],fi-si1.unibet.com,85.184.97.4,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,www-si1.unibet.com,"sto.excedodns.se, emea.excedodns.eu, world.excedodns.org, global.excedodns.com, dns-ext1.northdev.net, dns-ext2.northdev.net",,,,,,,
[x],fi.bingo.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,bingo.com,"global.excedodns.com, dns-ext1.northdev.net, dns-ext2.northdev.net, sto.excedodns.se, emea.excedodns.eu, world.excedodns.org",bingo-com.mail.protection.outlook.com,"google-site-verification=UfpTilZr6xyExWkLOpx2b2XpG2w0VVElJfpodhG5m_E, 0d1cc225-fdd7-49de-8b9a-fff714f84ffd, S/ui88PEDmFfuuY4Sl7RL8JweTg5nII9g7y5Z3m56n1h7KjbtVQw+Gn3ggQwjRThi8993sjd+7fw/9B3QNOMqQ==, v=spf1 mx ip4:66.150.108.0/24 ip4:64.74.103.0/24 ip4:63.251.34.0/24 ip4:66.150.108.0/24 ip4:69.25.247.0/24 include:sp.unibet.com include:spf.protection.outlook.com include:spf.mandrillapp.com include:custhelp.com -all, facebook-domain-verification=lppn3kjki78nyfi5uxnva8ypo1ngn4, d738c231-2e90-4d58-a56f-eda6e327f304, MS=ms44757756, 19b382b3-055c-4563-91aa-346dd1158e66, google-site-verification=m0BCAxF9TtZ565Wgss1bKa9_GDvNIyKea6Kqvbi5bng","trustwave.com, letsencrypt.org",,,,
[x],fi.igame.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,www.igame.com,,,,,,,,
[x],fi.mariacasino.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,www.mariacasino.com,,,,,,,,
[x],fi.unibetblog-staging.kes.kindredext.net,"18.196.219.27, 35.157.14.239, 35.157.221.106","ns-1658.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],fi.unibetblog.kes.kindredext.net,"18.157.217.10, 3.68.142.40, 3.125.131.213","ns-1658.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],financials.32red.com,217.158.122.115,"cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],fl.unibet.fr,,,NOERROR,,,,,,,,,,
[x],fodbold.dk.unibet.com,80.244.187.68,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],fogadas.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],football.fr.unibet.com,80.244.187.68,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],football.uk.unibet.com,80.244.187.68,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],forms8eu.32red.com,185.9.103.134,"cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],forms8uk.32red.com,185.9.103.135,"cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],fotbold.no.unibet.com,80.244.187.68,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],fotboll.se.unibet.com,80.244.187.68,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],fr.unibet.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,facebook-domain-verification=sldeqd6rodqbw7ajep6l1fhjfq6if3,,,,,
[x],fr0.deu2.unibet.com,85.184.104.250,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,"sto.excedodns.se, emea.excedodns.eu, world.excedodns.org, global.excedodns.com, dns-ext1.northdev.net, dns-ext2.northdev.net",,,,,,,
[x],fr0.ita3.unibet.com,85.184.105.250,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],fr1.ita3.unibet.com,85.184.105.249,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],francais.32red.com,212.188.185.242,"cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],frontstage.igame.com,,,NOERROR,,,,,,,,,,
[x],fs.unibet.com,192.36.69.119,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],ftp.mail.bingo.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],ftp1.pio.unibet.com,85.184.106.131,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,sftp1.unibet.com,,,,,,,,
[x],ftp2.32red.com,195.244.203.54,"cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
