input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tech_,csp_domains_,tls_subject_org_,final_url,cdn_name,cdn,tls_self_signed
portfolio.metafi-dev.codefi.network,Portfolio dApp,200,1455,portfolio.metafi-dev.codefi.network,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-11-04T00:00:00Z,2023-12-03T23:59:59Z,CN=portfolio.metafi-dev.codefi.network,portfolio.metafi-dev.codefi.network,www.portfolio.metafi-dev.codefi.network,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,0e7994496d5a03177314b072f2fa1616,cebe16a7b4baabc777b42ee4a99c0101cfb135034f3df1649a6349c0089cac10,,ctls,portfolio.metafi-dev.codefi.network,443,https://portfolio.metafi-dev.codefi.network:443,https,AmazonS3,text/html,GET,143.204.215.122,/,1231280935,2600:9000:214f:6400:12:464f:fa80:93a1,1,False,Amazon Web Services,,,,cloudfront,True,
storage-pl-946.codefi.network,,404,21,storage-pl-946.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,True,2023-04-30T21:52:26Z,2024-04-29T21:52:26Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,979fb8dfccfcca97908bb540277e0af5,8ecf2759d9ee01f49cf8b712dfbdf7bdecd345273f0d2632c0fbf297550b01f8,,ctls,storage-pl-946.codefi.network,443,https://storage-pl-946.codefi.network:443,https,nginx/1.17.10,text/plain,GET,13.37.172.42,/,-1669793162,13.37.17.240,1,False,Nginx:1.17.10,,Acme Co,,,,True
storage-pl-947.codefi.network,,404,21,,,,,,,,,,,,,,,,,,,,,80,http://storage-pl-947.codefi.network:80,http,nginx/1.17.10,text/plain,GET,13.37.172.42,/,-1669793162,13.36.142.62,1,False,Nginx:1.17.10,,,,,,
storage-pl-948.codefi.network,,404,21,,,,,,,,,,,,,,,,,,,,,80,http://storage-pl-948.codefi.network:80,http,nginx/1.17.10,text/plain,GET,13.37.172.42,/,-1669793162,13.36.142.62,1,False,Nginx:1.17.10,,,,,,
storage-staging.codefi.network,401 Authorization Required,401,582,storage-staging.codefi.network,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-09-24T00:00:00Z,2023-09-24T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,storage-staging.codefi.network,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",123dc6cb10824bf3bd6ad3e63dedd426,ab2385033080cc94130e416ab83a91387268fd33a59cb4c600983a881a7f2f76,,ctls,storage-staging.codefi.network,443,https://storage-staging.codefi.network:443,https,cloudflare,text/html,GET,172.67.4.26,/,-388061307,2606:4700:10::ac43:41a,14,False,HSTS,,"Cloudflare, Inc.",,cloudflare,True,
swap.metaswap.codefi.network,,200,63,swap.metaswap.codefi.network,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-02-20T00:00:00Z,2024-02-19T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,metaswap.codefi.network,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3f76c8e79d4ea02ee941e35e739e165f,d286c2e3c160f955893cd97fb95026b43f4c6133addafe52a8a88529fc7f213d,True,ctls,swap.metaswap.codefi.network,443,https://swap.metaswap.codefi.network:443,https,cloudflare,application/json,GET,104.18.30.68,/,1593207841,2606:4700::6812:1f44,1,False,HSTS,https:,"Cloudflare, Inc.",,cloudflare,True,
token-api.metaswap.codefi.network,,200,63,token-api.metaswap.codefi.network,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-02-20T00:00:00Z,2024-02-19T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,metaswap.codefi.network,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3f76c8e79d4ea02ee941e35e739e165f,d286c2e3c160f955893cd97fb95026b43f4c6133addafe52a8a88529fc7f213d,True,ctls,token-api.metaswap.codefi.network,443,https://token-api.metaswap.codefi.network:443,https,cloudflare,application/json,GET,104.18.31.68,/,1593207841,2606:4700::6812:1e44,1,False,HSTS,https:,"Cloudflare, Inc.",,cloudflare,True,
token-exp.metafi-dev.codefi.network,,403,42,token-exp.metafi-dev.codefi.network,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a1bea8cee4bd16218a2566927f36d4ad,5ad02ba610dd30a514d460e52005386217b646ce62c8c9f7164b8f9d11868523,True,ctls,token-exp.metafi-dev.codefi.network,443,https://token-exp.metafi-dev.codefi.network:443,https,cloudflare,application/json,GET,104.18.12.27,/,768769774,2606:4700::6812:c1b,1,False,HSTS,,"Cloudflare, Inc.",,cloudflare,True,
token.metafi-dev.codefi.network,,200,63,token.metafi-dev.codefi.network,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a1bea8cee4bd16218a2566927f36d4ad,5ad02ba610dd30a514d460e52005386217b646ce62c8c9f7164b8f9d11868523,True,ctls,token.metafi-dev.codefi.network,443,https://token.metafi-dev.codefi.network:443,https,cloudflare,application/json,GET,104.18.12.27,/,1593207841,2606:4700::6812:c1b,1,False,HSTS,https:,"Cloudflare, Inc.",,cloudflare,True,
webhook-api.codefi.network,,404,63,webhook-api.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=webhook-api.codefi.network,webhook-api.codefi.network,websocket-api.codefi.network,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6607bc39246171829cec1cc7da26bdbf,1e0c557cb6a0289d7d8552f22465abb84c662a058d99c55901eda4df6f1dde9e,,ctls,webhook-api.codefi.network,80,http://webhook-api.codefi.network:80,http,,application/json,GET,13.39.191.204,/,-1793755213,52.47.145.204,1,False,Node.js,,,https://webhook-api.codefi.network:443/,,,
