new,host,a,soa,status_code,cdn,cdn-name,ns,cname,mx,txt,aaaa,caa,has_internal_ips,internal_ips
[x],strom.qa.rivianservices.com,"143.204.89.64, 143.204.89.58, 143.204.89.7, 143.204.89.10","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],subscriptionws.qa.rivianservices.com,"18.154.63.37, 18.154.63.7, 18.154.63.122, 18.154.63.23","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],supercongested.qa.rivianservices.com,"143.204.89.58, 143.204.89.7, 143.204.89.10, 143.204.89.64","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],supplierslogin.rivian.com,"3.22.38.62, 3.14.189.79, 3.134.152.141","ns-280.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],sweetandsaltycorner.qa.rivianservices.com,"13.32.208.100, 13.32.208.91, 13.32.208.34, 13.32.208.102","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],syagcom.qa.rivianservices.com,"13.32.208.91, 13.32.208.100, 13.32.208.102, 13.32.208.34","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],syarifcollectionsolo.qa.rivianservices.com,"143.204.89.7, 143.204.89.10, 143.204.89.58, 143.204.89.64","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],syd05-prd-pimva-01a.qa.rivianservices.com,"143.204.89.7, 143.204.89.64, 143.204.89.10, 143.204.89.58","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],system-alpha-repository-postgresmx.qa.rivianservices.com,"143.204.89.10, 143.204.89.7, 143.204.89.64, 143.204.89.58","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],system-master-mirror-my-oceania.qa.rivianservices.com,"13.227.173.46, 13.227.173.117, 13.227.173.118, 13.227.173.82","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1084.awsdns-07.org, ns-1923.awsdns-48.co.uk, ns-472.awsdns-59.com, ns-920.awsdns-51.net",,,,,,,
[x],system-v2-resourcesinfomediaconfig-helpdesk.qa.rivianservices.com,"18.154.63.37, 18.154.63.122, 18.154.63.23, 18.154.63.7","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],systempostgresql-domain.qa.rivianservices.com,"108.156.60.7, 108.156.60.3, 108.156.60.110, 108.156.60.59","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],systemstaging-partner.qa.rivianservices.com,"18.154.63.37, 18.154.63.122, 18.154.63.23, 18.154.63.7","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],systemv3wiki.qa.rivianservices.com,"13.227.173.46, 13.227.173.82, 13.227.173.117, 13.227.173.118","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1084.awsdns-07.org, ns-1923.awsdns-48.co.uk, ns-472.awsdns-59.com, ns-920.awsdns-51.net",,,,,,,
[x],tac.qa.rivianservices.com,"13.32.208.91, 13.32.208.102, 13.32.208.34, 13.32.208.100","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],tas3.qa.rivianservices.com,"143.204.89.58, 143.204.89.7, 143.204.89.10, 143.204.89.64","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],tdsrcs-ms12-hc.qa.rivianservices.com,"18.154.63.23, 18.154.63.37, 18.154.63.7, 18.154.63.122","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],te-3-5.qa.rivianservices.com,"143.204.89.58, 143.204.89.7, 143.204.89.10, 143.204.89.64","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],teamapistreaming.qa.rivianservices.com,"13.227.173.82, 13.227.173.117, 13.227.173.46, 13.227.173.118","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1084.awsdns-07.org, ns-1923.awsdns-48.co.uk, ns-472.awsdns-59.com, ns-920.awsdns-51.net",,,,,,,
[x],teamapproval.qa.rivianservices.com,"143.204.89.7, 143.204.89.10, 143.204.89.64, 143.204.89.58","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1084.awsdns-07.org, ns-1923.awsdns-48.co.uk, ns-472.awsdns-59.com, ns-920.awsdns-51.net",,,,,,,
[x],temple-run-2.qa.rivianservices.com,"143.204.89.7, 143.204.89.64, 143.204.89.10, 143.204.89.58","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],tempprivate.qa.rivianservices.com,"143.204.89.10, 143.204.89.58, 143.204.89.64, 143.204.89.7","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],tesinafornero.qa.rivianservices.com,"108.156.60.110, 108.156.60.59, 108.156.60.3, 108.156.60.7","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
