input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,final_url,csp_domains_,cdn_name,cdn,tls_expired
careers.sqills.com,Sqills,200,40982,AS16509,AS16509,Unknown,99.80.0.0/15,careers.sqills.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-20T06:55:51Z,2023-06-18T06:55:50Z,CN=careers.sqills.com,careers.sqills.com,careers.sqills.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0c98c447f3ccbd6ea16676d4c42fc20d,a5f07436dc922577efef413d38da8fd94fd7eb7282df312d9f4fbf2a105f3244,,ctls,careers.sqills.com,443,https://careers.sqills.com:443,https,Apache,text/html,GET,99.80.0.232,/,512019144,99.80.128.95,HSTS,470,False,,https:,,,
community.sqills.com,Sqills Community - Sqills Community,200,57440,AS16509,AMAZON-02,US,18.66.102.0/24,community.sqills.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-02T00:00:00Z,2024-05-30T23:59:59Z,CN=community.sqills.com,community.sqills.com,community.sqills.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bcc703cdb0a73279ea24e40be07227fb,5c471da9288d97cdb2fe9f9cdf36800eb4c5c08d61c30d9c9806d967329f98cc,,ctls,community.sqills.com,443,https://community.sqills.com:443,https,nginx,text/html,GET,18.66.97.71,/,-1840324437,18.66.97.121,Ruby on Rails,583,False,https://community.sqills.com/login,https://community.sqills.com/highlight-js/,cloudfront,True,
ctf.red.sqills.team,Sqills CTF,200,4878,AS16509,AS16509,Unknown,18.200.0.0/14,ctf.red.sqills.team,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-11-16T00:00:00Z,2023-12-15T23:59:59Z,CN=*.red.sqills.team,*.red.sqills.team,*.red.sqills.team,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,17efb780402908fe6c9b27aa4c327357,fbd101078bb11930752d7c498f1bc5c20a6fdb95e027953272cc37d35ba3d4a9,True,ctls,ctf.red.sqills.team,443,https://ctf.red.sqills.team:443,https,gunicorn,text/html,GET,18.193.160.53,/,970696165,35.157.25.24,gunicorn,144,False,,,,,
cvs.test.sqills.com,404 Not Found,404,146,AS20847,PREVIDER-AS,NL,84.241.158.0/24,,,,,,,,,,,,,,,,,,,,80,http://cvs.test.sqills.com:80,http,nginx,text/html,GET,84.241.158.137,/,1494302000,84.241.158.137,Nginx,8,False,,,,,
d-cobs.prod.sqills.com,404 Not Found,404,146,AS20847,PREVIDER-AS,NL,84.241.158.0/24,d-cobs.prod.sqills.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-15T00:00:00Z,2024-01-13T23:59:59Z,CN=*.prod.sqills.com,*.prod.sqills.com,prod.sqills.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,d0eacdb8450c0484c7f21531c539481f,33a0226a5042f300c32b377c64d237b6f3492d974ffcf1187e52c63a27eaeffe,True,ctls,d-cobs.prod.sqills.com,443,https://d-cobs.prod.sqills.com:443,https,nginx,text/html,GET,84.241.158.135,/,1494302000,84.241.158.135,Nginx,8,False,,,,,
dashboard.booking.ouigo-b-acc.cloud.sqills.com,,404,14,AS16509,AS16509,Unknown,3.64.0.0/12,,,,,,,,,,,,,,,,,,,,80,http://dashboard.booking.ouigo-b-acc.cloud.sqills.com:80,http,awselb/2.0,text/plain,GET,3.70.101.110,/,997500400,3.77.77.53,,1,False,,,,,
dummy.ouigo-prod.cloud.sqills.com,,404,14,AS16509,AS16509,Unknown,18.200.0.0/14,dummy.ouigo-prod.cloud.sqills.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-10T00:00:00Z,2023-11-25T23:59:59Z,CN=*.ouigo-prod.cloud.sqills.com,*.ouigo-prod.cloud.sqills.com,*.ouigo-prod.cloud.sqills.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2df58892101f7722df7d5a6347d834a0,91e2c551afd3f9d2f780ec30b199a7874e6c63435491edc4c875ffa8f34dbdd0,True,ctls,dummy.ouigo-prod.cloud.sqills.com,443,https://dummy.ouigo-prod.cloud.sqills.com:443,https,awselb/2.0,text/plain,GET,18.196.138.115,/,997500400,52.58.203.27,,1,False,,,,,
ext-135.vdc.sqills.com,404 Not Found,404,548,AS20847,PREVIDER-AS,NL,84.241.158.0/24,ext-135.vdc.sqills.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-03-06T00:00:00Z,2024-04-03T23:59:59Z,CN=*.sqills.com,*.sqills.com,sqills.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,1545be23843e054326479b998cc631ff,9ced9cb00cebad4cc95da2a6ecabccb73cdc90efb6f5cdd6afcbaefe34a67b66,True,ctls,ext-135.vdc.sqills.com,443,https://ext-135.vdc.sqills.com:443,https,nginx,text/html,GET,84.241.158.135,/,566218143,84.241.158.135,Nginx,14,False,,,,,
ext-137.vdc.sqills.com,404 Not Found,404,548,AS20847,PREVIDER-AS,NL,84.241.158.0/24,ext-137.vdc.sqills.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-01-12T00:00:00Z,2024-02-05T23:59:59Z,CN=*.test.sqills.com,*.test.sqills.com,test.sqills.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3375b0465f4cf1bfe0b54b5284458140,91b9df573b798d8fb5cd9cb23bcda79f7145fd841a62f430e6af0429c73804dd,True,ctls,ext-137.vdc.sqills.com,443,https://ext-137.vdc.sqills.com:443,https,nginx,text/html,GET,84.241.158.137,/,566218143,84.241.158.137,Nginx,14,False,,,,,
ext-138.vdc.sqills.com,404 Not Found,404,146,AS20847,PREVIDER-AS,NL,84.241.158.0/24,ext-138.vdc.sqills.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-08-29T00:00:00Z,2023-09-26T23:59:59Z,CN=*.accept.sqills.com,*.accept.sqills.com,accept.sqills.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,24b575ce23cfad60d23d00565bbc902e,92b75b2bce5febc6b21996e8c5287347242194e2ac2f887eec21a65f4c1c31e2,True,ctls,ext-138.vdc.sqills.com,443,https://ext-138.vdc.sqills.com:443,https,nginx,text/html,GET,84.241.158.138,/,1494302000,84.241.158.138,Nginx,8,False,,,,,
ext-143.vdc.sqills.com,404 Not Found,404,146,AS20847,PREVIDER-AS,NL,84.241.158.0/24,,,,,,,,,,,,,,,,,,,,80,http://ext-143.vdc.sqills.com:80,http,nginx,text/html,GET,84.241.158.143,/,1494302000,84.241.158.143,Nginx,8,False,,,,,
ext-155.vdc.sqills.com,404 Not Found,404,146,AS20847,PREVIDER-AS,NL,84.241.158.0/24,ext-155.vdc.sqills.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-03-06T00:00:00Z,2024-04-03T23:59:59Z,CN=*.sqills.com,*.sqills.com,sqills.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,1545be23843e054326479b998cc631ff,9ced9cb00cebad4cc95da2a6ecabccb73cdc90efb6f5cdd6afcbaefe34a67b66,True,ctls,ext-155.vdc.sqills.com,443,https://ext-155.vdc.sqills.com:443,https,nginx,text/html,GET,84.241.158.155,/,1494302000,84.241.158.155,Nginx,8,False,,,,,
ext-158.vdc.sqills.com,404 Not Found,404,548,AS20847,PREVIDER-AS,NL,84.241.158.0/24,ext-158.vdc.sqills.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-08-29T00:00:00Z,2023-09-26T23:59:59Z,CN=*.accept.sqills.com,*.accept.sqills.com,accept.sqills.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,24b575ce23cfad60d23d00565bbc902e,92b75b2bce5febc6b21996e8c5287347242194e2ac2f887eec21a65f4c1c31e2,True,ctls,ext-158.vdc.sqills.com,443,https://ext-158.vdc.sqills.com:443,https,nginx,text/html,GET,84.241.158.158,/,566218143,84.241.158.158,Nginx,14,False,,,,,
fargate.ouigo-acc.cloud.sqills.com,,404,14,AS16509,AS16509,Unknown,3.64.0.0/12,fargate.ouigo-acc.cloud.sqills.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-10T00:00:00Z,2024-01-10T23:59:59Z,CN=*.ouigo-acc.cloud.sqills.com,*.ouigo-acc.cloud.sqills.com,*.ouigo-acc.cloud.sqills.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,002738095e40619d0c29c1b69a514c9b,60833d28fa1a571d11a26a2ec79937ba77b3fa1893050ab3bc69cdf07b68920b,True,ctls,fargate.ouigo-acc.cloud.sqills.com,443,https://fargate.ouigo-acc.cloud.sqills.com:443,https,awselb/2.0,text/plain,GET,3.69.57.190,/,997500400,18.158.147.225,,1,False,,,,,
guard.sqills.com,Sqillguard - Login,200,2148,AS20857,"TRANSIP-AS Amsterdam, the Netherlands",NL,136.144.128.0/17,guard.sqills.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-06T00:00:00Z,2024-04-03T23:59:59Z,CN=*.sqills.com,*.sqills.com,sqills.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,1545be23843e054326479b998cc631ff,9ced9cb00cebad4cc95da2a6ecabccb73cdc90efb6f5cdd6afcbaefe34a67b66,True,ctls,guard.sqills.com,443,https://guard.sqills.com:443,https,nginx,text/html,GET,136.144.175.152,/,-497470662,136.144.175.152,Nginx,69,False,https://guard.sqills.com/login,,,,
guard.test.sqills.com,Sqillguard - Login,200,2148,AS20857,"TRANSIP-AS Amsterdam, the Netherlands",NL,136.144.128.0/17,guard.test.sqills.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,2022-01-06T00:00:00Z,2023-02-04T23:59:59Z,CN=*.test.sqills.com,*.test.sqills.com,test.sqills.com,"CN=Sectigo ECC Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Domain Validation Secure Server CA,Sectigo Limited,f088b240d516f5ecf4a36d0b2b4afa72,5ab31e7534a76e6eafeffc21c2f32269029f945465ebb68b0aad9300affceeb2,True,ctls,guard.test.sqills.com,443,https://guard.test.sqills.com:443,https,nginx,text/html,GET,136.144.175.152,/,-497470662,136.144.175.152,Nginx,69,False,https://guard.test.sqills.com/login,,,,True
https://community.sqills.com/assets/,Page Not Found - Sqills Community,404,9241,AS16509,AMAZON-02,US,18.66.102.0/24,community.sqills.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-02T00:00:00Z,2024-05-30T23:59:59Z,CN=community.sqills.com,community.sqills.com,community.sqills.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bcc703cdb0a73279ea24e40be07227fb,5c471da9288d97cdb2fe9f9cdf36800eb4c5c08d61c30d9c9806d967329f98cc,,ctls,community.sqills.com,443,https://community.sqills.com:443/assets/,https,nginx,text/html,GET,18.66.97.71,/assets/,-1840324437,18.66.97.121,Ruby on Rails,124,False,,,cloudfront,True,
https://community.sqills.com/brotli_asset/,Page Not Found - Sqills Community,404,9241,AS16509,AMAZON-02,US,18.66.102.0/24,community.sqills.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-02T00:00:00Z,2024-05-30T23:59:59Z,CN=community.sqills.com,community.sqills.com,community.sqills.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bcc703cdb0a73279ea24e40be07227fb,5c471da9288d97cdb2fe9f9cdf36800eb4c5c08d61c30d9c9806d967329f98cc,,ctls,community.sqills.com,443,https://community.sqills.com:443/brotli_asset/,https,nginx,text/html,GET,18.66.97.71,/brotli_asset/,-1840324437,18.66.97.121,Ruby on Rails,124,False,,,cloudfront,True,
https://community.sqills.com/extra-locales/,Page Not Found - Sqills Community,404,9241,AS16509,AMAZON-02,US,18.66.102.0/24,community.sqills.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-02T00:00:00Z,2024-05-30T23:59:59Z,CN=community.sqills.com,community.sqills.com,community.sqills.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bcc703cdb0a73279ea24e40be07227fb,5c471da9288d97cdb2fe9f9cdf36800eb4c5c08d61c30d9c9806d967329f98cc,,ctls,community.sqills.com,443,https://community.sqills.com:443/extra-locales/,https,nginx,text/html,GET,18.66.97.71,/extra-locales/,-1840324437,18.66.97.121,Ruby on Rails,124,False,,,cloudfront,True,
https://community.sqills.com/highlight-js/,Page Not Found - Sqills Community,404,9817,AS16509,AMAZON-02,US,18.66.102.0/24,community.sqills.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-02T00:00:00Z,2024-05-30T23:59:59Z,CN=community.sqills.com,community.sqills.com,community.sqills.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bcc703cdb0a73279ea24e40be07227fb,5c471da9288d97cdb2fe9f9cdf36800eb4c5c08d61c30d9c9806d967329f98cc,,ctls,community.sqills.com,443,https://community.sqills.com:443/highlight-js/,https,nginx,text/html,GET,18.66.97.71,/highlight-js/,-1840324437,18.66.97.121,Ruby on Rails,127,False,,,cloudfront,True,
https://community.sqills.com/javascripts/,403 Forbidden,403,146,AS16509,AMAZON-02,US,18.66.102.0/24,community.sqills.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-02T00:00:00Z,2024-05-30T23:59:59Z,CN=community.sqills.com,community.sqills.com,community.sqills.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bcc703cdb0a73279ea24e40be07227fb,5c471da9288d97cdb2fe9f9cdf36800eb4c5c08d61c30d9c9806d967329f98cc,,ctls,community.sqills.com,443,https://community.sqills.com:443/javascripts/,https,nginx,text/html,GET,18.66.97.71,/javascripts/,-1840324437,18.66.97.121,Nginx,8,False,,,cloudfront,True,
https://community.sqills.com/logs/,Page Not Found - Sqills Community,404,9241,AS16509,AMAZON-02,US,18.66.102.0/24,community.sqills.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-02T00:00:00Z,2024-05-30T23:59:59Z,CN=community.sqills.com,community.sqills.com,community.sqills.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bcc703cdb0a73279ea24e40be07227fb,5c471da9288d97cdb2fe9f9cdf36800eb4c5c08d61c30d9c9806d967329f98cc,,ctls,community.sqills.com,443,https://community.sqills.com:443/logs/,https,nginx,text/html,GET,18.66.97.71,/logs/,-1840324437,18.66.97.121,Ruby on Rails,124,False,,,cloudfront,True,
https://community.sqills.com/mini-profiler-resources/,Page Not Found - Sqills Community,404,9241,AS16509,AMAZON-02,US,18.66.102.0/24,community.sqills.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-02T00:00:00Z,2024-05-30T23:59:59Z,CN=community.sqills.com,community.sqills.com,community.sqills.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bcc703cdb0a73279ea24e40be07227fb,5c471da9288d97cdb2fe9f9cdf36800eb4c5c08d61c30d9c9806d967329f98cc,,ctls,community.sqills.com,443,https://community.sqills.com:443/mini-profiler-resources/,https,nginx,text/html,GET,18.66.97.71,/mini-profiler-resources/,-1840324437,18.66.97.121,Ruby on Rails,124,False,,,cloudfront,True,
https://community.sqills.com/plugins/,403 Forbidden,403,146,AS16509,AMAZON-02,US,18.66.102.0/24,community.sqills.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-02T00:00:00Z,2024-05-30T23:59:59Z,CN=community.sqills.com,community.sqills.com,community.sqills.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bcc703cdb0a73279ea24e40be07227fb,5c471da9288d97cdb2fe9f9cdf36800eb4c5c08d61c30d9c9806d967329f98cc,,ctls,community.sqills.com,443,https://community.sqills.com:443/plugins/,https,nginx,text/html,GET,18.66.97.71,/plugins/,-1840324437,18.66.97.121,Nginx,8,False,,,cloudfront,True,
https://community.sqills.com/sidekiq/,Page Not Found - Sqills Community,404,9241,AS16509,AMAZON-02,US,18.66.102.0/24,community.sqills.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-02T00:00:00Z,2024-05-30T23:59:59Z,CN=community.sqills.com,community.sqills.com,community.sqills.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bcc703cdb0a73279ea24e40be07227fb,5c471da9288d97cdb2fe9f9cdf36800eb4c5c08d61c30d9c9806d967329f98cc,,ctls,community.sqills.com,443,https://community.sqills.com:443/sidekiq/,https,nginx,text/html,GET,18.66.97.71,/sidekiq/,-1840324437,18.66.97.121,Ruby on Rails,124,False,,,cloudfront,True,
https://community.sqills.com/svg-sprite/,Page Not Found - Sqills Community,404,9241,AS16509,AMAZON-02,US,18.66.102.0/24,community.sqills.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-02T00:00:00Z,2024-05-30T23:59:59Z,CN=community.sqills.com,community.sqills.com,community.sqills.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bcc703cdb0a73279ea24e40be07227fb,5c471da9288d97cdb2fe9f9cdf36800eb4c5c08d61c30d9c9806d967329f98cc,,ctls,community.sqills.com,443,https://community.sqills.com:443/svg-sprite/,https,nginx,text/html,GET,18.66.97.71,/svg-sprite/,-1840324437,18.66.97.121,Ruby on Rails,124,False,,,cloudfront,True,
https://community.sqills.com/theme-javascripts/,Page Not Found - Sqills Community,404,9241,AS16509,AMAZON-02,US,18.66.102.0/24,community.sqills.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-02T00:00:00Z,2024-05-30T23:59:59Z,CN=community.sqills.com,community.sqills.com,community.sqills.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bcc703cdb0a73279ea24e40be07227fb,5c471da9288d97cdb2fe9f9cdf36800eb4c5c08d61c30d9c9806d967329f98cc,,ctls,community.sqills.com,443,https://community.sqills.com:443/theme-javascripts/,https,nginx,text/html,GET,18.66.97.71,/theme-javascripts/,-1840324437,18.66.97.121,Ruby on Rails,124,False,,,cloudfront,True,
jenkins.sqills.com,403 Forbidden,403,321,AS20847,PREVIDER-AS,NL,84.241.158.0/24,jenkins.sqills.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-06T00:00:00Z,2024-04-03T23:59:59Z,CN=*.sqills.com,*.sqills.com,sqills.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,1545be23843e054326479b998cc631ff,9ced9cb00cebad4cc95da2a6ecabccb73cdc90efb6f5cdd6afcbaefe34a67b66,True,ctls,jenkins.sqills.com,443,https://jenkins.sqills.com:443,https,,text/html,GET,84.241.158.134,/,1493760859,84.241.158.134,,11,False,,,,,
jira-account-manager.cloud.sqills.com,,401,26,AS16509,AS16509,Unknown,52.60.0.0/16,jira-account-manager.cloud.sqills.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-13T00:00:00Z,2024-02-08T23:59:59Z,CN=jira-account-manager.cloud.sqills.com,jira-account-manager.cloud.sqills.com,jira-account-manager.cloud.sqills.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dfcb8082c027841e8b69d25f8235a377,7497332431d3abc11e29271361ec5b538c1386237e9db8a08e1d16ef7f930d3d,,ctls,jira-account-manager.cloud.sqills.com,443,https://jira-account-manager.cloud.sqills.com:443,https,,application/json,GET,52.59.78.51,/,478243331,35.157.219.134,Basic,1,False,,,,,
logs.accept.sqills.com,404 Not Found,404,548,AS20847,PREVIDER-AS,NL,84.241.158.0/24,logs.accept.sqills.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-08-29T00:00:00Z,2023-09-26T23:59:59Z,CN=*.accept.sqills.com,*.accept.sqills.com,accept.sqills.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,24b575ce23cfad60d23d00565bbc902e,92b75b2bce5febc6b21996e8c5287347242194e2ac2f887eec21a65f4c1c31e2,True,ctls,logs.accept.sqills.com,443,https://logs.accept.sqills.com:443,https,nginx,text/html,GET,84.241.158.138,/,566218143,84.241.158.138,Nginx,14,False,,,,,
m.bsantander11.sqills-integration-dev-test.cloud.sqills.com,,404,14,AS16509,AS16509,Unknown,3.64.0.0/12,m.bsantander11.sqills-integration-dev-test.cloud.sqills.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2023-07-14T23:59:59Z,CN=*.sqills-integration-dev-test.cloud.sqills.com,*.sqills-integration-dev-test.cloud.sqills.com,*.sqills-integration-dev-test.cloud.sqills.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,040f3141249818ee364ee96e538b70b6,8947050b8f3d8e83d550fe9ecdb7eae4b049997c22d6eb3687169b671c52ad0d,True,ctls,m.bsantander11.sqills-integration-dev-test.cloud.sqills.com,443,https://m.bsantander11.sqills-integration-dev-test.cloud.sqills.com:443,https,awselb/2.0,text/plain,GET,3.64.141.11,/,997500400,18.193.207.143,,1,False,,,,,
maps.ouigo-acc.sqills.com,,404,14,AS16509,AS16509,Unknown,3.64.0.0/12,maps.ouigo-acc.sqills.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-10T23:59:59Z,CN=*.ouigo-acc.cloud.sqills.com,*.ouigo-acc.cloud.sqills.com,*.ouigo-acc.cloud.sqills.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,002738095e40619d0c29c1b69a514c9b,60833d28fa1a571d11a26a2ec79937ba77b3fa1893050ab3bc69cdf07b68920b,True,ctls,maps.ouigo-acc.sqills.com,443,https://maps.ouigo-acc.sqills.com:443,https,awselb/2.0,text/plain,GET,3.69.57.190,/,997500400,18.158.147.225,,1,False,,,,,
msm-booking.accept.sqills.com,404 Not Found,404,548,AS20847,PREVIDER-AS,NL,84.241.158.0/24,,,,,,,,,,,,,,,,,,,,80,http://msm-booking.accept.sqills.com:80,http,nginx,text/html,GET,84.241.158.138,/,566218143,84.241.158.138,Nginx,14,False,,,,,
mta-sts.sqills.com,403 Forbidden,403,548,AS20847,PREVIDER-AS,NL,84.241.158.0/24,mta-sts.sqills.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-06T00:00:00Z,2024-04-03T23:59:59Z,CN=*.sqills.com,*.sqills.com,sqills.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,1545be23843e054326479b998cc631ff,9ced9cb00cebad4cc95da2a6ecabccb73cdc90efb6f5cdd6afcbaefe34a67b66,True,ctls,mta-sts.sqills.com,443,https://mta-sts.sqills.com:443,https,nginx,text/html,GET,84.241.158.143,/,566218143,84.241.158.143,Nginx,14,False,,,,,
nrsadapter.rdg-dev-mi-test.dev-v.sqills.team,,404,19,AS16509,AS16509,Unknown,3.64.0.0/12,nrsadapter.rdg-dev-mi-test.dev-v.sqills.team,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-11T00:00:00Z,2024-01-12T23:59:59Z,CN=nrsadapter.rdg-dev-mi-test.dev-v.sqills.team,nrsadapter.rdg-dev-mi-test.dev-v.sqills.team,nrsadapter.rdg-dev-mi-test.dev-v.sqills.team,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,094142a275cb34aecbd965fb762effbf,ef375015c512824e6f49b62a79d5baa144c45a773ba1e4532532bba08cd6e038,,ctls,nrsadapter.rdg-dev-mi-test.dev-v.sqills.team,443,https://nrsadapter.rdg-dev-mi-test.dev-v.sqills.team:443,https,awselb/2.0,text/plain,GET,3.70.71.86,/,1441697746,18.195.54.123,,1,False,,,,,
nrsadapter.rdg-perf-test.dev-v.sqills.team,,404,19,AS16509,AS16509,Unknown,18.200.0.0/14,nrsadapter.rdg-perf-test.dev-v.sqills.team,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=nrsadapter.rdg-perf-test.dev-v.sqills.team,nrsadapter.rdg-perf-test.dev-v.sqills.team,nrsadapter.rdg-perf-test.dev-v.sqills.team,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2befffc0330d74f6ebe61331f45d60f9,8cec67140a94fb5d8b7c94b63e78cd152fa3fbb01ec4506d01d34c85f9546786,,ctls,nrsadapter.rdg-perf-test.dev-v.sqills.team,443,https://nrsadapter.rdg-perf-test.dev-v.sqills.team:443,https,awselb/2.0,text/plain,GET,18.198.90.203,/,1441697746,18.194.118.32,,1,False,,,,,
