new,host,cname,soa,status_code,cdn,cdn-name,a,mx,txt,ns,has_internal_ips,internal_ips,aaaa
[x],17-58-102-79.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],17-58-106-84.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],17-58-97-8.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],17-58-98-60.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],17-58-98-96.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],2-vl-31.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],227-si2.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],2ddfrkx42q.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.22.34, 104.18.23.34",,,,,,
[x],3c75.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],3lewi-12-86.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],3lewi-45-32.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],43-courier.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.18.23.34, 104.18.22.34",,,,,,
[x],4cc6.t.mobikwik.com,*.mobikwik.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
