new,host,a,cname,soa,status_code,cdn,cdn-name,has_internal_ips,internal_ips,ns,mx,txt,caa,aaaa
[x],h-135-207-253-9.security.datastax.com,3.94.44.251,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],h-135-207-254-65.security.datastax.com,3.94.44.251,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],h-135-207-254-88.security.datastax.com,3.94.44.251,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],h-135-207-255-17.security.datastax.com,3.94.44.251,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],h-135-207-255-57.security.datastax.com,3.94.44.251,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],h-135-207-255-98.security.datastax.com,3.94.44.251,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],h-135-207-26-12.security.datastax.com,3.94.44.251,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],h-135-207-28-57.security.datastax.com,3.94.44.251,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],h-135-207-28-76.security.datastax.com,3.94.44.251,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],h-135-207-28-97.security.datastax.com,3.94.44.251,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],h-135-207-3-20.security.datastax.com,3.94.44.251,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],h-135-207-3-90.security.datastax.com,3.94.44.251,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],h-135-207-33-59.security.datastax.com,3.94.44.251,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],h-135-207-35-35.security.datastax.com,3.94.44.251,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],h-135-207-35-5.security.datastax.com,3.94.44.251,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],h-135-207-35-58.security.datastax.com,3.94.44.251,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],h-135-207-35-67.security.datastax.com,,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],h-135-207-36-5.security.datastax.com,,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],h-135-207-36-83.security.datastax.com,3.94.44.251,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1254.awsdns-28.org, ns-1710.awsdns-21.co.uk, ns-360.awsdns-45.com, ns-651.awsdns-17.net",,,,
[x],h-135-207-38-54.security.datastax.com,3.94.44.251,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
