new,host,a,soa,status_code,aaaa,cname,ns,cdn,cdn-name,txt,has_internal_ips,internal_ips,caa,mx
,stg.360.here.com,"13.32.121.122, 13.32.121.101, 13.32.121.48, 13.32.121.115","ns-1686.awsdns-18.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:236e:ae00:19:739f:cd80:93a1, 2600:9000:236e:6e00:19:739f:cd80:93a1, 2600:9000:2240:9e00:19:739f:cd80:93a1, 2600:9000:2240:5200:19:739f:cd80:93a1, 2600:9000:236e:7800:19:739f:cd80:93a1, 2600:9000:236e:cc00:19:739f:cd80:93a1, 2600:9000:2240:a800:19:739f:cd80:93a1, 2600:9000:236e:b600:19:739f:cd80:93a1",d17bpxty313m0m.cloudfront.net,"ns-203.awsdns-25.com, ns-962.awsdns-56.net, ns-1076.awsdns-06.org, ns-1686.awsdns-18.co.uk",True,cloudfront,,,,,
,stg.account.api.here.com,"108.128.26.6, 54.73.133.219, 18.203.113.23","ns-1269.awsdns-30.org, awsdns-hostmaster.amazon.com",NOERROR,,"stg.account.api.here.com.a693.p01.hereglb.com, stg.api.eu-west-1.account.here.com",,,,,,,,
,stg.account.here.com,"54.73.133.219, 108.128.26.6, 18.203.113.23","ns-1269.awsdns-30.org, awsdns-hostmaster.amazon.com",NOERROR,,"stg.account.here.com.a693.p01.hereglb.com, stg.eu-west-1.account.here.com",,,,,,,,
,stg.ap-southeast-1.account.here.com,,"ns-85.awsdns-10.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,stg.api.eu-west-1.account.here.com,"54.73.133.219, 18.203.113.23, 108.128.26.6","ns-1269.awsdns-30.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,stg.api.us-east-1.account.here.com,"52.3.8.10, 3.223.42.158, 52.4.129.43","ns-624.awsdns-14.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,stg.api.us-west-2.account.here.com,"54.200.96.3, 44.224.129.188, 34.211.15.222","ns-1451.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,stg.clickwork.ext.here.com,"44.196.181.248, 54.227.252.151","ns-1872.awsdns-42.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,stg.eu-west-1.access.hub.api.here.com,,"ns-1556.awsdns-02.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,stg.eu-west-1.accounting.cit.api.here.com,"34.243.212.77, 54.229.28.245","ns-425.awsdns-53.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,stg.eventbroker.api.here.com,"54.72.232.156, 54.76.56.46","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,stg.hnod.api.here.com,,,NOERROR,,,,,,,,,,
,stg.m.here.com,,"ns-124.awsdns-15.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1207.awsdns-22.org, ns-1893.awsdns-44.co.uk, ns-948.awsdns-54.net, ns-124.awsdns-15.com",,,,,,,
,stg.mapfeedback.here.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,db4ciu5li6c5u.cloudfront.net,,,,,,,,
,stg.navigation-voice.data.here.com,,"ns-2043.awsdns-63.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,stg.notification.api.here.com,"23.21.39.163, 3.212.102.239","ns-1086.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,stg.openlocation.here.com,35.169.15.35,"ns-821.awsdns-38.net, awsdns-hostmaster.amazon.com",NOERROR,,"olp.dev-heresf.acsitefactory.com, heresf01dev.enterprise-g1.acquia-sites.com",,,,,,,,
,stg.partners.here.com,34.231.86.93,"us-qas99-colo-ucs01ib.as1248.net, hostmaster.here.com",NOERROR,,,,,,,,,,
