new,host,a,cname,soa,status_code,cdn,cdn-name,txt,aaaa,ns,mx,has_internal_ips,internal_ips,caa
[x],bws.bentley.com,64.90.224.50,,"ns1-07.azure-dns.com, dnsadmin.bentley.com",NOERROR,,,,,,,,,
[x],cadrefscan.bentley.com,20.49.104.0,"prod-cadscanref-eus.azurewebsites.net, waws-prod-blu-177.sip.azurewebsites.windows.net, waws-prod-blu-177-urza.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],cdnllnw.bentley.com,69.164.46.3,"cdnllnw.bentley.com.cn.lldns.net, bentley.s.llnwi.net","dns23.llnwi.net, hostmaster.llnwi.net",NOERROR,,,,,,,,,
[x],certrenewal1.bentley.com,64.90.235.25,,"ns1-07.azure-dns.com, dnsadmin.bentley.com",NOERROR,,,,,,,,,
[x],cm.bentley.com,,,"ns1-07.azure-dns.com, dnsadmin.bentley.com",NOERROR,,,,,,,,,
[x],cn.bentley.com,"18.214.47.16, 54.82.108.32, 3.215.75.0, 3.215.173.139",bentley.sl.smartling.com,"ns-1472.awsdns-56.org, domains.smartling.com",NOERROR,,,,,,,,,
[x],collaboration.australiaeast.openground.bentley.com,20.211.191.235,,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,"\""heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/openground/collaborationportal-nginx\""",,,,,,
[x],collaboration.eastus.openground.bentley.com,40.87.107.231,,"ns1-08.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,True,azure,"\""heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/openground/collaborationportal-nginx\""",,,,,,
[x],collaboration.openground.bentley.com,,"openground-collaboration.trafficmanager.net, collaboration.eastus.openground.bentley.com","ns1-08.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,"\""heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/openground/collaborationportal-nginx\""",,,,,,
[x],collaboration.uksouth.openground.bentley.com,20.77.79.154,,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,,
[x],common.bentley.com,64.90.235.15,,"ns1-07.azure-dns.com, dnsadmin.bentley.com",NOERROR,,,,,,,,,
[x],communities-docs.bentley.com,64.90.235.130,sdl-f5-vip.bentley.com,"ns1-07.azure-dns.com, dnsadmin.bentley.com",NOERROR,,,,,,,,,
[x],communities.bentley.com,45.60.31.181,,"ns1-07.azure-dns.com, dnsadmin.bentley.com",NOERROR,True,incapsula,v=spf1 include:_spf.telligent.com -all,,,"mx1.emailsrvr.com, mx2.emailsrvr.com",,,
