new,host,a,soa,status_code,ns,cdn,cdn-name,txt,cname,mx,caa,aaaa,has_internal_ips,internal_ips
,it.xvservice.net,,"ns-786.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-786.awsdns-34.net, ns-96.awsdns-12.com, ns-1264.awsdns-30.org, ns-1591.awsdns-06.co.uk",,,v=spf1 -all,,,,,,
,jonil-1.pmgr.playground.xvtest.net,,"ns-2025.awsdns-61.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-505.awsdns-63.com, ns-1010.awsdns-62.net, ns-1063.awsdns-04.org, ns-2025.awsdns-61.co.uk",,,,,,,,,
,kp-iaa.xvservice.net,,"ns-1770.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1476.awsdns-56.org, ns-1770.awsdns-29.co.uk, ns-334.awsdns-41.com, ns-515.awsdns-00.net",,,,,,,,,
,link.clicks.expressvpn.com,"13.225.78.117, 13.225.78.49, 13.225.78.63, 13.225.78.38","ns-94.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-842.awsdns-41.net, ns-94.awsdns-11.com, ns-1367.awsdns-42.org, ns-1748.awsdns-26.co.uk",True,cloudfront,,d2akqwowmhvn1e.cloudfront.net,,,"2600:9000:21f3:8200:14:5513:d880:93a1, 2600:9000:21f3:3a00:14:5513:d880:93a1, 2600:9000:21f3:ce00:14:5513:d880:93a1, 2600:9000:21f3:7200:14:5513:d880:93a1, 2600:9000:21f3:d600:14:5513:d880:93a1, 2600:9000:21f3:9a00:14:5513:d880:93a1, 2600:9000:21f3:9800:14:5513:d880:93a1, 2600:9000:21f3:7c00:14:5513:d880:93a1",,
,metrics.tz.xvservice.net,"3.131.212.180, 18.191.131.117","ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,metrics.xvservice.net,"18.191.131.117, 3.131.212.180","ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,metrics.tz.xvservice.net,,,,,
,mirror.sys.xvservice.net,178.238.9.53,"ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,"eu.mirror.sys.xvservice.net, eu-02.mirror.sys.xvservice.net, eu-01.mirror.sys.xvservice.net",,,,,
,nonprod.pac.xvservice.net,,"ns-664.awsdns-19.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1322.awsdns-37.org, ns-1997.awsdns-57.co.uk, ns-56.awsdns-07.com, ns-664.awsdns-19.net",,,,,,,,,
,o1.outbound-email.expressvpn.com,167.89.103.163,"ns-373.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,o2.outbound-email.expressvpn.com,167.89.94.22,"ns-373.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,octopus.sys.xvservice.net,138.199.39.211,"ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,origin-fe-singapore-2.web-staging.xvtest.net,3.1.143.76,"ns-214.awsdns-26.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,papperoni.xvtest.net,,"ns-1789.awsdns-31.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-650.awsdns-17.net, ns-1530.awsdns-63.org, ns-164.awsdns-20.com, ns-1789.awsdns-31.co.uk",,,,,,,,,
,ph-gp.it.xvservice.net,"210.4.118.250, 203.177.190.74","ns-786.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,phish1.redteam.sec.xvservice.net,13.209.212.177,"ns-223.awsdns-27.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1110.awsdns-10.org, ns-1655.awsdns-14.co.uk, ns-223.awsdns-27.com, ns-877.awsdns-45.net",,,,,,,,,
,phish2.redteam.sec.xvservice.net,13.209.239.214,"ns-1454.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-779.awsdns-33.net, ns-1454.awsdns-53.org, ns-1892.awsdns-44.co.uk, ns-212.awsdns-26.com",,,,,,,,,
,playground.xvtest.net,,"ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-879.awsdns-45.net, ns-114.awsdns-14.com, ns-1152.awsdns-16.org, ns-1590.awsdns-06.co.uk",,,,,,,,,
,pmgr.xvservice.net,,"ns-1371.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,prod.pac.xvservice.net,"205.251.193.223, 205.251.194.156, 205.251.196.161, 205.251.198.241","ns-479.awsdns-59.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1777.awsdns-30.co.uk, ns-1185.awsdns-20.org, ns-479.awsdns-59.com, ns-668.awsdns-19.net",,,,,,,,,
,production-eu-1.pmgr.xvservice.net,"34.254.134.12, 52.215.76.55","ns-694.awsdns-22.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-113.awsdns-14.com, ns-694.awsdns-22.net, ns-1057.awsdns-04.org, ns-1819.awsdns-35.co.uk",,,,,,,,,
,production-eu-3.pmgr.xvservice.net,,,NOERROR,,,,,,,,,,
,public.qa-payments.staging.backend-staging.xvtest.net,"18.66.122.17, 18.66.122.55, 18.66.122.119, 18.66.122.120","ns-1834.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
,public.test-payments.staging.backend-staging.xvtest.net,"99.86.4.99, 99.86.4.127, 99.86.4.68, 99.86.4.123","ns-1834.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
,qa-manager.frontend-qa.xvtest.net,"13.214.97.143, 18.140.229.90, 54.255.118.73","ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,qa.client.xvservice.net,,"ns-656.awsdns-18.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1206.awsdns-22.org, ns-656.awsdns-18.net, ns-133.awsdns-16.com, ns-1950.awsdns-51.co.uk",,,,,,,,,
,recauto.prd.iat.it.xvservice.net,,"ns-1575.awsdns-04.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1575.awsdns-04.co.uk, ns-7.awsdns-00.com, ns-850.awsdns-42.net, ns-1273.awsdns-31.org",,,,,,,,,
,redteam.sec.xvservice.net,,"ns-2041.awsdns-63.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1460.awsdns-54.org, ns-2041.awsdns-63.co.uk, ns-24.awsdns-03.com, ns-602.awsdns-11.net",,,,,,,,,
