new,host,a,cname,soa,status_code,cdn,cdn-name,has_internal_ips,internal_ips,ns,txt
,prometheus-ui.infra-dev.just-data.io,10.117.196.44,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.117.196.44,,
,prometheus-ui.infra.just-data.io,10.119.68.63,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.119.68.63,,
,prometheus-ui.just-data.io,10.153.196.40,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.153.196.40,,
,prometheus-ui.preprod.just-data.io,10.106.112.8,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.106.112.8,,
,prometheus-ui.qa.just-data.io,10.152.196.43,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.152.196.43,,
,prometheus.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
,prometheus.infra.just-data.io,10.119.68.63,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.119.68.63,,
,prometheus.just-data.io,10.153.196.40,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.153.196.40,,
,prometheus.ml-dev.just-data.io,10.176.224.8,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.176.224.8,,
,prometheus.preprod.just-data.io,10.106.112.8,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.106.112.8,,
,prometheus.qa.just-data.io,10.152.196.43,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.152.196.43,,
,qa.just-data.io,10.152.196.21,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.152.196.21,"ns-cloud-b3.googledomains.com, ns-cloud-b4.googledomains.com, ns-cloud-b2.googledomains.com, ns-cloud-b1.googledomains.com","globalsign-domain-verification=39dc342a5921c5a6f7b900389c6f7f1f, globalsign-domain-verification=81fb1788e932ed09b0d5622030a161ca, globalsign-domain-verification=4b4497d5471e871e99e37e636c4248f2, _globalsign-domain-verification=GvLtAt4z6YQ5YyLHJpiHMHG_sRTaYJM8bKxqcVDabR, _globalsign-domain-verification=D-QWbI3Kfq01-Gy9GeSmvwbMwGAYOkvTXta6XhUXP0"
,reporting.justeat-int.com,10.247.0.99,,"ns-241.awsdns-30.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,10.247.0.99,,
,restaurantcapabilities.justeat-int.com,"104.18.31.28, 104.18.30.28",restaurantcapabilities.justeat-int.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,schema-registry.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
,schema-registry.just-data.io,10.153.196.40,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.153.196.40,,
,sst-slack-monitoring.dev.just-data.io,34.120.24.191,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,
,staging-ie-partnerapi.just-eat.io,"104.18.5.6, 104.18.4.6",staging-ie-partnerapi.just-eat.io.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,staging-nz-partnerapi.just-eat.io,"104.18.22.149, 104.18.23.149",staging-nz-partnerapi.just-eat.io.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,staging-uk-partnerapi.just-eat.io,"104.18.22.138, 104.18.23.138",staging-uk-partnerapi.just-eat.io.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,status.just-data.io,"151.101.1.195, 151.101.65.195",,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,fastly,,,,
,test.ml-dev.just-data.io,10.176.224.8,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.176.224.8,,
,uk-ops.just-eat.io,"104.18.28.208, 104.18.29.208",uk-ops.just-eat.io.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,uk-partnerapi.just-eat.io,"104.18.28.208, 104.18.29.208",uk-partnerapi.just-eat.io.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,uk-restauranthelp-staging-uk.just-eat.io,"104.18.17.93, 104.18.16.93",uk-restauranthelp-staging-uk.just-eat.io.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,uk-restauranthelp.just-eat.io,"104.18.29.208, 104.18.28.208",uk-restauranthelp.just-eat.io.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
