new,host,a,soa,status_code,cdn,cdn-name,cname,ns,mx,txt,aaaa,has_internal_ips,internal_ips,caa
[x],albatross.us-west-2.test.epsdecaf.expedia.com,"35.167.51.147, 54.68.236.238","ns-1426.awsdns-50.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],algarve.ebookers.com,217.174.206.101,"dns1.p01.nsone.net, domains.expediagroup.com, pdns1.ultradns.net",NOERROR,,,,,,,,,,
[x],allinclusivehilton.expedia.com,"52.222.236.100, 52.222.236.19, 52.222.236.108, 52.222.236.57","ns-1032.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,d3au6wm9veeh52.cloudfront.net,,,,"2600:9000:223e:6600:0:1502:1180:93a1, 2600:9000:223e:ac00:0:1502:1180:93a1, 2600:9000:223e::1502:1180:93a1, 2600:9000:223e:2600:0:1502:1180:93a1, 2600:9000:223e:3200:0:1502:1180:93a1, 2600:9000:223e:c600:0:1502:1180:93a1, 2600:9000:223e:5000:0:1502:1180:93a1, 2600:9000:223e:1e00:0:1502:1180:93a1",,,
[x],allinclusivereimagined.expedia.com,"34.251.201.224, 34.253.101.190, 54.194.170.100","ns-1078.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,"proxy-ssl.webflow.com, proxy-ssl-geo.webflow.com",,,,,,,
[x],altmail1.expedia.com,199.3.115.33,"pdns1.ultradns.net, domains.expediagroup.com, dns1.p01.nsone.net",NOERROR,,,,,,,,,,
[x],altmail2.expedia.com,12.110.40.27,"dns1.p01.nsone.net, domains.expediagroup.com, pdns1.ultradns.net",NOERROR,,,,,,,,,,
[x],amerigo.expediagroup.com,70.32.88.103,"dns1.p01.nsone.net, domains.expediagroup.com",NOERROR,,,,,,,,,,
[x],amex-integrator.expediagroup.com,70.32.88.103,"pdns1.ultradns.net, domains.expediagroup.com, dns1.p01.nsone.net",NOERROR,,,,,,,,,,
[x],amex-integrator.prod.expediagroup.com,70.32.88.103,"pdns1.ultradns.net, domains.expediagroup.com, dns1.p01.nsone.net",NOERROR,,,,"dns1.p09.nsone.net, dns2.p09.nsone.net, dns3.p09.nsone.net, dns4.p09.nsone.net, pdns1.ultradns.net, pdns2.ultradns.net, pdns3.ultradns.org, pdns4.ultradns.org, pdns5.ultradns.info, pdns6.ultradns.co.uk",,,,,,
[x],amex-integrator.test.expediagroup.com,70.32.88.103,"dns1.p01.nsone.net, domains.expediagroup.com, pdns1.ultradns.net",NOERROR,,,,,,,,,,
