input,title,status_code,content_length,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,tls_subject_org_,cdn_name,cdn,csp_domains_,final_url,tls_mismatched
appsalpha-auth-antiviruspre.stripocdn-test10.stripo.email,404 Not Found,404,548,80,http://appsalpha-auth-antiviruspre.stripocdn-test10.stripo.email:80,http,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,,,,,,,,,,,,,,,,,,,,,,,,
appspartners-events.stripocdn-test10.stripo.email,404 Not Found,404,548,443,https://appspartners-events.stripocdn-test10.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,appspartners-events.stripocdn-test10.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-16T12:34:13Z,2023-05-17T12:34:12Z,CN=*.stripocdn-test10.stripo.email,*.stripocdn-test10.stripo.email,stripocdn-test10.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2a832af0666c9981b773bee7c4d17b61,c05718f6df03f5b4c9bc189dc0e15603bfc0287b3725674b6c6def5cd95fb7c5,True,ctls,appspartners-events.stripocdn-test10.stripo.email,,,,,,
apuv3hubdev.stripocdn-test1.stripo.email,404 Not Found,404,548,443,https://apuv3hubdev.stripocdn-test1.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,apuv3hubdev.stripocdn-test1.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-15T10:10:18Z,2023-05-16T10:10:17Z,CN=*.stripocdn-test1.stripo.email,*.stripocdn-test1.stripo.email,stripocdn-test1.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3f6f4a4f560d8f95b421d3a8c80d48e1,39b730b66052b840e59201408ce0d082724875a3e7e1eeda05c92f132d25c48d,True,ctls,apuv3hubdev.stripocdn-test1.stripo.email,,,,,,
architekt.stripocdn-test10.stripo.email,404 Not Found,404,146,443,https://architekt.stripocdn-test10.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,architekt.stripocdn-test10.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-16T12:34:13Z,2023-05-17T12:34:12Z,CN=*.stripocdn-test10.stripo.email,*.stripocdn-test10.stripo.email,stripocdn-test10.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2a832af0666c9981b773bee7c4d17b61,c05718f6df03f5b4c9bc189dc0e15603bfc0287b3725674b6c6def5cd95fb7c5,True,ctls,architekt.stripocdn-test10.stripo.email,,,,,,
archives-backyard3.stripocdn-test10.stripo.email,404 Not Found,404,548,443,https://archives-backyard3.stripocdn-test10.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,archives-backyard3.stripocdn-test10.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-16T12:34:13Z,2023-05-17T12:34:12Z,CN=*.stripocdn-test10.stripo.email,*.stripocdn-test10.stripo.email,stripocdn-test10.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2a832af0666c9981b773bee7c4d17b61,c05718f6df03f5b4c9bc189dc0e15603bfc0287b3725674b6c6def5cd95fb7c5,True,ctls,archives-backyard3.stripocdn-test10.stripo.email,,,,,,
arkansas4.stripocdn-test10.stripo.email,404 Not Found,404,548,443,https://arkansas4.stripocdn-test10.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,arkansas4.stripocdn-test10.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-16T12:34:13Z,2023-05-17T12:34:12Z,CN=*.stripocdn-test10.stripo.email,*.stripocdn-test10.stripo.email,stripocdn-test10.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2a832af0666c9981b773bee7c4d17b61,c05718f6df03f5b4c9bc189dc0e15603bfc0287b3725674b6c6def5cd95fb7c5,True,ctls,arkansas4.stripocdn-test10.stripo.email,,,,,,
ars.stripocdn-test1.stripo.email,404 Not Found,404,548,443,https://ars.stripocdn-test1.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,ars.stripocdn-test1.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-15T10:10:18Z,2023-05-16T10:10:17Z,CN=*.stripocdn-test1.stripo.email,*.stripocdn-test1.stripo.email,stripocdn-test1.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3f6f4a4f560d8f95b421d3a8c80d48e1,39b730b66052b840e59201408ce0d082724875a3e7e1eeda05c92f132d25c48d,True,ctls,ars.stripocdn-test1.stripo.email,,,,,,
asaalt.stripocdn-test10.stripo.email,404 Not Found,404,146,443,https://asaalt.stripocdn-test10.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,asaalt.stripocdn-test10.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-16T12:34:13Z,2023-05-17T12:34:12Z,CN=*.stripocdn-test10.stripo.email,*.stripocdn-test10.stripo.email,stripocdn-test10.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2a832af0666c9981b773bee7c4d17b61,c05718f6df03f5b4c9bc189dc0e15603bfc0287b3725674b6c6def5cd95fb7c5,True,ctls,asaalt.stripocdn-test10.stripo.email,,,,,,
asrs.stripocdn-test10.stripo.email,404 Not Found,404,548,80,http://asrs.stripocdn-test10.stripo.email:80,http,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,,,,,,,,,,,,,,,,,,,,,,,,
assai.stripocdn-test1.stripo.email,404 Not Found,404,548,80,http://assai.stripocdn-test1.stripo.email:80,http,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,,,,,,,,,,,,,,,,,,,,,,,,
assets-debugdevdb1static-clients-stats-corp.stripocdn-test1.stripo.email,404 Not Found,404,548,443,https://assets-debugdevdb1static-clients-stats-corp.stripocdn-test1.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,assets-debugdevdb1static-clients-stats-corp.stripocdn-test1.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-15T10:10:18Z,2023-05-16T10:10:17Z,CN=*.stripocdn-test1.stripo.email,*.stripocdn-test1.stripo.email,stripocdn-test1.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3f6f4a4f560d8f95b421d3a8c80d48e1,39b730b66052b840e59201408ce0d082724875a3e7e1eeda05c92f132d25c48d,True,ctls,assets-debugdevdb1static-clients-stats-corp.stripocdn-test1.stripo.email,,,,,,
assets-debugdevdb1static-clients-stats-corp.stripocdn-test10.stripo.email,404 Not Found,404,146,443,https://assets-debugdevdb1static-clients-stats-corp.stripocdn-test10.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,assets-debugdevdb1static-clients-stats-corp.stripocdn-test10.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-16T12:34:13Z,2023-05-17T12:34:12Z,CN=*.stripocdn-test10.stripo.email,*.stripocdn-test10.stripo.email,stripocdn-test10.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2a832af0666c9981b773bee7c4d17b61,c05718f6df03f5b4c9bc189dc0e15603bfc0287b3725674b6c6def5cd95fb7c5,True,ctls,assets-debugdevdb1static-clients-stats-corp.stripocdn-test10.stripo.email,,,,,,
assets-debugdevdb1static-clients-stats-corp.stripocdn-test2.stripo.email,404 Not Found,404,146,80,http://assets-debugdevdb1static-clients-stats-corp.stripocdn-test2.stripo.email:80,http,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,,,,,,,,,,,,,,,,,,,,,,,,
assets-hostmgr.stripocdn-test1.stripo.email,404 Not Found,404,146,443,https://assets-hostmgr.stripocdn-test1.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,assets-hostmgr.stripocdn-test1.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-15T10:10:18Z,2023-05-16T10:10:17Z,CN=*.stripocdn-test1.stripo.email,*.stripocdn-test1.stripo.email,stripocdn-test1.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3f6f4a4f560d8f95b421d3a8c80d48e1,39b730b66052b840e59201408ce0d082724875a3e7e1eeda05c92f132d25c48d,True,ctls,assets-hostmgr.stripocdn-test1.stripo.email,,,,,,
assets-inms.stripocdn-test1.stripo.email,404 Not Found,404,548,443,https://assets-inms.stripocdn-test1.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,assets-inms.stripocdn-test1.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-15T10:10:18Z,2023-05-16T10:10:17Z,CN=*.stripocdn-test1.stripo.email,*.stripocdn-test1.stripo.email,stripocdn-test1.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3f6f4a4f560d8f95b421d3a8c80d48e1,39b730b66052b840e59201408ce0d082724875a3e7e1eeda05c92f132d25c48d,True,ctls,assets-inms.stripocdn-test1.stripo.email,,,,,,
assets-inms.stripocdn-test2.stripo.email,404 Not Found,404,548,80,http://assets-inms.stripocdn-test2.stripo.email:80,http,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,,,,,,,,,,,,,,,,,,,,,,,,
assets-k8s.stripocdn-test1.stripo.email,404 Not Found,404,548,80,http://assets-k8s.stripocdn-test1.stripo.email:80,http,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,,,,,,,,,,,,,,,,,,,,,,,,
assets-labshelporigin.stripocdn-test10.stripo.email,404 Not Found,404,548,443,https://assets-labshelporigin.stripocdn-test10.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,assets-labshelporigin.stripocdn-test10.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-16T12:34:13Z,2023-05-17T12:34:12Z,CN=*.stripocdn-test10.stripo.email,*.stripocdn-test10.stripo.email,stripocdn-test10.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2a832af0666c9981b773bee7c4d17b61,c05718f6df03f5b4c9bc189dc0e15603bfc0287b3725674b6c6def5cd95fb7c5,True,ctls,assets-labshelporigin.stripocdn-test10.stripo.email,,,,,,
assets-postgresql-paymentsstorage.stripocdn-test1.stripo.email,404 Not Found,404,548,443,https://assets-postgresql-paymentsstorage.stripocdn-test1.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,assets-postgresql-paymentsstorage.stripocdn-test1.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-15T10:10:18Z,2023-05-16T10:10:17Z,CN=*.stripocdn-test1.stripo.email,*.stripocdn-test1.stripo.email,stripocdn-test1.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3f6f4a4f560d8f95b421d3a8c80d48e1,39b730b66052b840e59201408ce0d082724875a3e7e1eeda05c92f132d25c48d,True,ctls,assets-postgresql-paymentsstorage.stripocdn-test1.stripo.email,,,,,,
assetsaccesscloud.stripocdn-test2.stripo.email,404 Not Found,404,146,443,https://assetsaccesscloud.stripocdn-test2.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,assetsaccesscloud.stripocdn-test2.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-15T10:26:16Z,2023-05-16T10:26:15Z,CN=*.stripocdn-test2.stripo.email,*.stripocdn-test2.stripo.email,stripocdn-test2.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3762165568aec3e3a12ff8c167095325,07d7eb83750b4995de419594b55a1b900697a735852339bc7f84b74ade0859b9,True,ctls,assetsaccesscloud.stripocdn-test2.stripo.email,,,,,,
assetsintranet.stripocdn-test1.stripo.email,404 Not Found,404,146,443,https://assetsintranet.stripocdn-test1.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,assetsintranet.stripocdn-test1.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-15T10:10:18Z,2023-05-16T10:10:17Z,CN=*.stripocdn-test1.stripo.email,*.stripocdn-test1.stripo.email,stripocdn-test1.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3f6f4a4f560d8f95b421d3a8c80d48e1,39b730b66052b840e59201408ce0d082724875a3e7e1eeda05c92f132d25c48d,True,ctls,assetsintranet.stripocdn-test1.stripo.email,,,,,,
assetsosmail.stripocdn-test10.stripo.email,404 Not Found,404,548,443,https://assetsosmail.stripocdn-test10.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,assetsosmail.stripocdn-test10.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-16T12:34:13Z,2023-05-17T12:34:12Z,CN=*.stripocdn-test10.stripo.email,*.stripocdn-test10.stripo.email,stripocdn-test10.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2a832af0666c9981b773bee7c4d17b61,c05718f6df03f5b4c9bc189dc0e15603bfc0287b3725674b6c6def5cd95fb7c5,True,ctls,assetsosmail.stripocdn-test10.stripo.email,,,,,,
assetswikiwebweb01backup-accept-domain.stripocdn-test10.stripo.email,404 Not Found,404,146,443,https://assetswikiwebweb01backup-accept-domain.stripocdn-test10.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,assetswikiwebweb01backup-accept-domain.stripocdn-test10.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-16T12:34:13Z,2023-05-17T12:34:12Z,CN=*.stripocdn-test10.stripo.email,*.stripocdn-test10.stripo.email,stripocdn-test10.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2a832af0666c9981b773bee7c4d17b61,c05718f6df03f5b4c9bc189dc0e15603bfc0287b3725674b6c6def5cd95fb7c5,True,ctls,assetswikiwebweb01backup-accept-domain.stripocdn-test10.stripo.email,,,,,,
asw-dev.stripocdn-test10.stripo.email,404 Not Found,404,548,80,http://asw-dev.stripocdn-test10.stripo.email:80,http,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,,,,,,,,,,,,,,,,,,,,,,,,
atl-prd-esxy-02b.stripocdn-test10.stripo.email,404 Not Found,404,146,80,http://atl-prd-esxy-02b.stripocdn-test10.stripo.email:80,http,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,,,,,,,,,,,,,,,,,,,,,,,,
atl-prd-lmsrp-01d.stripocdn-test1.stripo.email,404 Not Found,404,548,443,https://atl-prd-lmsrp-01d.stripocdn-test1.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,atl-prd-lmsrp-01d.stripocdn-test1.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-15T10:10:18Z,2023-05-16T10:10:17Z,CN=*.stripocdn-test1.stripo.email,*.stripocdn-test1.stripo.email,stripocdn-test1.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3f6f4a4f560d8f95b421d3a8c80d48e1,39b730b66052b840e59201408ce0d082724875a3e7e1eeda05c92f132d25c48d,True,ctls,atl-prd-lmsrp-01d.stripocdn-test1.stripo.email,,,,,,
atl-prd-r7nsc-01a.stripocdn-test1.stripo.email,404 Not Found,404,548,443,https://atl-prd-r7nsc-01a.stripocdn-test1.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,atl-prd-r7nsc-01a.stripocdn-test1.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-15T10:10:18Z,2023-05-16T10:10:17Z,CN=*.stripocdn-test1.stripo.email,*.stripocdn-test1.stripo.email,stripocdn-test1.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3f6f4a4f560d8f95b421d3a8c80d48e1,39b730b66052b840e59201408ce0d082724875a3e7e1eeda05c92f132d25c48d,True,ctls,atl-prd-r7nsc-01a.stripocdn-test1.stripo.email,,,,,,
atl-prd-r7nsc-01a.stripocdn-test10.stripo.email,404 Not Found,404,548,443,https://atl-prd-r7nsc-01a.stripocdn-test10.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,atl-prd-r7nsc-01a.stripocdn-test10.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-16T12:34:13Z,2023-05-17T12:34:12Z,CN=*.stripocdn-test10.stripo.email,*.stripocdn-test10.stripo.email,stripocdn-test10.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2a832af0666c9981b773bee7c4d17b61,c05718f6df03f5b4c9bc189dc0e15603bfc0287b3725674b6c6def5cd95fb7c5,True,ctls,atl-prd-r7nsc-01a.stripocdn-test10.stripo.email,,,,,,
atl-prd-res-32a.stripocdn-test10.stripo.email,404 Not Found,404,146,80,http://atl-prd-res-32a.stripocdn-test10.stripo.email:80,http,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,,,,,,,,,,,,,,,,,,,,,,,,
atl-prd-res-44a.stripocdn-test10.stripo.email,404 Not Found,404,146,80,http://atl-prd-res-44a.stripocdn-test10.stripo.email:80,http,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,,,,,,,,,,,,,,,,,,,,,,,,
atl-prd-uccx-pub-01.stripocdn-test10.stripo.email,404 Not Found,404,146,443,https://atl-prd-uccx-pub-01.stripocdn-test10.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,atl-prd-uccx-pub-01.stripocdn-test10.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-16T12:34:13Z,2023-05-17T12:34:12Z,CN=*.stripocdn-test10.stripo.email,*.stripocdn-test10.stripo.email,stripocdn-test10.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2a832af0666c9981b773bee7c4d17b61,c05718f6df03f5b4c9bc189dc0e15603bfc0287b3725674b6c6def5cd95fb7c5,True,ctls,atl-prd-uccx-pub-01.stripocdn-test10.stripo.email,,,,,,
atl-prd-vp-01a.stripocdn-test2.stripo.email,404 Not Found,404,146,443,https://atl-prd-vp-01a.stripocdn-test2.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,atl-prd-vp-01a.stripocdn-test2.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-15T10:26:16Z,2023-05-16T10:26:15Z,CN=*.stripocdn-test2.stripo.email,*.stripocdn-test2.stripo.email,stripocdn-test2.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3762165568aec3e3a12ff8c167095325,07d7eb83750b4995de419594b55a1b900697a735852339bc7f84b74ade0859b9,True,ctls,atl-prd-vp-01a.stripocdn-test2.stripo.email,,,,,,
atl-stg-anshub-01a.stripocdn-test1.stripo.email,404 Not Found,404,548,443,https://atl-stg-anshub-01a.stripocdn-test1.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,atl-stg-anshub-01a.stripocdn-test1.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-15T10:10:18Z,2023-05-16T10:10:17Z,CN=*.stripocdn-test1.stripo.email,*.stripocdn-test1.stripo.email,stripocdn-test1.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3f6f4a4f560d8f95b421d3a8c80d48e1,39b730b66052b840e59201408ce0d082724875a3e7e1eeda05c92f132d25c48d,True,ctls,atl-stg-anshub-01a.stripocdn-test1.stripo.email,,,,,,
atom-bot.stripocdn-test10.stripo.email,404 Not Found,404,548,443,https://atom-bot.stripocdn-test10.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,atom-bot.stripocdn-test10.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-16T12:34:13Z,2023-05-17T12:34:12Z,CN=*.stripocdn-test10.stripo.email,*.stripocdn-test10.stripo.email,stripocdn-test10.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2a832af0666c9981b773bee7c4d17b61,c05718f6df03f5b4c9bc189dc0e15603bfc0287b3725674b6c6def5cd95fb7c5,True,ctls,atom-bot.stripocdn-test10.stripo.email,,,,,,
aussbc01.stripocdn-test10.stripo.email,404 Not Found,404,146,443,https://aussbc01.stripocdn-test10.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,aussbc01.stripocdn-test10.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-16T12:34:13Z,2023-05-17T12:34:12Z,CN=*.stripocdn-test10.stripo.email,*.stripocdn-test10.stripo.email,stripocdn-test10.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2a832af0666c9981b773bee7c4d17b61,c05718f6df03f5b4c9bc189dc0e15603bfc0287b3725674b6c6def5cd95fb7c5,True,ctls,aussbc01.stripocdn-test10.stripo.email,,,,,,
auth-515g15.stripocdn-test10.stripo.email,404 Not Found,404,146,80,http://auth-515g15.stripocdn-test10.stripo.email:80,http,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,,,,,,,,,,,,,,,,,,,,,,,,
auth-api-download.stripocdn-test2.stripo.email,404 Not Found,404,146,443,https://auth-api-download.stripocdn-test2.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,auth-api-download.stripocdn-test2.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-15T10:26:16Z,2023-05-16T10:26:15Z,CN=*.stripocdn-test2.stripo.email,*.stripocdn-test2.stripo.email,stripocdn-test2.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3762165568aec3e3a12ff8c167095325,07d7eb83750b4995de419594b55a1b900697a735852339bc7f84b74ade0859b9,True,ctls,auth-api-download.stripocdn-test2.stripo.email,,,,,,
auth-backup-impreso.stripocdn-test10.stripo.email,404 Not Found,404,146,443,https://auth-backup-impreso.stripocdn-test10.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,auth-backup-impreso.stripocdn-test10.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-16T12:34:13Z,2023-05-17T12:34:12Z,CN=*.stripocdn-test10.stripo.email,*.stripocdn-test10.stripo.email,stripocdn-test10.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2a832af0666c9981b773bee7c4d17b61,c05718f6df03f5b4c9bc189dc0e15603bfc0287b3725674b6c6def5cd95fb7c5,True,ctls,auth-backup-impreso.stripocdn-test10.stripo.email,,,,,,
auth-dns.stripocdn-test10.stripo.email,404 Not Found,404,146,443,https://auth-dns.stripocdn-test10.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,auth-dns.stripocdn-test10.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-16T12:34:13Z,2023-05-17T12:34:12Z,CN=*.stripocdn-test10.stripo.email,*.stripocdn-test10.stripo.email,stripocdn-test10.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2a832af0666c9981b773bee7c4d17b61,c05718f6df03f5b4c9bc189dc0e15603bfc0287b3725674b6c6def5cd95fb7c5,True,ctls,auth-dns.stripocdn-test10.stripo.email,,,,,,
auth-userv1-mrelay.stripocdn-test10.stripo.email,404 Not Found,404,548,443,https://auth-userv1-mrelay.stripocdn-test10.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,auth-userv1-mrelay.stripocdn-test10.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-16T12:34:13Z,2023-05-17T12:34:12Z,CN=*.stripocdn-test10.stripo.email,*.stripocdn-test10.stripo.email,stripocdn-test10.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2a832af0666c9981b773bee7c4d17b61,c05718f6df03f5b4c9bc189dc0e15603bfc0287b3725674b6c6def5cd95fb7c5,True,ctls,auth-userv1-mrelay.stripocdn-test10.stripo.email,,,,,,
auth-v2upload-wwww-backups-www-test.stripocdn-test10.stripo.email,404 Not Found,404,548,443,https://auth-v2upload-wwww-backups-www-test.stripocdn-test10.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,auth-v2upload-wwww-backups-www-test.stripocdn-test10.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-16T12:34:13Z,2023-05-17T12:34:12Z,CN=*.stripocdn-test10.stripo.email,*.stripocdn-test10.stripo.email,stripocdn-test10.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2a832af0666c9981b773bee7c4d17b61,c05718f6df03f5b4c9bc189dc0e15603bfc0287b3725674b6c6def5cd95fb7c5,True,ctls,auth-v2upload-wwww-backups-www-test.stripocdn-test10.stripo.email,,,,,,
