new,host,a,aaaa,cname,soa,ns,status_code,cdn,cdn-name,txt,mx,caa,has_internal_ips,internal_ips,ptr
,dev2.simplereport.gov,20.121.227.73,,,"ns2.cdc.gov, dnsadmin.cdc.gov",,NOERROR,,,,,,,,
,dev3.account.mymedicare.gov,184.51.132.185,"2001:2030:21:18d::288, 2001:2030:21:191::288","iservnonprod.medicare.gov.edgekey.net, e648.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,dev3.simplereport.gov,20.124.54.76,,,"ns2.cdc.gov, dnsadmin.cdc.gov",,NOERROR,,,,,,,,
,dev5.simplereport.gov,20.231.255.135,,,"ns2.cdc.gov, dnsadmin.cdc.gov",,NOERROR,,,,,,,,
,dev6.simplereport.gov,,,,"ns2.cdc.gov, dnsadmin.cdc.gov",,NOERROR,,,,,,,,
,devapps.nichd.nih.gov,156.40.90.127,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,developer.cms.gov,23.78.202.194,"2600:1408:9000:6a1::1fc4, 2600:1408:9000:699::1fc4","production.cms.gov.edgekey.net, e8132.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,developer.grantsolutions.gov,52.5.126.66,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,,,,,,
,developmentalbiology.nih.gov,52.179.97.15,,"nihnhlbidevbioappprod.azurewebsites.net, waws-prod-blu-085.sip.azurewebsites.windows.net, waws-prod-blu-085.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,,,,,,
,devgfa.fic.nih.gov,165.112.127.205,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,device42.era.nih.gov,,,internal-INFRA-PROD-ERA-NIH-GOV-150288178.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,devmerlinapps.nichd.nih.gov,156.40.91.140,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,devsgrc.hhs.gov,158.74.34.93,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,devtestdomain2.nih.gov,"80.239.137.171, 62.115.252.40","2001:2030:21::50ef:89ab, 2001:2030:21::3e73:fc28","devtestdomain2.nih.gov.edgekey.net, e87351.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,devtestdomain3.nih.gov,"2.17.100.200, 2.17.100.171","2a02:26f0:ab00::5c7a:d708, 2a02:26f0:ab00::5c7a:d71b","devtestdomain3.nih.gov.edgekey.net, e87351.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,devtestdomain4.nih.gov,"95.101.111.168, 95.101.111.186","2a02:26f0:480:23::1726:62b9, 2a02:26f0:480:23::1726:628f","devtestdomain4.nih.gov.edgekey.net, e87351.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,devwebeditor.nichd.nih.gov,156.40.90.118,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,dhds.cdc.gov,198.246.102.142,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,,,,,
,diabetes-simulation-model-int.cdc.gov,,"2a02:26f0:b200::58dd:1951, 2a02:26f0:b200::58dd:1980","diabetes-simulation-model-int.cdc.gov.edgekey.net, e128788.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,dial.acl.gov,"13.107.237.45, 13.107.238.45","2620:1ec:4e:1::45, 2620:1ec:4f:1::45","p-pub-fdoor.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fb-t-msedge.net","ns1.fb-t-msedge.net, msnhst.microsoft.com, ns1.fdv2-t-msedge.net",,NOERROR,,,,,,,,
,dialin.cms.hhs.gov,158.73.247.106,,,"usw2.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,dialin.nih.gov,128.231.125.190,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,dialin.nihdev.cit.nih.gov,128.231.125.194,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,dictionary.cdrns.nih.gov,,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,psc4vcpzbd2kvmwhxnycly2fhtkx0g6n,,,,,
,dietarysupplementdatabase.usda.nih.gov,137.187.172.65,2607:f220:41a:431c::89bb:ac41,dsid.od.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,digitalmedia.hhs.gov,23.192.21.219,"2600:1408:9000:6a5::219c, 2600:1408:9000:687::219c","digitalmedia.hhs.gov.edgekey.net, e8604.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,dir.nhlbi.nih.gov,128.231.54.227,2607:f220:404:1302:128:231:54:227,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,dir.nichd.nih.gov,156.40.89.105,,hddirswebep07.nichd.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,dircal.nichd.nih.gov,156.40.90.216,,hddirswebip05.nichd.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,direct.hhs.gov,54.86.156.245,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,directorsblog.nih.gov,"192.0.78.197, 192.0.78.186",,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,directory.nih.gov,128.231.91.180,,directory.ha.nih.gov,"ns.ha.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,dirkozel.nhlbi.nih.gov,128.231.54.245,2607:f220:404:1302:128:231:54:245,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,dirweb.nhlbi.nih.gov,128.231.54.227,2607:f220:404:1302:128:231:54:227,dir.nhlbi.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,dis.ors.od.nih.gov,137.187.61.30,2607:f220:404:1208::30,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,discover.acf.hhs.gov,"205.251.193.117, 205.251.195.200, 205.251.197.178, 205.251.198.200",,rutabaga.washington.palantircloud.com,"ns-1458.awsdns-54.org, awsdns-hostmaster.amazon.com","ns-1458.awsdns-54.org, ns-1736.awsdns-25.co.uk, ns-373.awsdns-46.com, ns-968.awsdns-57.net",NOERROR,,,,,,,,
,discover.nci.nih.gov,129.43.255.113,2607:f220:41d:21c1::812b:ff71,,"ddi-rsgm.nci.nih.gov, hostmaster.nci.nih.gov",,NOERROR,,,"v=spf1 include:nih.gov ~all, EHQ96ut6wCc6TpAEIIsUDa5e1RlWginh1R5apjy3ay+sN4UxV/XLnNDTxypm14N8BXxNPz2v7VKAqOA203KErQ==",,,,,
,disease-uat.nci.nih.gov,"13.226.153.117, 13.226.153.62, 13.226.153.55, 13.226.153.37","2600:9000:2182:5400:1e:eb22:b780:93a1, 2600:9000:2182:5800:1e:eb22:b780:93a1, 2600:9000:2182:9400:1e:eb22:b780:93a1, 2600:9000:2182:3a00:1e:eb22:b780:93a1, 2600:9000:2182:2a00:1e:eb22:b780:93a1, 2600:9000:2182:b000:1e:eb22:b780:93a1, 2600:9000:2182:3000:1e:eb22:b780:93a1, 2600:9000:2182:8400:1e:eb22:b780:93a1",dmpgxa0os02xq.cloudfront.net,"ns-1474.awsdns-56.org, awsdns-hostmaster.amazon.com","ns-1942.awsdns-50.co.uk, ns-36.awsdns-04.com, ns-985.awsdns-59.net, ns-1474.awsdns-56.org",NOERROR,True,cloudfront,,,,,,
,disease.nci.nih.gov,"108.138.51.110, 108.138.51.117, 108.138.51.19, 108.138.51.56, 205.251.193.204, 205.251.195.211, 205.251.197.94, 205.251.198.214","2600:9000:2436:a000:12:b9ba:cd80:93a1, 2600:9000:2436:e000:12:b9ba:cd80:93a1, 2600:9000:2436:3a00:12:b9ba:cd80:93a1, 2600:9000:2436:8000:12:b9ba:cd80:93a1, 2600:9000:2436:400:12:b9ba:cd80:93a1, 2600:9000:2436:4200:12:b9ba:cd80:93a1, 2600:9000:2436:7400:12:b9ba:cd80:93a1, 2600:9000:2436:a200:12:b9ba:cd80:93a1, 2600:9000:5301:cc00::1",d1g8eak95hwyeu.cloudfront.net,"ns-1750.awsdns-26.co.uk, awsdns-hostmaster.amazon.com","ns-979.awsdns-58.net, ns-460.awsdns-57.com, ns-1750.awsdns-26.co.uk, ns-1374.awsdns-43.org",NOERROR,True,cloudfront,,,,,,
,dkacano.acano.niddk.nih.gov,10.147.22.15,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,True,10.147.22.15,
,dkjssrnz.niddk.nih.gov,128.231.148.25,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,dkrsamgr01.niddk.nih.gov,137.187.240.4,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,dlsdb.cdc.gov,198.246.117.146,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,,,,,
,dmidservices-qa.niaid.nih.gov,128.231.152.128,2607:f220:415:3f2::11,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,dmidservices.niaid.nih.gov,,2607:f220:415:3f2::18,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,dmms.ors.od.nih.gov,137.187.61.57,2607:f220:404:1208::57,ors.od.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov","ns3.nih.gov, ns.nih.gov, ns2.nih.gov",NOERROR,,,"gX9I1FpmG+pDNcxObR3R7rFWZPVQBTHHcNoVvuXiQPmmkVyKE9CEwC2OPCAoXzVsag+tGYYsL+bcts4ABiWCag==, v=spf1 include:nih.gov ~all, apple-domain-verification=IKuLWQFDZrQKfyg3","nihcesxway.hub.nih.gov, nihcesxwayst06.hub.nih.gov, nihcesxwayst05.hub.nih.gov, nihcesxwayst04.hub.nih.gov, nihcesxwayst03.hub.nih.gov, nihcesxwayst02.hub.nih.gov, nihcesxwayst01.hub.nih.gov, nihcesxway5.hub.nih.gov, nihcesxway4.hub.nih.gov, nihcesxway3.hub.nih.gov, nihcesxway2.hub.nih.gov",,,,
,dms.od.nih.gov,156.40.212.55,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,dmzsmtp.cdc.gov,"198.246.121.137, 198.246.117.137, 198.246.96.92, 198.246.96.61, 198.246.125.10",,,"ns2.cdc.gov, hostmaster.cdc.gov","ns3.cdc.gov, icdc-us-ns1.cdc.gov, ns2.cdc.gov, icdc-us-ns3.cdc.gov, ns1.cdc.gov, icdc-us-ns2.cdc.gov",NOERROR,,,,,,,,
,dnaregistrystage.niehs.nih.gov,157.98.255.45,,stage.niehs.nih.gov,"ns8.niehs.nih.gov, niehsdco.niehs.nih.gov",,NOERROR,,,,,,,,
,dnav.cms.gov,,,,"usw2.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,dnpao-dtm-cr.services.cdc.gov,"88.221.24.16, 88.221.24.50","2a02:26f0:b200::58dd:195b, 2a02:26f0:b200::58dd:1962","dnpao-dtm-cr.services.cdc.gov.edgekey.net, e113800.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,docs.cdc.gov,20.82.12.44,,"gray-plant-02c41ec0f.3.azurestaticapps.net, gray-plant-02c41ec0f.privatelink.3.azurestaticapps.net, azurestaticapps3.trafficmanager.net, msha-slice-3-am2-1.msha-slice-3-am2-1-ase.p.azurewebsites.net, waws-prod-am2-19833c46.sip.p.azurewebsites.windows.net, msha-slice-3-am2-0.msha-slice-3-am2-0-ase.p.azurewebsites.net, waws-prod-am2-4f0021d1.sip.p.azurewebsites.windows.net","ns1-05.azure-dns.com, msnhst.microsoft.com",,NOERROR,,,,,,,,
,docs.cit.nih.gov,128.231.56.141,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,docs.collaboration.nhlbi.nih.gov,40.121.84.61,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,True,azure,,,,,,
,docs.nhlbi.nih.gov,"52.61.133.104, 52.61.134.28, 52.61.132.180",,"nhlbi2.my.salesforce.com, na107.my.salesforce.com, na107-hio.my.salesforce.com, na107-hio.hio.r.my.salesforce.com","ns1-hio.salesforce.com, hostmaster.salesforce.com",,NOERROR,,,,,,,,
,docs.test.developer.cms.gov,,,,"usw2.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,documentation.uts.wip.nlm.nih.gov,130.14.16.161,,,,,NOERROR,,,,,,,,
,dod.services.external.uat.era.nih.gov,165.112.228.130,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,does.ors.od.nih.gov,137.187.61.57,2607:f220:404:1208::57,ors.od.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov","ns.nih.gov, ns3.nih.gov, ns2.nih.gov",NOERROR,,,"apple-domain-verification=IKuLWQFDZrQKfyg3, v=spf1 include:nih.gov ~all, gX9I1FpmG+pDNcxObR3R7rFWZPVQBTHHcNoVvuXiQPmmkVyKE9CEwC2OPCAoXzVsag+tGYYsL+bcts4ABiWCag==","nihcesxway.hub.nih.gov, nihcesxway3.hub.nih.gov, nihcesxwayst06.hub.nih.gov, nihcesxwayst04.hub.nih.gov, nihcesxwayst05.hub.nih.gov, nihcesxwayst01.hub.nih.gov, nihcesxwayst02.hub.nih.gov, nihcesxwayst03.hub.nih.gov, nihcesxway4.hub.nih.gov, nihcesxway2.hub.nih.gov, nihcesxway5.hub.nih.gov",,,,
,dohs.ors.od.nih.gov,"137.187.61.57, 128.231.128.251, 128.231.64.1, 165.112.4.230","2607:f220:404:1208::57, 2607:f220:404:101::80e7:80fb, 2607:f220:418:4101::80e7:401, 2607:f220:402:1801::a570:4e6",ors.od.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov","ns.nih.gov, ns3.nih.gov, ns2.nih.gov",NOERROR,,,"apple-domain-verification=IKuLWQFDZrQKfyg3, v=spf1 include:nih.gov ~all, gX9I1FpmG+pDNcxObR3R7rFWZPVQBTHHcNoVvuXiQPmmkVyKE9CEwC2OPCAoXzVsag+tGYYsL+bcts4ABiWCag==","nihcesxway.hub.nih.gov, nihcesxway4.hub.nih.gov, nihcesxwayst06.hub.nih.gov, nihcesxwayst05.hub.nih.gov, nihcesxwayst04.hub.nih.gov, nihcesxwayst03.hub.nih.gov, nihcesxway5.hub.nih.gov, nihcesxway2.hub.nih.gov, nihcesxway3.hub.nih.gov, nihcesxwayst01.hub.nih.gov, nihcesxwayst02.hub.nih.gov",,,,
,donaciondeorganos.gov,"3.145.237.138, 158.74.30.102, 158.74.30.103, 158.74.30.98, 158.74.30.99","2607:f220:0:1::2c, 2607:f220:0:1::2d, 2607:f220:0:1::2a, 2607:f220:0:1::2b",,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov","rh120ns2.368.dhhs.gov, rh120ns1.368.dhhs.gov, rh202ns2.355.dhhs.gov, rh202ns1.355.dhhs.gov",NOERROR,,,"facebook-domain-verification=2qbird7nnitvqvb8deju6ogaw7alrc, v=spf1 a mx ptr -all","smtp2.ees.hhs.gov, smtp.ees.hhs.gov","entrust.net, digicert.com, amazon.com",,,
,doorman.cdc.gov,158.111.236.108,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,,,,,
,dot.cit.nih.gov,,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,download.cms.gov,104.81.97.198,"2a02:26f0:d8:1091::28a, 2a02:26f0:d8:108b::28a","production2.cms.gov.edgekey.net, e650.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,downsyndrome.nih.gov,107.162.144.93,2604:e180:1014::ffff:6ba2:905d,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,dp.cit.nih.gov,165.112.146.202,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,dpc.cms.gov,"108.138.64.129, 108.138.64.113, 108.138.64.89, 108.138.64.114, 205.251.193.121, 205.251.195.163, 205.251.197.30, 205.251.198.19","2600:9000:2508:8e00:16:ba2a:7e80:93a1, 2600:9000:2508:8000:16:ba2a:7e80:93a1, 2600:9000:2508:1200:16:ba2a:7e80:93a1, 2600:9000:2508:a600:16:ba2a:7e80:93a1, 2600:9000:2508:1000:16:ba2a:7e80:93a1, 2600:9000:2508:8c00:16:ba2a:7e80:93a1, 2600:9000:2508:d800:16:ba2a:7e80:93a1, 2600:9000:2508:f800:16:ba2a:7e80:93a1",doo6r0kwoi0ai.cloudfront.net,"ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com","ns-931.awsdns-52.net, ns-1310.awsdns-35.org, ns-1555.awsdns-02.co.uk, ns-377.awsdns-47.com",NOERROR,True,cloudfront,,,,,,
,dpcpsi.cit.nih.gov,128.231.255.108,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,dpd.cdc.gov,198.246.102.49,,"origin.cdc.gov, origin.glb.cdc.gov","ns1.glb.cdc.gov, hostmaster.ns1.glb.cdc.gov",,NOERROR,,,,,,,,
,dprpdataportal-int.cdc.gov,"2.17.22.186, 2.17.22.195","2a02:26f0:6c00::210:bb39, 2a02:26f0:6c00::210:bb69","dprpdataportal-int.cdc.gov.edgekey.net, e113800.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,dprpdataportal.cdc.gov,"62.115.252.24, 80.239.137.169","2001:2030:21::3e73:fc18, 2001:2030:21::50ef:89a9","dprpdataportal.cdc.gov.edgekey.net, e113800.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,dqradsidp.acf.hhs.gov,,,management-stage-alb-1401090914.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,dr.caphrehrp.hhs.gov,165.112.252.164,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,dragon.cit.nih.gov,165.112.92.228,2607:f220:418:4302::1:228,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,drive.hhs.gov,20.96.165.177,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,drm.csr.nih.gov,165.112.142.199,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,dropboxtest.hhs.gov,158.71.219.206,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,drsportal.ors.od.nih.gov,137.187.218.121,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,drssso.ors.od.nih.gov,137.187.218.121,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,drt.hhs.gov,216.178.232.154,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,drupal-info.cloud.hhs.gov,"52.73.124.247, 34.233.146.175, 54.221.125.239","2600:1f18:212:4a00:8ceb:a080:a960:18e5, 2600:1f18:212:4a01:1d13:61e0:c36:cec0, 2600:1f18:212:4a08:df45:c06f:cba7:4c10",alb-cloudapps-prod-1532575290.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,drymouthgenestudy.nidcr.nih.gov,156.40.89.104,,hddirswebep06.nichd.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,dsconnect.nih.gov,"3.32.247.29, 52.222.29.224",,dsconnect-rdpr-alb-1393091154.us-gov-west-1.elb.amazonaws.com,"ns-523.awsdns-01.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,dsld.od.nih.gov,"15.205.31.115, 3.30.202.245","2600:1f12:18a:7d00:ee79:5a08:e8d7:9c30, 2600:1f12:18a:7d01:d96:bf2f:5b21:6f",dsld.od.nih.gov.external-domains-production.cloud.gov,"ns-715.awsdns-25.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,dsldapi.od.nih.gov,"15.200.103.58, 15.200.78.82","2600:1f12:18a:7d01:e6dd:7be7:f394:2185, 2600:1f12:18a:7d00:b009:8712:fad9:ec9b",dsldapi.od.nih.gov.external-domains-production.cloud.gov,"ns-715.awsdns-25.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,dsmblearningcenter.niaid.nih.gov,165.112.180.87,2607:f220:415:3f0::15,ai-gcpappprd1.niaid.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,dtd.nlm.nih.gov,,2607:f220:41e:4290::119,dtd.wip.ncbi.nlm.nih.gov,"gslb03.nlm.nih.gov, hostmaster.gslb03.nlm.nih.gov",,NOERROR,,,,,,,,
,dtm.cc.nih.gov,,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,"v=spf1 include:nih.gov ~all, JKnGeBa80bkKF50CgSQv3KAYviPU40YMs7x0gCvx5QZ+dILnYmN03oPQpoeei3rnFOazGeX1YEYK3c60/3oxuA==","nihcesxway5.hub.nih.gov, nihcesxway4.hub.nih.gov, nihcesxwayst04.hub.nih.gov, nihcesxway3.hub.nih.gov, nihcesxwayst03.hub.nih.gov, nihcesxwayst05.hub.nih.gov, nihcesxway6.hub.nih.gov, nihcesxwayst06.hub.nih.gov",,,,
,dvppartnersportal.cdc.gov,52.170.165.73,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,True,azure,,,,,,
,dvppartnersportaltest.cdc.gov,,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,,,,,
,dvr.ors.od.nih.gov,137.187.61.57,2607:f220:404:1208::57,ors.od.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov","ns.nih.gov, ns2.nih.gov, ns3.nih.gov",NOERROR,,,"v=spf1 include:nih.gov ~all, apple-domain-verification=IKuLWQFDZrQKfyg3, gX9I1FpmG+pDNcxObR3R7rFWZPVQBTHHcNoVvuXiQPmmkVyKE9CEwC2OPCAoXzVsag+tGYYsL+bcts4ABiWCag==","nihcesxway.hub.nih.gov, nihcesxway2.hub.nih.gov, nihcesxway3.hub.nih.gov, nihcesxway4.hub.nih.gov, nihcesxway5.hub.nih.gov, nihcesxwayst01.hub.nih.gov, nihcesxwayst02.hub.nih.gov, nihcesxwayst03.hub.nih.gov, nihcesxwayst04.hub.nih.gov, nihcesxwayst05.hub.nih.gov, nihcesxwayst06.hub.nih.gov",,,,
,e-bidboard.nih.gov,128.231.152.221,2607:f220:415:3f5::3e,ebbext-vip.niaid.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,e-protocol.od.nih.gov,137.187.172.52,2607:f220:41a:431c::89bb:ac34,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,ea.hhs.gov,128.231.128.21,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
,ea.nih.gov,156.40.75.227,,nihmcmsprod.cit.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
,eaiqa.nlm.nih.gov,"130.14.17.10, 130.14.252.50, 165.112.6.3, 130.14.252.53","2607:f220:41e:252::50, 2607:f220:41f:1405::3, 2607:f220:41e:252::53",,"gslb01.nlm.nih.gov, leeb.mail.nlm.nih.gov","gslb01.nlm.nih.gov, gslb03.nlm.nih.gov, gslb02.nlm.nih.gov",NOERROR,,,jfsrxq3m80bdcg5ggbnw13450qwb76ww,,"digicert.com, entrust.net",,,
,eap.cms.gov,23.201.252.41,"2a02:26f0:480:292::1fc4, 2a02:26f0:480:282::1fc4","production.cms.gov.edgekey.net, e8132.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,eap.imp.cms.gov,"2.16.241.141, 2.16.241.137","2a02:26f0:480:c::210:f18d, 2a02:26f0:480:c::210:f189","nonproduction.cms.gov.edgekey.net, e110723.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,eap.test.cms.gov,"23.64.12.24, 23.64.12.16","2a02:26f0:d200::6855:f91a, 2a02:26f0:d200::6855:f919","nonproduction.cms.gov.edgekey.net, e110723.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,eapd-api.cms.gov,"35.169.130.81, 54.92.198.238, 34.195.72.158",,eapd-staging-880897971.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,eapd.cms.gov,"13.227.219.37, 13.227.219.93, 13.227.219.29, 13.227.219.51","2600:9000:21c7:de00:d:4c8a:9240:93a1, 2600:9000:21c7:6600:d:4c8a:9240:93a1, 2600:9000:21c7:2000:d:4c8a:9240:93a1, 2600:9000:21c7:d000:d:4c8a:9240:93a1, 2600:9000:21c7:8600:d:4c8a:9240:93a1, 2600:9000:21c7:e200:d:4c8a:9240:93a1, 2600:9000:21c7:6200:d:4c8a:9240:93a1, 2600:9000:21c7:4200:d:4c8a:9240:93a1",d1t3pjev5b298p.cloudfront.net,"ns-1840.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-658.awsdns-18.net, ns-1506.awsdns-60.org, ns-1840.awsdns-38.co.uk, ns-229.awsdns-28.com",NOERROR,True,cloudfront,,,,,,
,earlyeducatorcentral.acf.hhs.gov,,,eec-prod-1410384951.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,easauth2.cdc.gov,198.246.99.148,,easauth2.rastglb.cdc.gov,"ns2.rastglb.cdc.gov, citgo.cdc.gov, ns1.rastglb.cdc.gov",,NOERROR,,,,,,,,
,easauth2.rastglb.cdc.gov,198.246.99.148,,,"ns2.rastglb.cdc.gov, citgo.cdc.gov, ns1.rastglb.cdc.gov",,NOERROR,,,,,,,,
,easauth3.cdc.gov,198.246.125.148,,easauth3.rastglb.cdc.gov,"ns2.rastglb.cdc.gov, citgo.cdc.gov",,NOERROR,,,,,,,,
,easmfaauth2.rastglb.cdc.gov,198.246.99.134,,,"ns1.rastglb.cdc.gov, citgo.cdc.gov, ns2.rastglb.cdc.gov",,NOERROR,,,,,,,,
,easpivauth2.cdc.gov,198.246.99.149,,easpivauth2.rastglb.cdc.gov,"ns2.rastglb.cdc.gov, citgo.cdc.gov",,NOERROR,,,,,,,,
