new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,txt,ns,caa,has_internal_ips,internal_ips,mx
[x],testing.forescoutcloud.net,,,,"ns-632.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1947.awsdns-51.co.uk, ns-329.awsdns-41.com, ns-632.awsdns-15.net, ns-1031.awsdns-00.org","letsencrypt.org, amazon.com, digicert.com, godaddy.com",,,
[x],trainingsurvey.forescout.com,"141.193.213.20, 141.193.213.21",,2ezn3pn1puu1.wpeproxy.com,"darwin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],updates.forescout.com,"104.17.188.41, 104.17.187.41","2606:4700::6811:bc29, 2606:4700::6811:bb29",updates.forescout.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],upload-stg.forescout.com,"34.192.197.119, 3.217.80.40",,"upload-stg.forescout.com.cdn.cloudflare.net, palm-upload-stage-https-lb-59141489.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com, ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,,,
[x],upload.forescout.com,"34.205.205.166, 52.44.43.98",,palm-upload-prod-https-lb-138685432.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],www.forescout.com,"141.193.213.21, 141.193.213.20",,2ezn3pn1puu1.wpeproxy.com,"darwin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],www.fs-sra.forescout.com,,,,,NOERROR,,,,,,,,
[x],za-us-prd.forescout.com,63.82.108.9,,,"ns1.markmonitor.com, hostmaster.markmonitor.com",NOERROR,,,,,,,,
[x],za-us.forescout.com,63.82.108.8,,,"ns1.markmonitor.com, hostmaster.markmonitor.com",NOERROR,,,,,,,,
[x],zh.forescout.com,"141.193.213.20, 141.193.213.21",,ktlaeqpp0thj.wpeproxy.com,"darwin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
