new,host,a,soa,status_code,ns,cdn,cdn-name,cname,mx,txt,has_internal_ips,internal_ips,caa,aaaa
[x],nova.coursera.org,"107.21.27.58, 3.95.96.73, 107.23.99.193, 54.160.255.142, 54.173.161.111, 54.159.193.142","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],o1.email-sg.coursera.org,50.31.61.2,"ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],op-onepassword-connect.corp.coursera.org,"10.100.15.193, 10.100.10.51","ns-415.awsdns-51.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1487.awsdns-57.org, ns-1560.awsdns-03.co.uk, ns-415.awsdns-51.com, ns-721.awsdns-26.net",,,,,,True,"10.100.15.193, 10.100.10.51",,
[x],op-scim-bridge.corp.coursera.org,"52.24.92.172, 52.13.202.120","ns-415.awsdns-51.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1487.awsdns-57.org, ns-1560.awsdns-03.co.uk, ns-415.awsdns-51.com, ns-721.awsdns-26.net",,,,,,,,,
[x],pages.coursera.org,"104.17.72.206, 104.17.74.206, 104.17.71.206, 104.17.70.206, 104.17.73.206","bart.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,"coursera.mktoweb.com, ab23.mktossl.com",,,,,,
[x],pages.email.coursera.org,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,pages.virt.s11.exacttarget.com,,,,,,
[x],partnerships.coursera.org,"54.173.161.111, 54.160.255.142, 107.23.99.193, 3.95.96.73, 107.21.27.58, 54.159.193.142","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1481.awsdns-57.org, ns-1590.awsdns-06.co.uk, ns-258.awsdns-32.com, ns-688.awsdns-22.net",,,,,,,,,
[x],princeton.coursera.org,"3.95.96.73, 54.173.161.111, 107.21.27.58, 107.23.99.193, 54.160.255.142, 54.159.193.142","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,class.coursera.org,,,,,,
[x],psu.coursera.org,"3.95.96.73, 54.159.193.142, 54.160.255.142, 107.23.99.193, 54.173.161.111, 107.21.27.58","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,class.coursera.org,,,,,,
[x],pt.coursera.org,"18.154.63.80, 18.154.63.5, 18.154.63.97, 18.154.63.47","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
