input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_mismatched,final_url,location
my-development.plaid.com,The convenient way to manage your financial data | Plaid,200,1086,my-development.plaid.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-19T00:00:00Z,2023-08-11T23:59:59Z,"CN=*.plaid.com, O=Plaid Inc, L=San Francisco, ST=California, C=US",*.plaid.com,Plaid Inc,plaid.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,690811862f650464577846db4b044045,a1caa3d56380b82ea9e04f03eda652020d59a937eb812c305faa321fd6ea2d52,True,ctls,my-development.plaid.com,cloudfront,443,https://my-development.plaid.com:443,https,AmazonS3,text/html,GET,13.32.121.32,/,1074727605,13.32.121.120,HSTS,1,False,True,cdn.solvvy.com,,,
my-testing.plaid.com,The convenient way to manage your financial data | Plaid,200,1086,my-testing.plaid.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-19T00:00:00Z,2023-08-11T23:59:59Z,"CN=*.plaid.com, O=Plaid Inc, L=San Francisco, ST=California, C=US",*.plaid.com,Plaid Inc,plaid.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,690811862f650464577846db4b044045,a1caa3d56380b82ea9e04f03eda652020d59a937eb812c305faa321fd6ea2d52,True,ctls,my-testing.plaid.com,cloudfront,443,https://my-testing.plaid.com:443,https,AmazonS3,text/html,GET,143.204.89.90,/,-1049705041,143.204.89.16,HSTS,1,False,True,https://analytics.plaid.com/sentry/api/596/security/?sentry_key=0601c41a8f8a4253a3a813390e19601f,,,
my.plaid.com,The convenient way to manage your financial data | Plaid,200,1086,my.plaid.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-12T23:59:59Z,CN=plaid.com,plaid.com,,my.plaid.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d6be293022d2e29acde190a4d20c1847,e6c537952e709058b5e837639ae5d358094d635f688f6591aa5c6dc6c9c19cec,,ctls,my.plaid.com,cloudfront,443,https://my.plaid.com:443,https,AmazonS3,text/html,GET,18.66.122.118,/,-1816511691,18.66.122.11,HSTS,1,False,True,analytics.plaid.com,,,
plaid-category-icons.plaid.com,,404,281,plaid-category-icons.plaid.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-19T00:00:00Z,2023-08-11T23:59:59Z,"CN=*.plaid.com, O=Plaid Inc, L=San Francisco, ST=California, C=US",*.plaid.com,Plaid Inc,plaid.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,690811862f650464577846db4b044045,a1caa3d56380b82ea9e04f03eda652020d59a937eb812c305faa321fd6ea2d52,True,ctls,plaid-category-icons.plaid.com,cloudfront,443,https://plaid-category-icons.plaid.com:443,https,AmazonS3,application/xml,GET,18.66.97.129,/,-1966070566,18.66.97.17,Amazon Web Services,2,False,True,,,,
plaid-counterparty-logos.plaid.com,,404,281,plaid-counterparty-logos.plaid.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-19T00:00:00Z,2023-08-11T23:59:59Z,"CN=*.plaid.com, O=Plaid Inc, L=San Francisco, ST=California, C=US",*.plaid.com,Plaid Inc,plaid.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,690811862f650464577846db4b044045,a1caa3d56380b82ea9e04f03eda652020d59a937eb812c305faa321fd6ea2d52,True,ctls,plaid-counterparty-logos.plaid.com,cloudfront,443,https://plaid-counterparty-logos.plaid.com:443,https,AmazonS3,application/xml,GET,99.86.4.85,/,-2133371736,99.86.4.11,Amazon Web Services,2,False,True,,,,
plaid-merchant-logos.plaid.com,,404,281,plaid-merchant-logos.plaid.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-19T00:00:00Z,2023-08-11T23:59:59Z,"CN=*.plaid.com, O=Plaid Inc, L=San Francisco, ST=California, C=US",*.plaid.com,Plaid Inc,plaid.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,690811862f650464577846db4b044045,a1caa3d56380b82ea9e04f03eda652020d59a937eb812c305faa321fd6ea2d52,True,ctls,plaid-merchant-logos.plaid.com,cloudfront,443,https://plaid-merchant-logos.plaid.com:443,https,AmazonS3,application/xml,GET,18.66.97.67,/,960374692,18.66.97.111,Amazon Web Services,2,False,True,,,,
plaid.com,Enabling all companies to build fintech solutions | Plaid,200,98130,plaid.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-12T23:59:59Z,CN=plaid.com,plaid.com,,my.plaid.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d6be293022d2e29acde190a4d20c1847,e6c537952e709058b5e837639ae5d358094d635f688f6591aa5c6dc6c9c19cec,,ctls,plaid.com,cloudfront,443,https://plaid.com:443,https,AmazonS3,text/html,GET,13.225.78.96,/,576927501,2600:9000:21f3:f200:1d:e80d:8080:93a1,React,1044,False,True,,,https://plaid.com/en-eu/,
production.plaid.com,,404,278,production.plaid.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-23T23:59:59Z,"CN=production.plaid.com, O=Plaid Inc, L=San Francisco, ST=California, C=US, serialNumber=5185168, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",production.plaid.com,Plaid Inc,production2.plaid.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,616b19ab70dbe762c9ffdd7cf9473a44,3dd52d0e491278b8f0924a3d308792e5616f923fa834c5ad8ee6e1144cf86f69,,ctls,production.plaid.com,,443,https://production.plaid.com:443,https,nginx,application/json,GET,54.84.219.106,/,908599163,54.84.152.165,Nginx,9,False,,,,,
production2.plaid.com,400 No required SSL certificate was sent,400,632,production2.plaid.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,2023-06-23T23:59:59Z,"CN=production.plaid.com, O=Plaid Inc, L=San Francisco, ST=California, C=US, serialNumber=5185168, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",production.plaid.com,Plaid Inc,production2.plaid.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,616b19ab70dbe762c9ffdd7cf9473a44,3dd52d0e491278b8f0924a3d308792e5616f923fa834c5ad8ee6e1144cf86f69,,ctls,production2.plaid.com,,443,https://production2.plaid.com:443,https,nginx,text/html,GET,54.84.219.106,/,1752500266,54.144.255.14,Nginx,15,False,,,,,
proto.plaid.com,ERROR: The request could not be satisfied,403,919,proto.plaid.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-19T00:00:00Z,2023-08-11T23:59:59Z,"CN=*.plaid.com, O=Plaid Inc, L=San Francisco, ST=California, C=US",*.plaid.com,Plaid Inc,plaid.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,690811862f650464577846db4b044045,a1caa3d56380b82ea9e04f03eda652020d59a937eb812c305faa321fd6ea2d52,True,ctls,proto.plaid.com,cloudfront,443,https://proto.plaid.com:443,https,CloudFront,text/html,GET,65.9.66.103,/,1848470667,65.9.66.57,Amazon Web Services,20,False,True,,,,
sales.plaid.com,,204,,sales.plaid.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T17:57:47Z,2023-08-10T17:57:46Z,CN=sales.plaid.com,sales.plaid.com,,sales.plaid.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9a468776212f84af283d404d59f65d8c,a3b44fe8c60bd85b56b4e9aba268b517c8e8c639c787b826f900723c67decea7,,ctls,sales.plaid.com,,443,https://sales.plaid.com:443,https,,,GET,18.235.9.115,/,-1840324437,54.85.128.104,HSTS,1,False,,,,,
sandbox-card.plaid.com,,400,163,sandbox-card.plaid.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-03T14:53:01Z,2023-08-01T14:53:00Z,CN=sandbox-card.plaid.com,sandbox-card.plaid.com,,sandbox-card.plaid.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c43398bd1ad67aa66c8e64097760608e,71e0850f15b385426699e6270d9d54ad22a7a01a66e39f7df638d06558d3fac4,,ctls,sandbox-card.plaid.com,,443,https://sandbox-card.plaid.com:443,https,nginx,text/plain,GET,3.215.240.222,/,399105511,107.20.75.87,Nginx,1,False,,,,,
sandbox.plaid.com,,404,278,sandbox.plaid.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-16T00:00:00Z,2023-07-17T23:59:59Z,"CN=sandbox.plaid.com, O=Plaid Inc, L=San Francisco, ST=California, C=US, serialNumber=5185168, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",sandbox.plaid.com,Plaid Inc,development2.plaid.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,7b252d652e636d0ef93752ef7aca6be5,ba3127aed49b566c7e752b9ae1a825e584f65cc7734361285777201401ec2409,,ctls,sandbox.plaid.com,,443,https://sandbox.plaid.com:443,https,nginx,application/json,GET,34.207.32.3,/,1236377075,3.214.56.177,Nginx,9,False,,,,,
sandbox2.plaid.com,400 No required SSL certificate was sent,400,632,sandbox2.plaid.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-16T00:00:00Z,2023-07-17T23:59:59Z,"CN=sandbox.plaid.com, O=Plaid Inc, L=San Francisco, ST=California, C=US, serialNumber=5185168, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",sandbox.plaid.com,Plaid Inc,development2.plaid.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,7b252d652e636d0ef93752ef7aca6be5,ba3127aed49b566c7e752b9ae1a825e584f65cc7734361285777201401ec2409,,ctls,sandbox2.plaid.com,,443,https://sandbox2.plaid.com:443,https,nginx,text/html,GET,34.207.32.3,/,1752500266,3.214.56.177,Nginx,15,False,,,,,
secure-testing.plaid.com,,403,275,secure-testing.plaid.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-19T00:00:00Z,2023-08-11T23:59:59Z,"CN=*.plaid.com, O=Plaid Inc, L=San Francisco, ST=California, C=US",*.plaid.com,Plaid Inc,plaid.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,690811862f650464577846db4b044045,a1caa3d56380b82ea9e04f03eda652020d59a937eb812c305faa321fd6ea2d52,True,ctls,secure-testing.plaid.com,cloudfront,443,https://secure-testing.plaid.com:443,https,AmazonS3,application/xml,GET,13.225.78.28,/,736284044,13.225.78.51,Amazon Web Services,2,False,True,,,,
secure.plaid.com,,403,243,secure.plaid.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-09T00:00:00Z,2024-04-08T23:59:59Z,"CN=secure.plaid.com, O=Plaid Inc, L=San Francisco, ST=California, C=US, serialNumber=5185168, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",secure.plaid.com,Plaid Inc,cdn.plaid.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,8cf7c464091d2fcb9e12197b8e8726e0,9d497682982c70fe175c80d3b5604987d09b9f95a501cd7b429baf10ad3e4ceb,,ctls,secure.plaid.com,cloudfront,443,https://secure.plaid.com:443,https,AmazonS3,application/xml,GET,13.32.121.38,/,-1770669667,13.32.121.98,Amazon Web Services,2,False,True,,,,
secure0.plaid.com,,404,278,secure0.plaid.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-08T16:11:07Z,2023-06-06T16:11:06Z,CN=secure0.plaid.com,secure0.plaid.com,,secure0.plaid.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4b0fd6d1fad919bf9e4b09daaf12d045,8777040a12b7e23f872e2bb84e1af795c66c51c75bdcf6c8df3215fe1a67e4c9,,ctls,secure0.plaid.com,,443,https://secure0.plaid.com:443,https,nginx,application/json,GET,3.215.240.222,/,-202751318,107.20.75.87,Nginx,9,False,,,,,
security.plaid.com,Plaid Security Portal | SafeBase,200,192830,security.plaid.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-13T11:30:42Z,2023-06-11T11:30:41Z,CN=security.plaid.com,security.plaid.com,,security.plaid.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,74f28030fc67ebef7a632503ac1e8c1a,51d250aca9a40d4f597d85a35e31466d0a92284a2a981ccfc04a6530e1fccc98,,ctls,security.plaid.com,,443,https://security.plaid.com:443,https,,text/html,GET,77.83.142.191,/,-1323166996,2a09:8280:1:667:634a:5608:6788:3e70,Linkedin Ads,154,False,,https://app.svix.com,,,
sfgateway.plaid.com,,200,170,sfgateway.plaid.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-19T00:00:00Z,2023-08-11T23:59:59Z,"CN=*.plaid.com, O=Plaid Inc, L=San Francisco, ST=California, C=US",*.plaid.com,Plaid Inc,plaid.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,690811862f650464577846db4b044045,a1caa3d56380b82ea9e04f03eda652020d59a937eb812c305faa321fd6ea2d52,True,ctls,sfgateway.plaid.com,,443,https://sfgateway.plaid.com:443,https,,text/html,GET,4.78.253.66,/,593259606,4.78.253.66,HSTS,4,False,,,,,
skyfall-public.prod.ue1.plaid.com,,200,,skyfall-public.prod.ue1.plaid.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-06T02:00:28Z,2023-06-04T02:00:27Z,CN=metrics.plaid.com,metrics.plaid.com,,metrics.plaid.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,44e636590f976ef49ac91bc82a2d07fb,dbeb3100d757a8ed63ace10ed4e43937c39d411d3becd7d19976f7b955e0372c,,ctls,skyfall-public.prod.ue1.plaid.com,,443,https://skyfall-public.prod.ue1.plaid.com:443,https,,,GET,44.205.187.249,/,-1840324437,35.170.18.171,,1,False,,,True,,
slcgateway.plaid.com,,200,170,slcgateway.plaid.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-19T00:00:00Z,2023-08-11T23:59:59Z,"CN=*.plaid.com, O=Plaid Inc, L=San Francisco, ST=California, C=US",*.plaid.com,Plaid Inc,plaid.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,690811862f650464577846db4b044045,a1caa3d56380b82ea9e04f03eda652020d59a937eb812c305faa321fd6ea2d52,True,ctls,slcgateway.plaid.com,,443,https://slcgateway.plaid.com:443,https,,text/html,GET,38.104.174.146,/,-721644640,38.104.174.146,HSTS,4,False,,,,,
static-file-vault.plaid.com,302 Found,302,110,static-file-vault.plaid.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-10-12T23:59:59Z,CN=file-vault.plaid.com,file-vault.plaid.com,,static-file-vault.plaid.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,2edaf58b7a5b35ecc2d81181d9817aaf,1cd47fa6f46f52b3f9405709c69b7a6defa4f39ae4d39d2d8665eebdcdf6bc15,,ctls,static-file-vault.plaid.com,,80,http://static-file-vault.plaid.com:80,http,awselb/2.0,text/html,GET,54.81.137.150,/,434698730,52.22.106.170,,7,False,,,,https://static-file-vault.plaid.com/,https://static-file-vault.plaid.com:443/secure/home/
static.zdassets.com,,403,243,static.zdassets.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-10T00:00:00Z,2023-11-09T23:59:59Z,"CN=zdassets.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zdassets.com,"Cloudflare, Inc.",*.zdassets.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",77aded12c2ec419c8953798f0ed56f4c,c30b9d6e82b472872ae120ed9387019dc5c720d392f4c9a6bc905190956f34a8,True,ctls,static.zdassets.com,cloudflare,443,https://static.zdassets.com:443,https,cloudflare,application/xml,GET,104.18.72.113,/,-1279294674,104.18.70.113,HSTS,2,False,True,,,,
status-beta.plaid.com,Plaid Status,200,149897,status.plaid.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-06T19:46:13Z,2023-07-05T19:46:12Z,CN=ja.riws.status.ricoh.com,ja.riws.status.ricoh.com,,www.hiperz-status.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,67a86584089072990270b278e933bf31,190c77ceb34bcfb9f5c75597eba33e98504a4a514b9de25fb9b2dafa8fc13eb6,,ctls,status.plaid.com,,443,https://status-beta.plaid.com:443,https,,text/html,GET,52.215.192.132,/,-1840324437,52.215.192.132,HSTS,2346,False,,,,https://status.plaid.com/,
status.plaid.com,Plaid Status,200,149897,status.plaid.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-06T19:46:13Z,2023-07-05T19:46:12Z,CN=ja.riws.status.ricoh.com,ja.riws.status.ricoh.com,,www.hiperz-status.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,67a86584089072990270b278e933bf31,190c77ceb34bcfb9f5c75597eba33e98504a4a514b9de25fb9b2dafa8fc13eb6,,ctls,status.plaid.com,,443,https://status.plaid.com:443,https,,text/html,GET,52.215.192.132,/,-1840324437,52.215.192.132,HSTS,2346,False,,,,,
support-my.plaid.com,Security check,403,7699,support-my.plaid.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-27T23:39:27Z,2023-07-26T23:39:26Z,CN=support.plaid.com,support.plaid.com,,support.plaid.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7e441cf8bcfad7df0b6b5b675dd2ae65,b33842d573ee8e00fbce8ac990fc6c91b897d811e57fd5b74adc05a220411e2b,,ctls,support-my.plaid.com,cloudflare,443,https://support-my.plaid.com:443,https,cloudflare,text/html,GET,104.16.53.111,/,-1279294674,104.16.51.111,Cloudflare,103,False,True,,,https://support-my.plaid.com/hc/en-us,
support.plaid.com,Security check,403,7766,support.plaid.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-27T23:39:27Z,2023-07-26T23:39:26Z,CN=support.plaid.com,support.plaid.com,,support.plaid.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7e441cf8bcfad7df0b6b5b675dd2ae65,b33842d573ee8e00fbce8ac990fc6c91b897d811e57fd5b74adc05a220411e2b,,ctls,support.plaid.com,cloudflare,443,https://support.plaid.com:443,https,cloudflare,text/html,GET,104.16.53.111,/,-1279294674,104.16.51.111,Cloudflare,103,False,True,,,https://support.plaid.com/hc/en-us,
threads.plaid.com,Threads 2023 | Plaid,200,84297,plaid.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-12T23:59:59Z,CN=plaid.com,plaid.com,,my.plaid.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d6be293022d2e29acde190a4d20c1847,e6c537952e709058b5e837639ae5d358094d635f688f6591aa5c6dc6c9c19cec,,ctls,plaid.com,,443,https://threads.plaid.com:443,https,AmazonS3,text/html,GET,3.248.123.157,/,141353728,52.213.47.89,React,1040,False,,,,https://plaid.com/events/threads/,
www.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,marketingplatform.google.com,,443,https://www.google-analytics.com:443,https,sffe,text/html,GET,216.239.34.178,/,302920777,2a00:1450:4001:806::200e,HTTP/3,1831,False,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,,https://marketingplatform.google.com/about/analytics/,
www.plaid.com,Enabling all companies to build fintech solutions | Plaid,200,98130,plaid.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-12T23:59:59Z,CN=plaid.com,plaid.com,,my.plaid.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d6be293022d2e29acde190a4d20c1847,e6c537952e709058b5e837639ae5d358094d635f688f6591aa5c6dc6c9c19cec,,ctls,plaid.com,cloudfront,443,https://www.plaid.com:443,https,AmazonS3,text/html,GET,65.9.66.27,/,576927501,65.9.66.3,React,1044,False,True,,,https://plaid.com/en-eu/,
yyzgateway.plaid.com,,200,170,yyzgateway.plaid.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-19T00:00:00Z,2023-08-11T23:59:59Z,"CN=*.plaid.com, O=Plaid Inc, L=San Francisco, ST=California, C=US",*.plaid.com,Plaid Inc,plaid.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,690811862f650464577846db4b044045,a1caa3d56380b82ea9e04f03eda652020d59a937eb812c305faa321fd6ea2d52,True,ctls,yyzgateway.plaid.com,,443,https://yyzgateway.plaid.com:443,https,,text/html,GET,149.97.156.166,/,593259606,149.97.156.166,HSTS,4,False,,,,,
zendesk1.plaid.com,,409,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://zendesk1.plaid.com:80,http,cloudflare,text/plain,GET,162.159.138.6,/,1000520165,162.159.128.7,Cloudflare,1,False,True,,,,
zendesk2.plaid.com,,409,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://zendesk2.plaid.com:80,http,cloudflare,text/plain,GET,162.159.138.6,/,1000520165,162.159.128.7,Cloudflare,1,False,True,,,,
zendesk3.plaid.com,,409,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://zendesk3.plaid.com:80,http,cloudflare,text/plain,GET,162.159.128.7,/,1000520165,162.159.138.6,Cloudflare,1,False,True,,,,
