new,host,soa,status_code,a,ns,txt,cname,has_internal_ips,internal_ips,aaaa,cdn,cdn-name,mx,caa
[x],central.vault.local.zynga.com,"pdns1.ultradns.net, cloudeng.zynga.com",NOERROR,,,,,,,,,,,
[x],cf-csr2.cdn.zynga.com,"ns-856.awsdns-43.net, awsdns-hostmaster.amazon.com",NOERROR,"143.204.89.72, 143.204.89.47, 143.204.89.93, 143.204.89.19","ns-107.awsdns-13.com, ns-856.awsdns-43.net, ns-1440.awsdns-52.org, ns-1818.awsdns-35.co.uk",,dl7zu7b0zxp8t.cloudfront.net,,,"2600:9000:2156:5e00:3:c71c:4340:93a1, 2600:9000:2156:400:3:c71c:4340:93a1, 2600:9000:2156:c400:3:c71c:4340:93a1, 2600:9000:2156:1e00:3:c71c:4340:93a1, 2600:9000:2156:8a00:3:c71c:4340:93a1, 2600:9000:2156:7200:3:c71c:4340:93a1, 2600:9000:2156:d200:3:c71c:4340:93a1, 2600:9000:2156:a800:3:c71c:4340:93a1",True,cloudfront,,
[x],cf-spadesplus.cdn.zynga.com,,NOERROR,"18.66.147.110, 18.66.147.119, 18.66.147.102, 18.66.147.56","ns-1888.awsdns-44.co.uk, ns-468.awsdns-58.com, ns-1172.awsdns-18.org, ns-801.awsdns-36.net",,d3q4jytjnkxp2q.cloudfront.net,,,"2600:9000:225e:800:1d:d9af:4c80:93a1, 2600:9000:225e:0:1d:d9af:4c80:93a1, 2600:9000:225e:1200:1d:d9af:4c80:93a1, 2600:9000:225e:4200:1d:d9af:4c80:93a1, 2600:9000:225e:1600:1d:d9af:4c80:93a1, 2600:9000:225e:2200:1d:d9af:4c80:93a1, 2600:9000:225e:b600:1d:d9af:4c80:93a1, 2600:9000:225e:c800:1d:d9af:4c80:93a1",True,cloudfront,,
[x],cf-tropicthunder.cdn.zynga.com,,NOERROR,"18.66.112.25, 18.66.112.27, 18.66.112.62, 18.66.112.123","ns-8.awsdns-01.com, ns-1051.awsdns-03.org, ns-622.awsdns-13.net, ns-1602.awsdns-08.co.uk",,d193q3u0lnkucr.cloudfront.net,,,,True,cloudfront,,
[x],ci.zyngagames.com,"ns-743.awsdns-28.net, awsdns-hostmaster.amazon.com",NOERROR,"10.197.45.120, 10.197.36.71",,,,True,"10.197.45.120, 10.197.36.71",,,,,
[x],city.zynga.com,"pdns1.ultradns.net, cloudeng.zynga.com",NOERROR,10.80.80.218,,,,True,10.80.80.218,,,,,
[x],cityville.zynga.com,"pdns1.ultradns.net, cloudeng.zynga.com",NOERROR,,"a18-66.akam.net, pdns89.ultradns.com, a5-65.akam.net, a26-67.akam.net, a9-66.akam.net, pdns89.ultradns.net, a1-193.akam.net, pdns89.ultradns.biz, pdns89.ultradns.org, a28-64.akam.net",,zynga.com,,,,True,cloudfront,,
[x],clicks.zynga.com,"ns-1684.awsdns-18.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"108.138.7.91, 108.138.7.44, 108.138.7.111, 108.138.7.37","ns-1120.awsdns-12.org, ns-135.awsdns-16.com, ns-1684.awsdns-18.co.uk, ns-984.awsdns-59.net",,d1gvzgpbg80pdd.cloudfront.net,,,"2600:9000:2490:2600:1:d36e:1c40:93a1, 2600:9000:2490:4400:1:d36e:1c40:93a1, 2600:9000:2490:c800:1:d36e:1c40:93a1, 2600:9000:2490:8800:1:d36e:1c40:93a1, 2600:9000:2490:2400:1:d36e:1c40:93a1, 2600:9000:2490:1200:1:d36e:1c40:93a1, 2600:9000:2490:dc00:1:d36e:1c40:93a1, 2600:9000:2490:ec00:1:d36e:1c40:93a1",True,cloudfront,,
[x],client.staging.castlemobile.zynga.com,,NOERROR,,,,,,,,,,,
[x],client.staging.farm2.zynga.com,"ns-2031.awsdns-61.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
