new,host,a,soa,txt,status_code,cdn,cdn-name,cname,mx,ns,has_internal_ips,internal_ips,aaaa
,gapbstapplicationsstaging.bst.gapinc.com,0.0.0.0,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,,gapbstapplicationsstaging.cloudapp.net,,,True,0.0.0.0,
,gapfs.stitch.gapinc.com,"63.33.17.94, 52.51.23.169, 54.195.237.234","ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com","v=spf1 include:_spf.google.com include:mail.zendesk.com include:19492330.spf04.hubspotemail.net include:sendgrid.net mx:amplemarket.com ~all, MS=ms44942321, detectify-verification=969838a510dd75807234eecda55b8edc, google-site-verification=4umc_CvDaQxDND9zzPeTDBna58WZAJv4eJQVA76409Y, google-site-verification=mkBHGAPOxlk6pIgaGoEaFmHT3LRsGp7XjtZSWnztvDM, google-site-verification=t_LCpWzpUE0xslgqAe-ypZAk6mTXVIvHd5hmPoIcofU",NOERROR,,,zeroheight.com,"alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","ns-103.awsdns-12.com, ns-1439.awsdns-51.org, ns-1991.awsdns-56.co.uk, ns-1002.awsdns-61.net",,,
,gapinc.com,13.93.158.16,"edns83.ultradns.com, hostmaster.gap.com","gapinc-prod.azurewebsites.net, v=spf1 ip4:70.37.176.254 ip4:70.37.180.254 include:spf.protection.outlook.com include:spf.mailjet.com include:_spf.salesforce.com include:everbridge.net ~all, 8bxxmp0rf465dx4sr46tyndg1chpw0pm",NOERROR,True,azure,,gapinc-com.mail.protection.outlook.com,"edns83.ultradns.biz, edns83.ultradns.org, edns83.ultradns.com, edns83.ultradns.net",,,
,gateway.gapinc.com,206.24.101.31,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,gateway1.gapinc.com,206.16.32.138,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,gateway2.gapinc.com,206.16.32.139,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,ggerp.gapinc.com,129.159.76.205,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,ggerpdev.gapinc.com,150.136.1.233,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,ggerpdev2.gapinc.com,193.122.133.191,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,gisbooking.gapinc.com,52.255.212.181,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,azure,,,,,,
,gisbookingstage.gapinc.com,52.226.168.200,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,azure,,,"edns83.ultradns.biz, edns83.ultradns.org, edns83.ultradns.net, edns83.ultradns.com",,,
,github-wip.gapinc.com,52.226.168.200,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,azure,,,,,,
,github.gapinc.com,52.255.212.181,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,azure,,,"edns83.ultradns.biz, edns83.ultradns.org, edns83.ultradns.net, edns83.ultradns.com",,,
,gp01azsellwest01us.gapinc.com,40.81.10.37,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,azure,,,,,,
,gp01iad.gapinc.com,8.45.105.52,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,gp01phx.gapinc.com,8.18.111.52,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,gp01rcc.gapinc.com,8.21.68.52,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,gp02iad.gapinc.com,8.45.105.54,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,gp02phx-gw02.gapinc.com,8.18.111.113,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,gp02phx.gapinc.com,8.18.111.54,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,gp02rcc.gapinc.com,8.21.68.54,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,gpbyod01iad.gapinc.com,8.45.105.21,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,gpbyod01phx.gapinc.com,8.18.111.112,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,gpbyod01rcc.gapinc.com,8.21.68.15,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,gpbyod02iad.gapinc.com,8.45.105.23,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,gpbyod02phx.gapinc.com,8.18.111.114,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,"edns83.ultradns.biz, edns83.ultradns.org, edns83.ultradns.net, edns83.ultradns.com",,,
,gpbyod02rcc.gapinc.com,8.21.68.17,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,gpcl.gapinc.com,8.21.68.53,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,vp.gapinc.com,,,,,
,gpcl01iad.gapinc.com,8.45.105.53,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,gpcl01phx.gapinc.com,8.18.111.53,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,gpcl01rcc.gapinc.com,8.21.68.53,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,"edns83.ultradns.biz, edns83.ultradns.org, edns83.ultradns.net, edns83.ultradns.com",,,
,gpcl02iad.gapinc.com,8.45.105.55,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,gpcl02phx.gapinc.com,8.18.111.55,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,"edns83.ultradns.biz, edns83.ultradns.org, edns83.ultradns.net, edns83.ultradns.com",,,
,gpcl02rcc.gapinc.com,8.21.68.55,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,gpiad.gapinc.com,8.45.105.52,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,gpphx.vpn.gapinc.com,8.18.111.52,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,gprcc.gapinc.com,8.21.68.52,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,gptyo.gapinc.com,103.205.184.15,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,image.email.gapinc.com,69.192.160.198,"n0x.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,"akamai-san16.exacttarget.com.edgekey.net, e7411.x.akamaiedge.net",,,,,
,imxgg.ocaus.gapinc.com,129.158.45.186,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,intermixbip-qa.gapinc.com,129.144.208.32,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,intermixbip-qa.ocaus.gapinc.com,129.213.183.106,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,"edns83.ultradns.biz, edns83.ultradns.org, edns83.ultradns.net, edns83.ultradns.com",,,
,intermixbip.gapinc.com,129.144.208.187,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,intermixbip.ocaus.gapinc.com,129.213.170.118,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,"edns83.ultradns.biz, edns83.ultradns.org, edns83.ultradns.net, edns83.ultradns.com",,,
,intermixcon-qa.gapinc.com,129.144.210.31,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,"edns83.ultradns.biz, edns83.ultradns.org, edns83.ultradns.net, edns83.ultradns.com",,,
,intermixcon-qa.ocaus.gapinc.com,129.213.175.123,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,intermixcon-s.ocaus.gapinc.com,150.136.207.157,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,intermixcon.gapinc.com,129.144.210.2,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,intermixcon.ocaus.gapinc.com,129.213.78.79,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,"edns83.ultradns.biz, edns83.ultradns.org, edns83.ultradns.net, edns83.ultradns.com",,,
,intermixrds-qa.gapinc.com,129.144.208.213,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,intermixrds-qa.ocaus.gapinc.com,129.213.192.231,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,intermixrds-s.ocaus.gapinc.com,193.122.166.204,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,intermixrds.gapinc.com,129.144.210.20,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,intermixrds.ocaus.gapinc.com,,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,intermixsim-qa.gapinc.com,129.144.208.88,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,intermixsim-qa.ocaus.gapinc.com,129.213.170.103,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,intermixsim-s.ocaus.gapinc.com,193.122.164.71,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
,intermixsim.gapinc.com,129.144.208.160,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,intermixsim.ocaus.gapinc.com,150.136.195.193,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,oracle,,,,,,
