new,host,a,soa,ns,status_code,cname,cdn,cdn-name,aaaa,caa,mx,txt
[x],observatory.orionlabs.io,151.101.246.132,"ns1.fastly.net, hostmaster.fastly.com",,NOERROR,j.sni.global.fastly.net,True,fastly,,,,
[x],occ.dev-01.orionlabs.io,,"ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],occ.dev-02.orionlabs.io,,"ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],occ.dev-03.orionlabs.io,"3.227.76.140, 35.170.10.17, 52.71.102.141","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],occ.discovery.orionlabs.io,"52.203.104.48, 3.232.143.177, 3.229.206.75","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],occ.orionlabs.io,"107.20.255.83, 23.23.116.85, 3.217.205.200","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com","ns-1358.awsdns-41.org, ns-1729.awsdns-24.co.uk, ns-36.awsdns-04.com, ns-955.awsdns-55.net",NOERROR,,,,,,,
[x],occ.staging.orionlabs.io,"3.232.143.177, 3.229.206.75, 52.203.104.48","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com","ns-1358.awsdns-41.org, ns-1729.awsdns-24.co.uk, ns-36.awsdns-04.com, ns-955.awsdns-55.net",NOERROR,,,,,,,
[x],orionlabs.io,"23.23.116.85, 107.20.255.83, 3.217.205.200","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com","ns-955.awsdns-55.net, ns-1358.awsdns-41.org, ns-36.awsdns-04.com, ns-1729.awsdns-24.co.uk",NOERROR,,,,,,"alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx3.googlemail.com, aspmx2.googlemail.com, aspmx.l.google.com","mixpanel-domain-verify=c9b35cbf-12d0-4b6f-a675-0f470b0ff95e, status-page-domain-verification=hm8m4z79xzhy, v=spf1 include:_spf.google.com include:helpscoutemail.com include:_spf.atlassian.net include:spf.mandrillapp.com include:stspg-customer.com -all, 9761DA914D, apple-domain-verification=3r9X1vpjlK4KEB5S, google-site-verification=5ibCj-eShvb8rQ2_BsMnWn-jcExtpsablyAWh-NWXSw, h1-domain-verification=vjzBGWhCzH5zbDQ8ThdarB1iWYYxREMRS5LqEmbuwUx7w1Pg"
[x],prometheus-dev.sso.orionlabs.io,"107.20.255.83, 23.23.116.85, 3.217.205.200","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],sales-staging.orionlabs.io,"18.66.97.72, 18.66.97.128, 18.66.97.70, 18.66.97.114","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com",,NOERROR,,True,cloudfront,,,,
[x],shop.orionlabs.io,23.227.38.74,"dns1.p06.nsone.net, hostmaster.nsone.net, ns1.dnsimple.com, admin.dnsimple.com",,NOERROR,shops.myshopify.com,,,,"digicert.com, letsencrypt.org, globalsign.com",,
[x],sites.orionlabs.io,142.250.185.147,"ns1.google.com, dns-admin.google.com",,NOERROR,ghs.googlehosted.com,,,2a00:1450:4001:806::2013,,,
[x],staging.orionlabs.io,"3.232.143.177, 3.229.206.75, 52.203.104.48","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],status.orionlabs.io,18.234.32.151,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,8qf5qg6c0923.stspg-customer.com,,,,"globalsign.com;, letsencrypt.org",,
[x],store.orionlabs.io,"3.217.205.200, 23.23.116.85, 107.20.255.83","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,k8s-applications-nlb-bravo-7fdff220ddbc3d46.elb.us-east-1.amazonaws.com,,,,,,
[x],support.orionlabs.io,"54.152.25.190, 54.235.72.83, 52.73.219.150","ns-1428.awsdns-50.org, awsdns-hostmaster.amazon.com",,NOERROR,orion.helpscoutdocs.com,,,,letsencrypt.org,,
[x],test.orionlabs.io,,"ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,"aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com",google-site-verification=yuEZqSCxFxnkYF57dyQnjd2SH-2IyWdCCMQaIm6MwGQ
