new,host,a,cname,soa,status_code,mx,ns,cdn,cdn-name,txt,has_internal_ips,internal_ips,aaaa,caa
[x],api-ecc-dev.fidelity.com,"95.101.74.146, 95.101.74.136","api-ecc-dev.fidelity.com.edgekey.net, e114473.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-live.fidelity.com,"95.101.74.136, 95.101.74.135","api-live.fidelity.com.edgekey.net, e75673.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-mock.fidelity.com,"2.16.187.96, 2.16.187.64, 2.16.187.104","api-mock.fidelity.com.edgekey.net, e114473.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-np.fidelity.com,,,"a8-64.akam.net, fwis.fmr.com",NOERROR,fidelity-com.mail.protection.outlook.com,,,,,,,,
[x],api-perf.fidelity.com,"2.23.209.144, 2.23.209.142","api-perf.fidelity.com.edgekey.net, e114473.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-pperf.fidelity.com,"2.16.187.96, 2.16.187.64, 2.16.187.104","api-pperf.fidelity.com.edgekey.net, e114473.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-preprod.fidelity.com,"104.126.37.185, 104.126.37.179","api-preprod.fidelity.com.edgekey.net, e114473.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-prod.fidelity.com,,,"a8-64.akam.net, fwis.fmr.com",NOERROR,fidelity-com.mail.protection.outlook.com,,,,,,,,
[x],api-sandbox.fidelity.com,"2.23.209.144, 2.23.209.142","api-sandbox.fidelity.com.edgekey.net, e114473.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-stage.fidelity.com,"23.64.12.27, 23.64.12.25","api-stage.fidelity.com.edgekey.net, e114473.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-test.fidelity.com,"95.101.74.146, 95.101.74.136","api-test.fidelity.com.edgekey.net, e114473.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.aw037.c.fidelity.com,"54.174.203.156, 3.228.143.140",,"ns-1019.awsdns-63.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.cloudfrontuatcloud.aw037.c.fidelity.com,"18.155.129.95, 18.155.129.25, 18.155.129.62, 18.155.129.101",,"ns-1019.awsdns-63.net, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1019.awsdns-63.net, ns-1059.awsdns-04.org, ns-1987.awsdns-56.co.uk, ns-462.awsdns-57.com",True,cloudfront,,,,,
[x],api.fidelity.com,,,"a8-64.akam.net, fwis.fmr.com",NOERROR,fidelity-com.mail.protection.outlook.com,,,,,,,,
[x],apistore.fidelity.com,,,"a8-64.akam.net, fwis.fmr.com",NOERROR,fidelity-com.mail.protection.outlook.com,,,,,,,,
[x],apistorexq1.fidelity.com,,,"a8-64.akam.net, fwis.fmr.com",NOERROR,fidelity-com.mail.protection.outlook.com,,,,,,,,
