new,host,a,aaaa,cname,soa,status_code,has_internal_ips,internal_ips,ns,cdn,cdn-name,txt,mx,caa,ptr
[x],corporate.paytm.com,23.56.9.203,,"dashboard-preprod.paytm.com, dashboard-preprod.paytm.com.edgekey.net, e14818.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],cozinhamagicadabruxa.internal.ap-northeast-3.prod-dr.paypay.risk.pai.mypaytm.com,"10.176.21.193, 10.176.0.226, 10.176.15.142",,internal-nginx-20220629045416421900000004-2143198671.ap-northeast-3.elb.amazonaws.com,"ns-1308.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,True,"10.176.21.193, 10.176.0.226, 10.176.15.142","ns-1308.awsdns-35.org, ns-1616.awsdns-10.co.uk, ns-813.awsdns-37.net, ns-82.awsdns-10.com",,,,,,
[x],cric.gamepind.com,,,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],csp-report.mypaytm.com,"3.6.240.29, 13.127.28.88",,csp-report-924924051.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cst.paytmmall.com,,,cst-mall-prod-510571003.ap-southeast-1.elb.amazonaws.com,,NOERROR,,,,,,,,,
[x],ctest.paytm.com,54.251.48.242,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1112.awsdns-11.org, ns-1858.awsdns-40.co.uk, ns-249.awsdns-31.com, ns-998.awsdns-60.net",,,,,,
[x],cybersec.mypaytm.com,"172.67.164.134, 104.21.10.211","2606:4700:3034::6815:ad3, 2606:4700:3032::ac43:a486",cybersec.mypaytm.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,
[x],cybersecurity.mypaytm.com,"172.21.50.196, 172.21.50.151",,internal-appsec-mypaytm-432334098.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,True,"172.21.50.196, 172.21.50.151",,,,,,,
[x],cz.gamepind.com,,,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d12p77iekqvgii.internal.ap-northeast-3.prod-dr.paypay.risk.pai.mypaytm.com,"10.176.21.193, 10.176.15.142, 10.176.0.226",,internal-nginx-20220629045416421900000004-2143198671.ap-northeast-3.elb.amazonaws.com,"ns-1308.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,True,"10.176.21.193, 10.176.15.142, 10.176.0.226","ns-1308.awsdns-35.org, ns-1616.awsdns-10.co.uk, ns-813.awsdns-37.net, ns-82.awsdns-10.com",,,,,,
[x],d68-171.smtp-out.in.paytm.com,175.158.68.171,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d68-172.smtp-out.in.paytm.com,175.158.68.172,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d68-173.smtp-out.in.paytm.com,175.158.68.173,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d68-174.smtp-out.in.paytm.com,175.158.68.174,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d68-175.smtp-out.in.paytm.com,175.158.68.175,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d68-176.smtp-out.in.paytm.com,175.158.68.176,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d68-177.smtp-out.in.paytm.com,175.158.68.177,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d68-178.smtp-out.in.paytm.com,175.158.68.178,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d68-179.smtp-out.in.paytm.com,175.158.68.179,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d68-180.smtp-out.in.paytm.com,175.158.68.180,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d68-181.smtp-out.in.paytm.com,175.158.68.181,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d68-182.smtp-out.in.paytm.com,175.158.68.182,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d68-183.smtp-out.in.paytm.com,175.158.68.183,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d68-184.smtp-out.in.paytm.com,175.158.68.184,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d68-185.smtp-out.in.paytm.com,,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d68-186.smtp-out.in.paytm.com,175.158.68.186,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d68-187.smtp-out.in.paytm.com,,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d68-188.smtp-out.in.paytm.com,175.158.68.188,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d68-189.smtp-out.in.paytm.com,175.158.68.189,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1112.awsdns-11.org, ns-1858.awsdns-40.co.uk, ns-249.awsdns-31.com, ns-998.awsdns-60.net",,,,,,
[x],d68-190.smtp-out.in.paytm.com,175.158.68.190,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d69-81.smtp-out.in.paytm.com,175.158.69.81,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d69-82.smtp-out.in.paytm.com,175.158.69.82,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],d69-83.smtp-out.in.paytm.com,175.158.69.83,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1112.awsdns-11.org, ns-1858.awsdns-40.co.uk, ns-249.awsdns-31.com, ns-998.awsdns-60.net",,,,,,
[x],d69-84.smtp-out.in.paytm.com,175.158.69.84,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
