new,host,a,soa,ns,status_code,aaaa,cname,mx,txt
[x],admin-en-users.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],admin-it.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],admin-v4-cacheoceania.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],admin-vpn-dbmscorporate.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],admin-wiki.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns14.cloudns.net, pns12.cloudns.net, ns14.cloudns.net, ns11.cloudns.net, ns13.cloudns.net, ns12.cloudns.net, pns11.cloudns.net, pns13.cloudns.net",NOERROR,,,,
[x],admin10.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],admincloud-x2p-edge-http-shv-01-otp1.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns12.cloudns.net, ns12.cloudns.net, pns11.cloudns.net, ns13.cloudns.net, ns14.cloudns.net, pns13.cloudns.net, ns11.cloudns.net, pns14.cloudns.net",NOERROR,,,,
[x],admindownloads-defaultproduction.demo.kartpay.com,,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],adminelasticbeanstalk.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],adminsystem-authdev-miembros.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns12.cloudns.net, ns14.cloudns.net, pns14.cloudns.net, pns13.cloudns.net, pns12.cloudns.net, ns13.cloudns.net, pns11.cloudns.net, ns11.cloudns.net",NOERROR,,,,
[x],adminv2ipv4.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],advertiser.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],advrtr.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],aes.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],affiliatewp.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],afvpn-213-5.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],ajustetitrecapmed.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns12.cloudns.net, pns13.cloudns.net, ns14.cloudns.net, pns14.cloudns.net, ns13.cloudns.net, ns11.cloudns.net, ns12.cloudns.net, pns11.cloudns.net",NOERROR,,,,
[x],alperotomotiv34.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns13.cloudns.net, ns11.cloudns.net, pns14.cloudns.net, ns12.cloudns.net, pns12.cloudns.net, pns13.cloudns.net, ns14.cloudns.net, pns11.cloudns.net",NOERROR,,,,
[x],alpha-buckettemp.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns14.cloudns.net, pns13.cloudns.net, pns11.cloudns.net, ns12.cloudns.net, ns11.cloudns.net, ns13.cloudns.net, ns14.cloudns.net, pns12.cloudns.net",NOERROR,,,,
[x],alpha-db2-corp.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns13.cloudns.net, pns14.cloudns.net, ns14.cloudns.net, ns11.cloudns.net, ns12.cloudns.net, pns11.cloudns.net, ns13.cloudns.net, pns12.cloudns.net",NOERROR,,,,
[x],alpha-devbackupintconfig.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns14.cloudns.net, ns11.cloudns.net, ns13.cloudns.net, pns12.cloudns.net, ns14.cloudns.net, pns11.cloudns.net, ns12.cloudns.net, pns13.cloudns.net",NOERROR,,,,
[x],alpha-m2b-22.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],alpha-statusvpnns-nanotechnet2.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],alpha-vpn-assets-postmanbackups-www-test.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns13.cloudns.net, pns14.cloudns.net, pns11.cloudns.net, ns12.cloudns.net, pns12.cloudns.net, ns14.cloudns.net, ns13.cloudns.net, ns11.cloudns.net",NOERROR,,,,
[x],alphaalphaadmin.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],alphadevpp-config-redirect.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net",,NOERROR,,,,
[x],alphapreviewtemp-exchangedns.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns11.cloudns.net, pns12.cloudns.net, pns11.cloudns.net, pns14.cloudns.net, ns13.cloudns.net, ns12.cloudns.net, pns13.cloudns.net, ns14.cloudns.net",NOERROR,,,,
[x],alpharnr.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns12.cloudns.net, pns14.cloudns.net, pns13.cloudns.net, ns13.cloudns.net, ns11.cloudns.net, pns11.cloudns.net, ns14.cloudns.net, pns12.cloudns.net",NOERROR,,,,
[x],am31a01ls-test-ipv6.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns11.cloudns.net, pns13.cloudns.net, ns13.cloudns.net, pns11.cloudns.net, ns14.cloudns.net, ns12.cloudns.net, pns14.cloudns.net, pns12.cloudns.net",NOERROR,,,,
[x],amboss.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns12.cloudns.net, pns11.cloudns.net, pns13.cloudns.net, ns13.cloudns.net, ns12.cloudns.net, ns11.cloudns.net, pns14.cloudns.net, ns14.cloudns.net",NOERROR,,,,
[x],amp-api-edge.demo.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns12.cloudns.net, ns14.cloudns.net, pns11.cloudns.net, ns12.cloudns.net, pns13.cloudns.net, ns13.cloudns.net, pns14.cloudns.net, ns11.cloudns.net",NOERROR,,,,
[x],anycast-control-ext-shv-01-bru2.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","pns12.cloudns.net, ns14.cloudns.net, pns11.cloudns.net, ns11.cloudns.net, pns13.cloudns.net, pns14.cloudns.net, ns13.cloudns.net, ns12.cloudns.net",NOERROR,,,,
[x],api-doc.424.kartpay.com,3.108.122.205,"pns11.cloudns.net, support.cloudns.net","ns14.cloudns.net, pns12.cloudns.net, ns13.cloudns.net, pns11.cloudns.net, pns13.cloudns.net, ns11.cloudns.net, pns14.cloudns.net, ns12.cloudns.net",NOERROR,,,,
