new,host,a,cname,soa,status_code,cdn,cdn-name,mx,ns,txt,aaaa,has_internal_ips,internal_ips
[x],transact.pba.mastercard.com.au,"108.157.214.104, 108.157.214.21, 108.157.214.102, 108.157.214.61",d39i6126wack4i.cloudfront.net,"ns-1170.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"ns-266.awsdns-33.com, ns-993.awsdns-60.net, ns-1170.awsdns-18.org, ns-1876.awsdns-42.co.uk",,,,
[x],travelprepaid.mastercard.com,216.119.218.174,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],truaxis.mastercard.com,23.206.89.51,"assets.eop.mastercard.com.edgekey.net, e5188.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],tsvs.dev.openbanking.mastercard.com.au,,,,NOERROR,,,,,,,,
[x],uat.mastercard.com,209.64.211.211,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],uat.pba.mastercard.com.au,"108.139.47.18, 108.139.47.82, 108.139.47.29, 108.139.47.53",doda3bl06k41u.cloudfront.net,"ns-1100.awsdns-09.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"ns-499.awsdns-62.com, ns-1880.awsdns-43.co.uk, ns-1100.awsdns-09.org, ns-834.awsdns-40.net",,,,
[x],uat.src.mastercard.com,"80.239.137.152, 80.239.137.154","uat.src.mastercard.com.edgekey.net, e26360.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],uk.priceless.com,134.213.41.81,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],unsubscriberus.priceless.com,178.159.249.153,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],us.priceless.com,216.119.218.100,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],vanity.stage.sdng.mastercard.com,209.64.211.51,stage1.sdg2.mastercard.com,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],ve.priceless.com,104.239.236.220,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],viagens.mastercard.com.br,216.119.209.64,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],voltage-pp-0000.mastercard.com,"216.119.214.11, 216.119.213.11",,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],wa.priceless.com,,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],wait.dev.www.priceless.com,18.210.186.248,waitdev-825bb4b23b5e836f.elb.us-east-1.amazonaws.com,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1286.awsdns-32.org, ns-1826.awsdns-36.co.uk, ns-281.awsdns-35.com, ns-844.awsdns-41.net",,,,
[x],wait.www.priceless.com,3.209.173.16,,"ns-1632.awsdns-12.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],wce.mastercard.com,216.119.209.64,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],world.mastercard.com,216.119.209.64,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],www.bezcenneniespodzianki.pl,3.33.139.32,,"ns1.markmonitor.com, hostmaster.markmonitor.com",NOERROR,,,,,,,,
[x],www.ca.priceless.com,104.239.236.220,ca.priceless.com,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],www.citypossible.com,23.53.50.142,citypossible.com,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,"dns1.mastercard.com, a9-64.akam.net, a22-65.akam.net, a18-64.akam.net, a7-67.akam.net, a26-66.akam.net, dns2.mastercard.com",,"2001:2030:15:187::271b, 2001:2030:15:1a3::271b",,
[x],www.cloud.priceless.com,216.119.216.188,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],www.eu.priceless.com,134.213.41.81,eu.priceless.com,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,"mxb.mailgun.org, mxa.mailgun.org",,"v=spf1 include:mailgun.org ~all, spf2.0/pra, include:mrm.trclient.com, ~all",,,
