host,a,cname,mx,soa,status_code,cdn,cdn-name,ns,has_internal_ips,internal_ips,txt,caa,aaaa
atg-metrics-lab.uberinternal.com,104.36.192.148,"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,,,,,,,
bastion04-phx3.uber.com,104.36.197.131,,,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,,,,,,,
atg-burndown.uberinternal.com,,"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,True,google,"edns126.ultradns.com, edns126.ultradns.net, edns126.ultradns.biz, edns126.ultradns.org",,,,,
atg-iam-avmaps.uberinternal.com,104.36.192.148,"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,,,,,,,
atg-metrics-lab-staging.uberinternal.com,104.36.192.148,"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,,,,,,,
atg-iam-mlp.uberinternal.com,104.36.192.148,"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,,,,,,,
atg-lls-dev.uberinternal.com,104.36.197.136,"frontends-dc.uber.com, geo-frontends-all-phx2.uber.com, cn-phx.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,,,,,,,
atlas-phx2.uberinternal.com,104.36.197.136,"geo-frontends-all-phx2.uber.com, cn-phx.uber.com",mx.sendgrid.net,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,,,,,,,
atg-infraportal-staging.uberinternal.com,104.36.192.148,"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,,,,,,,
atg-iam-dev.uberinternal.com,104.36.192.148,"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,,,,,,,
auth3.uber.com,104.36.197.136,"frontends-all.uber.com, geo-frontends-all-phx2.uber.com, cn-phx.uber.com",mx.sendgrid.net,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,True,google,,,,,,
