host,a,soa,status_code,axfr,cname,mx,cdn,cdn-name,has_internal_ips,internal_ips,txt,ns,caa,aaaa
avmapexplorer.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'avmapexplorer.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
cn-sjc1.uber.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'cn-sjc1.uber.com'},cn-dc1.uber.com,mx.sendgrid.net,,,,,,,,
cn-sjc1.cfe.uber.com,"35.227.224.91, 35.201.81.34","edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'cn-sjc1.cfe.uber.com'},cn.cfe.uber.com,,True,google,,,,,,
cn-phx2.cfe.uber.com,"35.201.81.34, 35.227.224.91","edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'cn-phx2.cfe.uber.com'},cn.cfe.uber.com,,True,google,,,,,,
athenax-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'athenax-staging.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
airportcontrol-ext.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'airportcontrol-ext.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
ae.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'ae.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
bliss-independant.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bliss-independant.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
cn-staging-dca1.cfe.uber.com,130.211.23.192,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'cn-staging-dca1.cfe.uber.com'},cn-staging.cfe.uber.com,,True,google,,,,,,2600:1901:0:6c0::
cn-staging-dca4.cfe.uber.com,130.211.23.192,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'cn-staging-dca4.cfe.uber.com'},cn-staging.cfe.uber.com,,True,google,,,,,,2600:1901:0:6c0::
cn-staging-dca8.cfe.uber.com,130.211.23.192,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'cn-staging-dca8.cfe.uber.com'},cn-staging.cfe.uber.com,,True,google,,,,,,2600:1901:0:6c0::
atg-metrics-lab-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'atg-metrics-lab-staging.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
cn-staging-geo1.uber.com,130.211.23.192,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'cn-staging-geo1.uber.com'},cn-staging.cfe.uber.com,,True,google,,,,,,2600:1901:0:6c0::
cn-staging-dca1.uber.com,104.36.192.150,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'cn-staging-dca1.uber.com'},"cn-staging.uber.com, cn-dc1-staging.uber.com",,,,,,,,,
cn-staging.cfe.uber.com,130.211.23.192,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'cn-staging.cfe.uber.com'},,,True,google,,,,,,2600:1901:0:6c0::
cn.cfe.uber.com,"35.201.81.34, 35.227.224.91","edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'cn.cfe.uber.com'},,,True,google,,,,,,
cn-staging-dca8.uber.com,104.36.192.150,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'cn-staging-dca8.uber.com'},"cn-staging.uber.com, cn-dc1-staging.uber.com",,,,,,,,,
cn-staging-phx2.uber.com,104.36.192.150,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'cn-staging-phx2.uber.com'},cn-dc1-staging.uber.com,,,,,,,,,
cn-staging-sjc4.cfe.uber.com,130.211.23.192,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'cn-staging-sjc4.cfe.uber.com'},cn-staging.cfe.uber.com,,True,google,,,,,,2600:1901:0:6c0::
cn-staging-sjc1.uber.com,104.36.192.150,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'cn-staging-sjc1.uber.com'},"cn-staging.uber.com, cn-dc1-staging.uber.com",,,,,,,,,
cn-staging-phx2.cfe.uber.com,130.211.23.192,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'cn-staging-phx2.cfe.uber.com'},cn-staging.cfe.uber.com,,True,google,,,,,,2600:1901:0:6c0::
ci-mobile-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'ci-mobile-staging.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
cn-staging.uber.com,104.36.192.150,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'cn-staging.uber.com'},cn-dc1-staging.uber.com,,,,,,,,,
cn-staging-sjc4.uber.com,104.36.192.150,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'cn-staging-sjc4.uber.com'},"cn-staging.uber.com, cn-dc1-staging.uber.com",,,,,,,,,
astro.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
asset.vscode.devpod-waw.uberinternal.com,34.149.196.191,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,,,True,google,,,,,,
cnd.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
bliss-search.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bliss-search.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
ahoy.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'ahoy.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
avengers-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
atg-partners-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'atg-partners-staging.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
base.uber.com,"63.33.17.94, 54.195.237.234, 52.51.23.169","ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com",NOERROR,{'host': 'base.uber.com'},zeroheight.com,"aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com",,,,,"MS=ms44942321, detectify-verification=969838a510dd75807234eecda55b8edc, google-site-verification=4umc_CvDaQxDND9zzPeTDBna58WZAJv4eJQVA76409Y, google-site-verification=mkBHGAPOxlk6pIgaGoEaFmHT3LRsGp7XjtZSWnztvDM, google-site-verification=t_LCpWzpUE0xslgqAe-ypZAk6mTXVIvHd5hmPoIcofU, v=spf1 include:_spf.google.com include:mail.zendesk.com include:19492330.spf04.hubspotemail.net include:sendgrid.net mx:amplemarket.com ~all","ns-103.awsdns-12.com, ns-1439.awsdns-51.org, ns-1991.awsdns-56.co.uk",,
apphealth.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'apphealth.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
artifactory-dca1.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,"geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
api-explorer-service.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
atg-logsets.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
avrouting-web-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
adtech-web-tools-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'adtech-web-tools-staging.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
avmapexplorer-qa.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'avmapexplorer-qa.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
alice.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'alice.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
beats-coordinator.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
api-explorer.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
activeai-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'activeai-staging.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
adtech-web-tools.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
ask.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'ask.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
adtech-web-tools-test.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'adtech-web-tools-test.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
atg-chronicle-dev.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'atg-chronicle-dev.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
cadence-dca1.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,"geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
accounts-test.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
attis.uberinternal.com,104.36.197.136,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'attis.uberinternal.com'},"geo-frontends-all-phx2.uber.com, cn-phx.uber.com",mx.sendgrid.net,,,,,,,,
bits-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
a3.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'a3.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
boffin.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'boffin.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
analytics-workbench.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'analytics-workbench.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
atg-lls-dev.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'atg-lls-dev.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
atc-demo-again.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
buildanalyzer.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
blackswan-mitigator.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'blackswan-mitigator.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
boost.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'boost.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
adjustments.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'adjustments.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
atg-burndown-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'atg-burndown-staging.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
ads.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
avmapeditor-qa.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
cms1.vscode.devpod-waw.uberinternal.com,34.149.196.191,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,,,True,google,,,,,,
audit.uberinternal.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
av-log-viewer-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
av-log-viewer-dev.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'av-log-viewer-dev.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
ae-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'ae-staging.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
ads-manager-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'ads-manager-staging.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
airportcontrol-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
blog.vscode.devpod-waw.uberinternal.com,34.149.196.191,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,,,True,google,,,,,,
banker.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'banker.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
arcanist-the-service-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'arcanist-the-service-staging.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
cms.vscode.devpod-waw.uberinternal.com,34.149.196.191,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,,,True,google,,,,,,
blackbox.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'blackbox.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
accounts-test2.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'accounts-test2.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
batch-api-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'batch-api-staging.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
ci-mobile.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'ci-mobile.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
auth.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'auth.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
bbdeploy.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bbdeploy.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
atg-access.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'atg-access.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
auth-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'auth-staging.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
bliss-dashboard.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bliss-dashboard.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
buck-cache-android.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'buck-cache-android.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
cn.uber.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'cn.uber.com'},cn-dc1.uber.com,mx.sendgrid.net,,,,,,,,
atg-collins.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'atg-collins.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
av-log-viewer.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'av-log-viewer.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
appdash.uberinternal.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'appdash.uberinternal.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
canopy.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'canopy.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
aarthika-staging-phx2.uberinternal.com,104.36.197.136,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'aarthika-staging-phx2.uberinternal.com'},"geo-frontends-all-phx2.uber.com, cn-phx.uber.com",mx.sendgrid.net,,,,,,,,
ads-manager.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'ads-manager.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
atg-iam-avmaps.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'atg-iam-avmaps.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
bui-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bui-staging.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
cnc.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'cnc.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
arniestaging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'arniestaging.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
agentflow.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'agentflow.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
changehub.uberinternal.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'changehub.uberinternal.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
admin-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'admin-staging.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
atg-catalog-explorer.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'atg-catalog-explorer.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
ci-go.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'ci-go.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
cadence.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'cadence.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
charter-dev.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'charter-dev.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
ai-apac.uberinternal.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'ai-apac.uberinternal.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
apphealth-monitor-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'apphealth-monitor-staging.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
atg-logsets-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'atg-logsets-staging.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
chronicle-v2.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'chronicle-v2.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
cluster-mgmt.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'cluster-mgmt.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
atg-burndown.uberinternal.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'atg-burndown.uberinternal.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
chameleon-v1.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'chameleon-v1.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
atg-iam-dev.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'atg-iam-dev.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
atg-iam-mlp.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'atg-iam-mlp.uberinternal.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
business-staging.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'business-staging.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
ci-ios-sq-mobile.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'ci-ios-sq-mobile.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
arnav.uberinternal.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'arnav.uberinternal.com'},"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
client.vscode.devpod-waw.uberinternal.com,34.149.196.191,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'client.vscode.devpod-waw.uberinternal.com'},,,True,google,,,,,,
