new,host,a,soa,status_code,cname,cdn,cdn-name,aaaa,ns,has_internal_ips,internal_ips,txt,mx,caa
,smartssc.lenovo.com,43.255.226.198,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,smartsupport.lenovo.com,173.223.112.231,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,"smartsupport.lenovo.com.edgekey.net, smartsupport.lenovo.com.edgekey.net.globalredir.akadns.net, e7741.x.akamaiedge.net",,,,,,,,,
,smarttv.lenovo.com.cn,43.255.226.122,"a24-65.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,smartwidget.csw.lenovo.com,"65.9.86.124, 65.9.86.64, 65.9.86.33, 65.9.86.109","ns-1481.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,smartwidget-csw-lenovo.com,True,cloudfront,,"ns-1481.awsdns-57.org, ns-1844.awsdns-38.co.uk, ns-80.awsdns-10.com, ns-836.awsdns-40.net",,,,,
,smartwidget.dxp.lenovo.com,"104.18.5.45, 104.18.4.45","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,smartwidget.dxp.lenovo.com.cdn.cloudflare.net,True,cloudflare,"2606:4700::6812:52d, 2606:4700::6812:42d",,,,,,
,smartworkplace.lenovo.com,146.196.114.66,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,smb-vip.lenovo.com.cn,43.255.227.45,"a24-65.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,smb-vipclub.lenovo.com.cn,"58.222.25.140, 59.81.65.36, 121.12.168.133, 121.12.168.132, 59.81.65.30, 58.222.25.139","ns1.hwclouds-dns.com, zhangxi\.zhang.huawei.com",NOERROR,"smb-vipclub.lenovo.com.cn.0d52ee9e.c.cdnhwc1.com, hcdnwsa101.v6.c.cdnhwc1.com",,,,,,,,,
,smb.lenovo.com,39.102.31.63,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,smbdirect.lenovo.com,209.167.231.15,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,v=spf1 include:_netblocks.eloqua.com -all,s258138406.m.en25.com,
