new,host,a,soa,status_code,cdn,cdn-name,cname,mx,txt,has_internal_ips,internal_ips,ns,aaaa,caa
[x],b.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],backend-v3.bl.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],backend.semrush.net,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],backendbl.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],backendv3.bl.semrush.com,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],backstage.semrush.net,10.111.1.16,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,True,10.111.1.16,,,
[x],backupcustomersdev.covideo-bot8.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],backuplab-db2-corp.covideo-bot8.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],bandcampy.berush.com,34.120.116.101,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],bas1-2-flk.covideo-bot8.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],basiccompose.berush.com,34.120.116.101,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],bat.semrush.net,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,"ns-cloud-d4.googledomains.com, ns-cloud-d2.googledomains.com, ns-cloud-d3.googledomains.com, ns-cloud-d1.googledomains.com",,
[x],beehive.semrush.net,10.7.32.1,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,True,10.7.32.1,,,
[x],benchtop.berush.com,34.120.116.101,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],benchtop.covideo-bot8.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],berush.com,34.120.116.101,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,"alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx4.googlemail.com, alt1.aspmx.l.google.com, aspmx5.googlemail.com, aspmx3.googlemail.com, aspmx.l.google.com","v=spf1 ip4:192.243.55.31 ip4:46.229.165.11 a mx include:spf.mandrillapp.com include:spf.mindbox.cloud ~all, google-site-verification=LQLwMKl1I5sG4LlnqVGn5SnxiMtOhhIY7Ljx8t_wsAM",,,"ns-cloud-d2.googledomains.com, ns-cloud-d3.googledomains.com, ns-cloud-d1.googledomains.com, ns-cloud-d4.googledomains.com",,
[x],berush2-service.semrush.net,10.7.37.1,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,True,10.7.37.1,,,
[x],beta-k1.semrush.com,35.201.78.168,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],beta-k2.semrush.com,34.107.200.74,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],beta-master-backups-www-test.covideo-bot8.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],beta.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],bid470d.covideo-bot8.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],bid470v.covideo-bot8.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],biz.semrush.com,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,u8131100.wl101.sendgrid.net,mx.sendgrid.net,v=spf1 ip4:167.89.74.134 ip4:167.89.95.30 ip4:168.245.105.246 ip4:168.245.127.38 ip4:168.245.41.16 ip4:168.245.64.186 -all,,,,,
[x],bl.publicapi.semrush.com,35.190.67.184,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],blbackend.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],bldg1iptv99.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],blog-m1.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],blog-m4.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],blog.semrush.covideo-bot8.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],blogs.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],blue-prometheus.semrush.net,10.7.11.4,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,blue-master.semrush.net,,,True,10.7.11.4,,,
[x],bnpparibas.berush.com,,"fake-for-negative-caching.adguard.com, hostmaster.bnpparibas.berush.com",NOERROR,True,google,,,,,,,::,
[x],boardadd.berush.com,34.120.116.101,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],book.covideo-bot8.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],books.semrush.net,10.111.1.16,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,True,10.111.1.16,,,
[x],br.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],bragg-158-5-77-57.covideo-bot8.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],brown-admin-os.semrush.net,10.104.42.108,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,True,10.104.42.108,,,
[x],brown2-profile.semrush.net,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],bucket-new-tracking-external-domain.covideo-bot8.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],bucketalt.covideo-bot8.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],burger.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],button-cropped.berush.com,34.120.116.101,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],ca-autopush.covideo-bot8.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],cache-alpha-en-users.covideo-bot8.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],cafemediscovid19.sa-mailin2.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],cafemediscovid19.sa-www1.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],cafemediscovid19.sa.2018.semrush.com,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],cafemediscovid19.sa.dns1.semrush.com,34.120.45.191,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
