new,host,cname,soa,status_code,a,ns,caa,cdn,cdn-name,aaaa,mx,txt
,docs.datadome.co,ssl.readmessl.com,"jeremy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.210.56, 104.18.211.56",,"digicert.com, letsencrypt.org, comodoca.com, pki.goog; cansignhttpexchanges=yes",True,cloudflare,"2606:4700::6812:d238, 2606:4700::6812:d338",,
,dwt.soundcloud.com.first-party-js.datadome.co,d1hcxlifzhxzha.cloudfront.net,"ns-286.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,"18.66.97.24, 18.66.97.108, 18.66.97.50, 18.66.97.30","ns-1183.awsdns-19.org, ns-1864.awsdns-41.co.uk, ns-286.awsdns-35.com, ns-948.awsdns-54.net",,True,cloudfront,,,
,es-datalake-monitoring-us-west-2.prod.datadome.co,,,NOERROR,54.144.128.85,,,,,,,
,es-datalake-us-monitoring-us-west-2.prod.datadome.co,,"ns-1206.awsdns-22.org, awsdns-hostmaster.amazon.com",NOERROR,"44.229.139.68, 35.165.23.52",,,,,,,
,es.dev-es-loadtest-lb-us-west-2.staging.datadome.co,dev-es-loadtest-lb-us-west-2.staging.datadome.co,"ns-227.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,52.38.188.139,,,,,,,
,events.datadome.co,"geoprox.datadome.co, api-eu-central-1.datadome.co","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,18.194.14.91,,,,,,,
,flink-gcp.datadome.co,prod-auth-redirect-alb-1782525637.eu-west-3.elb.amazonaws.com,"ns-1549.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"13.38.148.57, 13.36.122.177",,,,,,,
,flink.datadome.co,prod-auth-redirect-alb-1782525637.eu-west-3.elb.amazonaws.com,"ns-1549.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"13.38.148.57, 13.36.122.177",,,,,,,
,flink.tooling.datadome.co,prod-auth-tooling-eu-west-3-nlb-50f825e6e311657b.elb.eu-west-3.amazonaws.com,"ns-1069.awsdns-05.org, awsdns-hostmaster.amazon.com",NOERROR,"13.37.140.186, 35.180.70.165",,,,,,,
,fusiondirectory.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,52.208.233.31,,,,,,,
,glpi.datadome.co,,,NOERROR,,,,,,2602:fcbc:0:3::11,,
,go.datadome.co,"datadome.eu1.opr1.com, eu1-cx.outplayhq.com","ns-1483.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"63.32.243.74, 52.49.186.120, 54.76.134.204",,,,,,,
,grafana.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,54.217.20.130,"ns-1139.awsdns-14.org, ns-1801.awsdns-33.co.uk, ns-359.awsdns-44.com, ns-888.awsdns-47.net",,,,,,
,img.datadome.co,d3tojpikvkktnx.cloudfront.net,"ns-1894.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"65.9.66.68, 65.9.66.3, 65.9.66.126, 65.9.66.109","ns-1435.awsdns-51.org, ns-1894.awsdns-44.co.uk, ns-505.awsdns-63.com, ns-539.awsdns-03.net",,True,cloudfront,"2600:9000:206f:a800:16:4700:cb40:93a1, 2600:9000:206f:8000:16:4700:cb40:93a1, 2600:9000:206f:7800:16:4700:cb40:93a1, 2600:9000:206f:5800:16:4700:cb40:93a1, 2600:9000:206f:d000:16:4700:cb40:93a1, 2600:9000:206f:1c00:16:4700:cb40:93a1, 2600:9000:206f:6a00:16:4700:cb40:93a1, 2600:9000:206f:ca00:16:4700:cb40:93a1",,
,img.mailing.datadome.co,img.mailin.fr,"jim.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.104.89, 104.17.105.89, 104.17.103.89, 104.17.102.89, 104.17.106.89",,"comodoca.com, entrust.net, digicert.com, letsencrypt.org, globalsign.com",True,cloudflare,,,
,img.newsletter.datadome.co,img.mailin.fr,"jim.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.103.89, 104.17.106.89, 104.17.104.89, 104.17.105.89, 104.17.102.89",,"entrust.net, comodoca.com, digicert.com, letsencrypt.org, globalsign.com",True,cloudflare,,,
,jk.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,js.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,
