input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,cdn_name,cdn,final_url,tls_expired
https://www.google.com,Google,200,200206,AS15169,GOOGLE,US,142.250.0.0/15,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,,ctls,www.google.com,443,https://www.google.com:443,https,gws,text/html,GET,142.250.185.68,/,708578229,2a00:1450:4001:809::2004,HTTP/3,132,False,https://csp.withgoogle.com/csp/gws/other-hp,,,,
https://www.googleadservices.com,Error 404 (Not Found)!!1,404,1561,AS15169,GOOGLE,US,142.250.0.0/15,www.googleadservices.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:00:50Z,2023-07-17T12:00:49Z,CN=www.googleadservices.com,www.googleadservices.com,,www.googleadservices.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,8f1dbd8a3af112f94f4265d9061b6cf8,627ad86ad5f417259b4442761f58f6de69a622f4f34d2f64412100ca00274524,,ctls,www.googleadservices.com,443,https://www.googleadservices.com:443,https,sffe,text/html,GET,142.250.181.226,/,302920777,142.250.181.226,HTTP/3,12,False,,,,,
https://www.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,AS15169,GOOGLE,US,142.250.0.0/15,www.googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google-analytics.com,*.google-analytics.com,,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,60de21960acc1135956a2968026b647c,3b0044e06b0f98f11a360ad2bd0f640c989df03ba6deeb8b1d3d963d4097fdfb,True,ctls,www.googletagmanager.com,443,https://www.googletagmanager.com:443,https,Google Tag Manager,text/html,GET,142.250.184.232,/,302920777,2a00:1450:4001:830::2008,HTTP/3,12,False,,,,,
https://www.gstatic.com,Error 404 (Not Found)!!1,404,1561,AS15169,GOOGLE,US,142.250.0.0/15,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,True,ctls,www.gstatic.com,443,https://www.gstatic.com:443,https,sffe,text/html,GET,142.250.185.67,/,302920777,2a00:1450:4001:82a::2003,HTTP/3,12,False,,,,,
hydra.mercadolibre.com,MercadoLibre Argentina - Parece que esta página no existe,404,3772,AS0,Not routed,None,13.32.100.0/23,hydra.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,hydra.mercadolibre.com,443,https://hydra.mercadolibre.com:443,https,Tengine,text/html,GET,13.32.99.118,/,-1270008957,13.32.99.31,Tengine,102,False,https://*.mercadopago.com,cloudfront,True,,
infoblox.mercadolibre.com,MercadoLibre Argentina - Parece que esta página no existe,404,3772,AS16509,AS16509,Unknown,13.225.96.0/21,infoblox.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,infoblox.mercadolibre.com,443,https://infoblox.mercadolibre.com:443,https,Tengine,text/html,GET,13.225.78.113,/,-1270008957,13.225.78.96,Tengine,102,False,https://*.hotjar.com,cloudfront,True,,
jobs.mercadolibre.com,Jobs at MercadoLibre,200,27728,AS19994,RACKSPACE,US,23.253.0.0/18,jobs.mercadolibre.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-02-08T00:00:00Z,2024-03-10T23:59:59Z,"CN=jobs.mercadolibre.com, O=Mercadolibre Inc, L=Ciudad Autonoma de Buenos Aires, C=AR",jobs.mercadolibre.com,Mercadolibre Inc,www.jobs.mercadolibre.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c880b9154ca2e507b75dc27fb877af39,aba44ca61cccb0c1aa961e68157596811601f73767fdfcb93435c0da9d2cc651,,ctls,jobs.mercadolibre.com,443,https://jobs.mercadolibre.com:443,https,Apache,text/html,GET,23.253.31.170,/,-1270699277,23.253.31.170,Java,637,False,,,,,
m.mercadolibre.com,MercadoLibre Argentina - Parece que esta página no existe,404,3772,AS0,Not routed,None,13.32.100.0/23,m.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,m.mercadolibre.com,443,https://m.mercadolibre.com:443,https,Tengine,text/html,GET,13.32.99.25,/,-1270008957,13.32.99.99,Tengine,102,False,https://www.googletagmanager.com,cloudfront,True,,
melidata.mercadolibre.com,403 Forbidden,403,624,AS0,Not routed,None,13.32.100.0/23,melidata.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,melidata.mercadolibre.com,443,https://melidata.mercadolibre.com:443,https,Tengine,text/html,GET,13.32.99.99,/,-1270008957,13.32.99.25,Tengine,25,False,https://connect.facebook.net,cloudfront,True,,
ms.mercadolibre.com,404 Not Found,404,196,AS15334,RESPONSYS,US,162.223.232.0/23,ms.mercadolibre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2017-11-09T00:00:00Z,2019-11-14T12:00:00Z,"CN=ms.mercadolibre.com, OU=IT, O=Mercadolibre Inc, L=Dover, ST=de, C=US",ms.mercadolibre.com,Mercadolibre Inc,ms.mercadolibre.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,37e79bd13438805aaec449b4f17738b0,540f10ff82e76fef658c18d39a51918a6858bf4e97cd624382f8781fe4876073,,ctls,ms.mercadolibre.com,443,https://ms.mercadolibre.com:443,https,Apache,text/html,GET,162.223.233.97,/,-780928015,162.223.233.97,Apache,8,False,,,,,True
mytime.mercadolibre.com,Sign in - Google Accounts,200,1430,AS15169,GOOGLE,US,142.250.0.0/15,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,,ctls,www.google.com,80,http://mytime.mercadolibre.com:80,http,GSE,text/html,GET,142.250.186.51,/,236291070,2a00:1450:4001:827::2013,OpenGSE,32,False,https:,,,https://www.google.com/a/mercadolibre.com/ServiceLogin?service=cl&continue=https://calendar.google.com/calendar/&followup=https://calendar.google.com/calendar/&osid=1&passive=1209600,
partners.mercadolibre.com,Certified Partner Program,200,60029,AS0,Not routed,None,13.32.100.0/23,partners.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,partners.mercadolibre.com,443,https://partners.mercadolibre.com:443,https,Tengine,text/html,GET,13.32.99.118,/,-33518394,13.32.99.99,Tengine,66,False,https://maps.googleapis.com,cloudfront,True,,
pppi.mercadolibre.com,Brand Protection Program - Mercado Libre,200,5002,AS0,Not routed,None,13.32.100.0/23,pppi.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,pppi.mercadolibre.com,80,http://pppi.mercadolibre.com:80,http,Tengine/2.2.1,text/html,GET,13.32.99.77,/,1465409019,13.32.99.89,Tengine,1,False,,cloudfront,True,https://pppi.mercadolibre.com/,
prodeng.mercadolibre.com,,401,,AS14618,AMAZON-AES,US,3.228.0.0/17,prodeng.mercadolibre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2023-07-14T23:59:59Z,CN=*.prodeng.mercadolibre.com,*.prodeng.mercadolibre.com,,prodeng.mercadolibre.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,710835e569f05d38ec86a581ccac2078,bdf3280f7e06fde9cce47242b0db93303077bb4dced83a1b8b6ab56b112f6308,True,ctls,prodeng.mercadolibre.com,443,https://prodeng.mercadolibre.com:443,https,awselb/2.0,text/plain,GET,3.220.180.145,/,-1840324437,52.73.5.35,,1,False,,,,,
sellers.mercadolibre.com,Seller Learning Center,200,204774,AS0,Not routed,None,13.32.100.0/23,global-selling.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,global-selling.mercadolibre.com,443,https://sellers.mercadolibre.com:443,https,Tengine,text/html,GET,13.32.99.31,/,104131480,13.32.99.25,Tengine,84,False,https://www.gstatic.com,cloudfront,True,https://global-selling.mercadolibre.com/learning-center/,
sellimg.mercadolibre.com,504 Gateway Time-out,504,664,AS16509,AS16509,Unknown,13.225.96.0/21,sellimg.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,sellimg.mercadolibre.com,443,https://sellimg.mercadolibre.com:443,https,Tengine,text/html,GET,13.225.78.96,/,551439298,13.225.78.61,Tengine,25,False,https://www.googletagmanager.com,cloudfront,True,,
sitemaps.mercadolibre.com,MercadoLibre Argentina - Parece que esta página no existe,404,3772,AS16509,AS16509,Unknown,13.225.96.0/21,,,,,,,,,,,,,,,,,,,,,80,http://sitemaps.mercadolibre.com:80,http,Tengine,text/html,GET,13.225.78.96,/,-1270008957,13.225.78.118,Tengine,102,False,https://js-agent.newrelic.com,cloudfront,True,,
status.mercadolibre.com,Mercado Libre Marketplace StatusPage Status,200,226217,AS16509,AS16509,Unknown,52.216.72.0/24,status.mercadolibre.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-20T06:24:05Z,2023-05-16T20:21:08Z,"CN=statuspage.io, O=Atlassian\, Inc., L=San Francisco, ST=California, C=US",statuspage.io,"Atlassian, Inc.",status.confluent.cloud,"CN=GlobalSign CloudSSL CA - SHA256 - G3, O=GlobalSign nv-sa, C=BE",GlobalSign CloudSSL CA - SHA256 - G3,GlobalSign nv-sa,12f6528630c9b98b9d423e792b0574e0,6f18389f2ff581f1f7167fa76b8d9acb53e6425c3eab30c8016476aac240defe,,ctls,status.mercadolibre.com,443,https://status.mercadolibre.com:443,https,,text/html,GET,52.215.192.132,/,-1840324437,52.215.192.132,HSTS,2795,False,,,,,
sustentabilidad.mercadolibre.com,Sustentabilidad Mercado Libre,200,233141,AS0,Not routed,None,13.32.100.0/23,sustentabilidadmercadolibre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-01-24T00:00:00Z,2024-02-23T23:59:59Z,CN=sustentabilidadmercadolibre.com,sustentabilidadmercadolibre.com,,*.sustentabilidadmercadolibre.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6f14ca7d7f2a0487521b239c741f6b58,2e964a2c557894a8c14d7118bd643164713507e759f424978b8b901d22413fa8,True,ctls,sustentabilidadmercadolibre.com,443,https://sustentabilidad.mercadolibre.com:443,https,,text/html,GET,13.32.99.118,/,604419811,13.32.99.99,webpack,2,False,,cloudfront,True,https://sustentabilidadmercadolibre.com,
test-vendedores.mercadolibre.com,,503,,AS0,Not routed,None,13.32.100.0/23,test-vendedores.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,test-vendedores.mercadolibre.com,443,https://test-vendedores.mercadolibre.com:443,https,Tengine/2.2.1,,GET,13.32.99.108,/,-1840324437,13.32.99.89,Tengine,1,False,,cloudfront,True,,
tienda.mercadolibre.com,MercadoLibre Argentina - Parece que esta página no existe,404,3772,AS16509,AS16509,Unknown,13.225.96.0/21,,,,,,,,,,,,,,,,,,,,,80,http://tienda.mercadolibre.com:80,http,Tengine,text/html,GET,13.225.78.61,/,-1270008957,13.225.78.118,Tengine,102,False,https://*.hotjar.com,cloudfront,True,,
url8202.mercadolibre.com,404 Not Found,404,162,AS11377,SENDGRID,US,167.89.0.0/17,,,,,,,,,,,,,,,,,,,,,80,http://url8202.mercadolibre.com:80,http,nginx,text/html,GET,167.89.118.52,/,190856733,167.89.123.124,Nginx,8,False,,,,,
ux.mercadolibre.com,Mercado Libre UX,200,3993,AS54113,AS54113,Unknown,185.199.108.0/22,ux.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,"GitHub, Inc.",githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,ux.mercadolibre.com,443,https://ux.mercadolibre.com:443,https,GitHub.com,text/html,GET,185.199.110.153,/,-1700323260,2606:50c0:8003::153,Varnish,77,False,,,,,
vender.mercadolibre.com,,404,9592,AS0,Not routed,None,13.32.100.0/23,www.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,www.mercadolibre.com,443,https://vender.mercadolibre.com:443,https,Tengine,text/html,GET,13.32.99.99,/,760070693,13.32.99.25,Tengine,189,False,https://adservice.google.com,cloudfront,True,https://www.mercadolibre.com/publicar,
wms.mercadolibre.com,Anmelden – Google Konten,200,116255,AS0,Not routed,None,13.32.100.0/23,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,True,ctls,accounts.google.com,443,https://wms.mercadolibre.com:443,https,GSE,text/html,GET,13.32.99.31,/,-2128897223,13.32.99.99,OpenGSE,1973,False,http:,cloudfront,True,https://accounts.google.com/InteractiveLogin?continue=https://accounts.google.com/signin/oauth/legacy/consent?authuser%3Dunknown%26part%3DAJi8hAMw7zv9p9TDS2b0odUt7X_5__XymFzyvzK540rZ6z68u42Cq-OYgUaJFfPTISM_pu62vw0o9mmv3eJ2DkRDKDJIDhYEIrDgMRXudny9O6F1cHeORA-OagkidF6QPguQR3ydfr3eUDnpBoWPAEZxptC-6O-o85ImjZSDRHJQ7E1svNEr7OnOrnU36GYPC_oJLsQ8QHIDwNjtkaq3f3wIWfAy2d4yhjdf9RlXjTapSFpyT5cz7zGj0iErbcs9fnREtlLcv8ejZ97taEUZXU066iQBz70YIW0PlEWZSuZ7zmyO7TwkrRZFYSj8L2ZX2GvjXuT38Yqt39pmzEtrD2-9M9C6eAOHuDoy7q31hCxXu39Q2y5XtgdFjqX-UHtKAhzw9Q8mCOfV2FVhV64_RvTHZaZecsyi8kiscOr7t5ytVo1FbWIAke-m_g9ptbQMBv-qkS3KGGQG1eSSoPtXV8MTc6yOld-1Bw%26as%3DS1896131618%253A1683716447620970%26client_id%3D773539637596-8j1usm812jehhj7hrfrec5npkih1egt0.apps.googleusercontent.com%23&oauth=1&rip=1&sacu=1&ifkv=Af_xneGqPPdAh3--yR4u6UTL9pPS--KiJpzLl_gr9yajvSH1YSjvbYlUayeXmEoszG_a30lhTs720w,
www.mercadolibre.com,Mercado Libre - Envíos Gratis en el día,200,18216,AS0,Not routed,None,13.32.100.0/23,www.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,www.mercadolibre.com,80,http://www.mercadolibre.com:80,http,Tengine,text/html,GET,13.32.99.115,/,-975402633,13.32.99.63,Tengine,494,False,https://js-agent.newrelic.com,cloudfront,True,https://www.mercadolibre.com/,
