new,host,soa,txt,status_code,a,cname,ns,cdn,cdn-name,has_internal_ips,internal_ips,aaaa,mx,caa
[x],content.sga.auvik.com,"ns-1832.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"18.66.122.58, 18.66.122.100, 18.66.122.65, 18.66.122.12","4899470484176896-content.customer.pendo.io, d28ncerb5fnorq.cloudfront.net","ns-1397.awsdns-46.org, ns-1832.awsdns-37.co.uk, ns-457.awsdns-57.com, ns-531.awsdns-02.net",True,cloudfront,,,"2600:9000:2250:1200:17:fabc:980:93a1, 2600:9000:2250:ea00:17:fabc:980:93a1, 2600:9000:2250:4000:17:fabc:980:93a1, 2600:9000:2250:4a00:17:fabc:980:93a1, 2600:9000:2250:5600:17:fabc:980:93a1, 2600:9000:2250:3400:17:fabc:980:93a1, 2600:9000:2250:400:17:fabc:980:93a1, 2600:9000:2250:6400:17:fabc:980:93a1",,
[x],continuum.us1.stage.auvik.com,"ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=us1-stage-auvik-com,external-dns/resource=ingress/default/alb-ingress",NOERROR,"75.101.240.151, 3.216.182.25, 54.163.138.40",,"ns-1193.awsdns-21.org, ns-1768.awsdns-29.co.uk, ns-206.awsdns-25.com, ns-924.awsdns-51.net",,,,,,,
[x],crossroads.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"18.233.174.39, 52.201.30.58, 44.196.170.71",,"ns-1255.awsdns-28.org, ns-1817.awsdns-35.co.uk, ns-357.awsdns-44.com, ns-758.awsdns-30.net",,,,,,,
[x],d.daily.auvik.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,"18.66.97.71, 18.66.97.94, 18.66.97.68, 18.66.97.109",,"ns-958.awsdns-55.net, ns-1416.awsdns-49.org, ns-1643.awsdns-13.co.uk, ns-332.awsdns-41.com",True,cloudfront,,,,,
[x],daily.auvik.com,"ns-1551.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",v=spf1 include:amazonses.com -all,NOERROR,"52.71.157.1, 52.0.93.124, 107.23.9.10",,"ns-1551.awsdns-01.co.uk, ns-353.awsdns-44.com, ns-779.awsdns-33.net, ns-1482.awsdns-57.org",,,,,,,
[x],data.sga.auvik.com,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,34.107.204.85,"4899470484176896-data.customer.pendo.io, cname.pendo.io",,True,google,,,,,
[x],dawsonstevensshaigec.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"44.196.170.71, 52.201.30.58, 18.233.174.39",,,,,,,,,
[x],demo.us1.my.auvik.com,"ns-1509.awsdns-60.org, awsdns-hostmaster.amazon.com",,NOERROR,"13.32.121.92, 13.32.121.77, 13.32.121.87, 13.32.121.12",,,True,cloudfront,,,,,
[x],demodermx.us2.my.auvik.com,"ns-22.awsdns-02.com, awsdns-hostmaster.amazon.com",,NOERROR,"108.138.51.103, 108.138.51.46, 108.138.51.25, 108.138.51.40",,,True,cloudfront,,,,,
[x],demodermxhq.us2.my.auvik.com,"ns-22.awsdns-02.com, awsdns-hostmaster.amazon.com",,NOERROR,"18.66.97.111, 18.66.97.43, 18.66.97.123, 18.66.97.51",,,True,cloudfront,,,,,
[x],dsr.auvik.com,"ben.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"104.18.141.97, 104.18.194.99",,,True,cloudflare,,,"2606:4700::6812:8d61, 2606:4700::6812:c263",,
