new,host,a,soa,status_code,ns,cname,cdn,cdn-name,txt,aaaa,has_internal_ips,internal_ips,mx
[x],arlocallbacks-goldenqa-canary.arlo.com,54.76.90.166,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,arlocallbacks-goldenqa-canary-372650890.eu-west-1.elb.amazonaws.com,,,,,,,
[x],arlocallbacks-qa.arlo.com,18.202.151.213,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,arlocallbacks-qa-n-1541746066.eu-west-1.elb.amazonaws.com,,,,,,,
[x],arlocallbacks-staging-canary.arlo.com,54.216.240.69,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,arlocallbacks-staging-canary-941290505.eu-west-1.elb.amazonaws.com,,,,,,,
[x],arlocallbacks-staging.arlo.com,"54.171.174.116, 52.48.35.38","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,arlocallbacks-staging-794620009.eu-west-1.elb.amazonaws.com,,,,,,,
[x],arlocallbacks.arlo.com,"54.155.93.87, 52.214.74.15","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,arlocallbacks-473103736.eu-west-1.elb.amazonaws.com,,,,,,,
[x],arlochunks-z1-goldenqa.arlo.com,"18.244.146.21, 18.244.146.3, 18.244.146.106, 18.244.146.67, 205.251.192.242","ns-1455.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-2039.awsdns-62.co.uk, ns-242.awsdns-30.com, ns-895.awsdns-47.net, ns-1455.awsdns-53.org",d2vor8cj4dnxe7.cloudfront.net,True,cloudfront,,"2600:9000:26de:5e00:1:5d7d:73c0:93a1, 2600:9000:26de:800:1:5d7d:73c0:93a1, 2600:9000:26de:e200:1:5d7d:73c0:93a1, 2600:9000:26de:f000:1:5d7d:73c0:93a1, 2600:9000:26de:4e00:1:5d7d:73c0:93a1, 2600:9000:26de:5800:1:5d7d:73c0:93a1, 2600:9000:26de:6800:1:5d7d:73c0:93a1, 2600:9000:26de:e600:1:5d7d:73c0:93a1",,,
[x],arlochunks-z1-prod.arlo.com,"13.32.27.94, 13.32.27.33, 13.32.27.128, 13.32.27.109","ns-1860.awsdns-40.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1860.awsdns-40.co.uk, ns-420.awsdns-52.com, ns-855.awsdns-42.net, ns-1138.awsdns-14.org",d2oofxykmsw5gi.cloudfront.net,True,cloudfront,,"2600:9000:211e:fc00:13:2755:e880:93a1, 2600:9000:211e:600:13:2755:e880:93a1, 2600:9000:211e:da00:13:2755:e880:93a1, 2600:9000:211e:f600:13:2755:e880:93a1, 2600:9000:211e:5400:13:2755:e880:93a1, 2600:9000:211e:d400:13:2755:e880:93a1, 2600:9000:211e:6e00:13:2755:e880:93a1, 2600:9000:211e:be00:13:2755:e880:93a1",,,
[x],arlochunks-z2-prod.arlo.com,"13.32.145.93, 13.32.145.52, 13.32.145.42, 13.32.145.24",,NOERROR,,d2wr3vjg81t3si.cloudfront.net,True,cloudfront,,"2600:9000:20e1:7c00:14:9b8e:5c80:93a1, 2600:9000:20e1:8200:14:9b8e:5c80:93a1, 2600:9000:20e1:a400:14:9b8e:5c80:93a1, 2600:9000:20e1:ae00:14:9b8e:5c80:93a1, 2600:9000:20e1:b400:14:9b8e:5c80:93a1, 2600:9000:20e1:a800:14:9b8e:5c80:93a1, 2600:9000:20e1:f200:14:9b8e:5c80:93a1, 2600:9000:20e1:b000:14:9b8e:5c80:93a1",,,
[x],arlochunks-z3-goldenqa.arlo.com,"52.85.151.52, 52.85.151.109, 52.85.151.24, 52.85.151.40, 205.251.193.167, 205.251.194.226, 205.251.197.85, 205.251.199.181","ns-423.awsdns-52.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-738.awsdns-28.net, ns-1365.awsdns-42.org, ns-1973.awsdns-54.co.uk, ns-423.awsdns-52.com",d1157tt27r28m7.cloudfront.net,True,cloudfront,,"2600:9000:201e:2000:2:611b:c7c0:93a1, 2600:9000:201e:f800:2:611b:c7c0:93a1, 2600:9000:201e:8600:2:611b:c7c0:93a1, 2600:9000:201e:4400:2:611b:c7c0:93a1, 2600:9000:201e:e600:2:611b:c7c0:93a1, 2600:9000:201e:ee00:2:611b:c7c0:93a1, 2600:9000:201e:f000:2:611b:c7c0:93a1, 2600:9000:201e:e200:2:611b:c7c0:93a1",,,
[x],arlochunks-z3-prod.arlo.com,"108.138.64.21, 108.138.64.69, 108.138.64.45, 108.138.64.27, 205.251.192.173, 205.251.194.51, 205.251.196.119, 205.251.199.42","ns-1834.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-563.awsdns-06.net, ns-1834.awsdns-37.co.uk, ns-173.awsdns-21.com, ns-1143.awsdns-14.org",d3mgyu1hkir2gz.cloudfront.net,True,cloudfront,,"2600:9000:2508:1a00:13:1a6d:d0c0:93a1, 2600:9000:2508:5000:13:1a6d:d0c0:93a1, 2600:9000:2508:aa00:13:1a6d:d0c0:93a1, 2600:9000:2508:2600:13:1a6d:d0c0:93a1, 2600:9000:2508:1c00:13:1a6d:d0c0:93a1, 2600:9000:2508:3e00:13:1a6d:d0c0:93a1, 2600:9000:2508:9c00:13:1a6d:d0c0:93a1, 2600:9000:2508:f000:13:1a6d:d0c0:93a1",,,
