new,host,a,aaaa,soa,has_internal_ips,internal_ips,status_code,cdn,cdn-name,ns,cname,txt,caa,mx
[x],available-vip-zxtm-171.dailymotion.com,195.8.215.171,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-173.dailymotion.com,195.8.215.173,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-178.dailymotion.com,195.8.215.178,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-179.dailymotion.com,195.8.215.179,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-180.dailymotion.com,,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-181.dailymotion.com,,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-182.dailymotion.com,195.8.215.182,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-183.dailymotion.com,195.8.215.183,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-184.dailymotion.com,195.8.215.184,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-185.dailymotion.com,195.8.215.185,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-187.dailymotion.com,195.8.215.187,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-189.dailymotion.com,195.8.215.189,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-190.dailymotion.com,195.8.215.190,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-191.dailymotion.com,195.8.215.191,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],awn-pni.sg1.dailymotion.com,103.195.32.205,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],b.dailymotion.com,195.8.214.2,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],backup.publish.dailymotion.com,"188.65.124.42, 188.65.124.40, 188.65.124.44",,"a.dailymotion.com, root.dailymotion.com",,,NOERROR,,,,backuppublish.geo.dmcdn.net,,,
[x],bahamazingexperiences.dailymotion.com,213.186.33.16,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],bounce-01.dc3.dailymotion.com,195.8.215.199,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],bounce.dc3.dailymotion.com,195.8.215.199,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],bounce.vty.dailymotion.com,,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],bproxy-01-01.dc3.dailymotion.com,195.8.215.195,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],bproxy-01-01.ix7.dailymotion.com,195.8.215.200,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],bproxy-02-01.dc3.dailymotion.com,195.8.215.215,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],bproxy-02-01.ix7.dailymotion.com,195.8.215.214,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],bproxy-02-02.ix7.dailymotion.com,195.8.215.216,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],business.dailymotion.com,188.65.124.64,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,ingress-01-pub-prod.vip.dailymotion.com,,,
[x],c.dailymotion.com,195.8.214.53,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],careers.dailymotion.com,188.65.124.64,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,ingress-01-pub-prod.vip.dailymotion.com,,,
[x],cargo-01.ext.dc3.dailymotion.com,188.65.121.229,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],cargo-02.ext.dc3.dailymotion.com,188.65.121.230,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],cast-dev.dailymotion.com,"216.239.38.21, 216.239.32.21, 216.239.34.21, 216.239.36.21",,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],cast.dailymotion.com,"216.239.36.21, 216.239.38.21, 216.239.34.21, 216.239.32.21",,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],cdn-feed-dc3.vip.dailymotion.com,188.65.124.6,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],cdn-feed-ix7.vip.dailymotion.com,188.65.124.14,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],cdn-feed.vip.dailymotion.com,"188.65.124.14, 188.65.124.6",,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],cdn.dailymotion.com,188.65.124.90,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,"geo.dailymotion.com, www.dailymotion.com, dmwww.geo.dmcdn.net, fp.dc3.dailymotion.com",,,
[x],cdnlb-02.ix7.dailymotion.com,188.65.124.9,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],cdnlb-03.dc3.dailymotion.com,188.65.124.5,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],chunghwa-pni.sg1.dailymotion.com,103.195.32.225,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],chunghwa-sg1-pni.sg1.dailymotion.com,103.195.32.225,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],ci-dev.dm.gg,195.8.215.143,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],ci-prod.dm.gg,195.8.215.143,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],ci-test.dm.gg,195.8.215.143,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],cifamily-filter.stage-14.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],controlfamily-filter.stage-41.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],core-01.nyc.dailymotion.com,198.54.201.254,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,lo0.core-01.nyc.dailymotion.com,,,
[x],core-01.sg1.dailymotion.com,103.195.32.250,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,lo0.core-01.sg1.dailymotion.com,,,
[x],core-01.sv4.dailymotion.com,,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,lo0.core-01.sv4.dailymotion.com,,,
[x],core-01.sv6.equinix-ix.dailymotion.com,198.32.176.151,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],core-01.vty.dailymotion.com,188.65.120.1,2a03:d1c7::1,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,lo0.core-01.vty.dailymotion.com,,,
[x],core-02.dc3.dailymotion.com,188.65.120.2,2a03:d1c7::2,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,lo0.core-02.dc3.dailymotion.com,,,
[x],core-03.ix7.dailymotion.com,188.65.120.3,2a03:d1c7::3,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,lo0.core-03.ix7.dailymotion.com,,,
[x],corp.dailymotion.com,,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,"a.dailymotion.com, b.dailymotion.com",,,,
[x],corpostatic.dailymotion.com,188.65.124.64,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,ingress-01-pub-prod.vip.dailymotion.com,,,
[x],crproxy-01.dc3.dailymotion.com,195.8.215.202,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],crproxy-01.ix7.dailymotion.com,195.8.215.223,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],crproxy.dailymotion.com,195.8.215.192,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],dailymotionadvertising.com,188.65.124.64,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,"a.dailymotion.com, b.dailymotion.com",,,,
[x],dailymotionadvertising.dmxleo.com,,,"ns-357.awsdns-44.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
[x],data-analysts-tools.data-kub.gcp.dailymotion.com,35.224.156.142,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,True,google,,ingress-data-backbone-prod.gcp.dailymotion.com,,,
[x],data-analysts-tools.data-kub.stage.gcp.dailymotion.com,35.225.21.201,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,True,google,,ingress-data-backbone-stg.gcp.dailymotion.com,,,
[x],data-analytics-ssl.data-kub.dev.gcp.dailymotion.com,34.66.180.251,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,True,google,,ingress-data-backbone-dev.gcp.dailymotion.com,,,
[x],data-analytics-ssl.data-kub.gcp.dailymotion.com,35.224.156.142,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,True,google,,ingress-data-backbone-prod.gcp.dailymotion.com,,,
[x],data-analytics-ssl.data-kub.stage.gcp.dailymotion.com,35.225.21.201,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,True,google,,ingress-data-backbone-stg.gcp.dailymotion.com,,,
[x],data-kub.dev.gcp.dailymotion.com,,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],data-kub.gcp.dailymotion.com,,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],data-kub.stage.gcp.dailymotion.com,,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],data-ssa-ws.data-kub.dev.gcp.dailymotion.com,34.66.180.251,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,True,google,,ingress-data-backbone-dev.gcp.dailymotion.com,,,
[x],data-tagme-rest-api.data-kub.dev.gcp.dailymotion.com,34.66.180.251,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,True,google,,ingress-data-backbone-dev.gcp.dailymotion.com,,,
[x],data-tagme-rest-api.data-kub.gcp.dailymotion.com,35.224.156.142,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,True,google,,ingress-data-backbone-prod.gcp.dailymotion.com,,,
[x],datacollectiongenerator-uswest1.dmxleo.com,0.0.0.0,::,"fake-for-negative-caching.adguard.com, hostmaster.datacollectiongenerator-uswest1.dmxleo.com",True,0.0.0.0,NOERROR,,,,,,,
[x],daysoff.dailymotion.com,195.8.215.192,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,crproxy.dailymotion.com,,,
[x],dc3.test.dailymotion.com,195.8.215.225,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],developer.preprod.dailymotion.com,195.8.215.142,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,preprod.dailymotion.com,,,
[x],developer.stage-01.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-02.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-03.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-04.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-06.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-07.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-08.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-09.dailymotion.com,,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-10.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-11.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-13.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-14.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-17.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-23.dailymotion.com,,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-24.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-25.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-29.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-30.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-32.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-33.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-34.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-35.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,"stage-35.dailymotion.com, stages.dailymotion.com",,,
[x],developer.stage-36.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-38.dailymotion.com,,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-40.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-44.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-45.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-47.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-48.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-49.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-51.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-52.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-55.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-56.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-59.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-61.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-62.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-63.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-64.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-65.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-66.dailymotion.com,,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-67.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-68.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developer.stage-69.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],developers.dailymotion.com,188.65.124.64,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,ingress-01-pub-prod.vip.dailymotion.com,,,
[x],dist.mar.dailymotion.com,185.123.26.170,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],dm.gg,,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,"b.dailymotion.com, a.dailymotion.com",,ryxkq8m04zw54dbrmtv379ztt3pycyq1,"Digicert.com, sectigo.com, letsencrypt.org","mx-01.ix7.dailymotion.com, mx-01.dc3.dailymotion.com"
[x],dmapi.geo.dmcdn.net,188.65.124.92,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,fp.ix7.dailymotion.com,,,
[x],dmcdn.net,195.8.215.136,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,"b.dailymotion.com, a.dailymotion.com",,v=spf1 -all,,
[x],dmexco2019.dmxleo.com,0.0.0.0,::,"fake-for-negative-caching.adguard.com, hostmaster.dmexco2019.dmxleo.com",True,0.0.0.0,NOERROR,,,,,,,
[x],dmvod-sandbox.dailymotion.com,54.247.174.200,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],dmvpn.geo.dmcdn.net,"188.65.121.191, 188.65.121.190",,"a.dailymotion.com, root.dailymotion.com",,,NOERROR,,,"b.dailymotion.com, a.dailymotion.com",,,,
[x],dmwww.geo.dmcdn.net,195.8.215.137,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,fp.dc3.dailymotion.com,,,
[x],dmxleo.dailymotion.com,198.54.201.131,,"ns-357.awsdns-44.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,public-prod-dailymotion-addirector.dmxleo.com,,,
[x],dns-01.dailymotion.com,195.8.214.1,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],dns-01.dc3.dailymotion.com,195.8.215.203,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],dns-01.ix7.dailymotion.com,195.8.215.240,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],dns-01.nyc.dailymotion.com,198.54.201.100,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],dns-01.sv4.dailymotion.com,198.54.200.100,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],dns-02.ix7.dailymotion.com,195.8.215.241,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],dns-02.nyc.dailymotion.com,198.54.201.101,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],dns-02.sg1.dailymotion.com,103.195.32.102,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],dns-03.dc3.dailymotion.com,195.8.215.209,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],dns-03.ix7.dailymotion.com,195.8.215.242,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],dns-04.dc3.dailymotion.com,195.8.215.211,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],dnsmaster-01.adm.dc3.dailymotion.com,10.190.26.53,,"b.dailymotion.com, admins.dailymotion.com",True,10.190.26.53,NOERROR,,,,,,,
[x],dnsmaster-02.adm.dc3.dailymotion.com,10.190.26.54,,"b.dailymotion.com, admins.dailymotion.com",True,10.190.26.54,NOERROR,,,,,,,
[x],docsdrop.stage-61.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],dorne-legacy.preprod.dailymotion.com,195.8.215.142,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,preprod.dailymotion.com,,,
[x],dorne-legacy.stage-01.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],drmtoken.dailymotion.com,195.8.215.136,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,wwwcname.dailymotion.com,,,
[x],dspcookiematching-prod-onprem-dc3.dmxleo.com,188.65.124.65,,"ns-357.awsdns-44.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
[x],dspcookiematching-prod-onprem-ix7.dmxleo.com,188.65.124.66,,"ns-357.awsdns-44.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
[x],dspcookiematching-prod-onprem-nyc.dmxleo.com,198.54.201.131,,"ns-357.awsdns-44.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
[x],dspcookiematching-prod-onprem-sg1.dmxleo.com,103.195.32.131,,"ns-357.awsdns-44.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
[x],dspcookiematching-prod-onprem-sv4.dmxleo.com,198.54.200.131,,"ns-357.awsdns-44.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
[x],dspcookiematching-staging-cloud-europewest1.dmxleo.com,35.233.16.81,,"ns-357.awsdns-44.com, awsdns-hostmaster.amazon.com",,,NOERROR,True,google,"ns-1238.awsdns-26.org, ns-1914.awsdns-47.co.uk, ns-357.awsdns-44.com, ns-904.awsdns-49.net",,,,
[x],e4test.jenkinsx.dmxleo.com,0.0.0.0,::,"fake-for-negative-caching.adguard.com, hostmaster.e4test.jenkinsx.dmxleo.com",True,0.0.0.0,NOERROR,,,,,,,
[x],ebed-staging.geo.dmcdn.net,10.189.20.36,,"a.dailymotion.com, root.dailymotion.com",True,10.189.20.36,NOERROR,,,"a.dailymotion.com, b.dailymotion.com",,,,
[x],ebed2.dm.gg,188.65.124.59,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],edgefamily-filter.stage-50.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],email.dailymotion.com,195.8.215.192,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,crproxy.dailymotion.com,,,
[x],email.style.stage-23.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],equinix.sg1.dailymotion.com,202.79.197.175,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],et-0-0-2-206.core-03.ix7.dailymotion.com,195.8.214.231,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],et-0-0-2-206.core-04.ix7.dailymotion.com,195.8.214.233,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],et-4-0-2-206.core-01.dc3.dailymotion.com,195.8.214.230,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],et-4-0-2-206.core-02.dc3.dailymotion.com,195.8.214.232,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],eth2-231.gate-02.ix7.dailymotion.com,188.65.121.195,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],eth3-231.gate-01.dc3.dailymotion.com,188.65.121.187,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],evelynnfamily-filter.stage-11.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],ext.dailymotion.com,195.8.215.225,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],faas-prod.dmxleo.com,0.0.0.0,::,"fake-for-negative-caching.adguard.com, hostmaster.faas-prod.dmxleo.com",True,0.0.0.0,NOERROR,True,google,,,,,
[x],family-filter.dailymotion.com,195.8.215.136,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],family-filter.preprod.dailymotion.com,195.8.215.142,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,preprod.dailymotion.com,,,
[x],family-filter.stage-02.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],family-filter.stage-03.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],family-filter.stage-08.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],family-filter.stage-10.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],family-filter.stage-11.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],family-filter.stage-13.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],family-filter.stage-17.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],family-filter.stage-18.dailymotion.com,,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],family-filter.stage-19.dailymotion.com,,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],family-filter.stage-20.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],family-filter.stage-21.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],family-filter.stage-22.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
