input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,csp_domains_,final_url,tls_mismatched,tls_self_signed,tls_expired
eqs.intuit.com,404 - Not found or no permission to access,404,1330,AS31898,ORACLE-BMC-31898,US,147.154.80.0/21,eqs.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-17T00:00:00Z,2023-11-17T23:59:59Z,"CN=eqs.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",eqs.intuit.com,INTUIT INC.,eqs.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,deda4a6cba0880ae9ae2492acd6fac52,c63c15df1097200dcbf36fd7678b593d041f4f46c63622311c5e19c23b067380,ctls,eqs.intuit.com,oracle,443,https://eqs.intuit.com:443,https,,text/html,GET,147.154.51.122,/,-1270699277,147.154.51.122,HSTS,33,False,True,,,,,,
erm.api.intuit.com,,404,,AS16509,AS16509,Unknown,44.224.0.0/11,erm.api.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-22T00:00:00Z,2024-05-22T23:59:59Z,"CN=*.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",*.intuit.com,INTUIT INC.,*.quickbooks.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e86272bad55eb3a990f343ada64c1f80,affc00fa56bb166f1d35459c7a36a6feb4b2a11b774941abc388221a68614a27,ctls,erm.api.intuit.com,,443,https://erm.api.intuit.com:443,https,envoy,text/plain,GET,44.239.82.116,/,-1840324437,34.216.169.11,HSTS,1,False,,True,,,True,,
errorresolver.api.intuit.com,,404,,AS16509,AS16509,Unknown,52.40.0.0/14,errorresolver.api.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-22T00:00:00Z,2024-05-22T23:59:59Z,"CN=*.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",*.intuit.com,INTUIT INC.,*.quickbooks.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e86272bad55eb3a990f343ada64c1f80,affc00fa56bb166f1d35459c7a36a6feb4b2a11b774941abc388221a68614a27,ctls,errorresolver.api.intuit.com,,443,https://errorresolver.api.intuit.com:443,https,envoy,text/plain,GET,52.24.81.112,/,-1840324437,34.216.169.11,HSTS,1,False,,True,,,True,,
ersappui.api.intuit.com,,404,,AS16509,AS16509,Unknown,35.160.0.0/13,ersappui.api.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-22T00:00:00Z,2024-05-22T23:59:59Z,"CN=*.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",*.intuit.com,INTUIT INC.,*.quickbooks.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e86272bad55eb3a990f343ada64c1f80,affc00fa56bb166f1d35459c7a36a6feb4b2a11b774941abc388221a68614a27,ctls,ersappui.api.intuit.com,,443,https://ersappui.api.intuit.com:443,https,envoy,text/plain,GET,35.162.210.148,/,-1840324437,35.162.118.125,HSTS,1,False,,True,,,True,,
esign.platform.intuit.com,,404,,AS16509,AS16509,Unknown,54.200.0.0/14,esign.platform.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-22T00:00:00Z,2024-05-22T23:59:59Z,"CN=*.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",*.intuit.com,INTUIT INC.,*.quickbooks.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e86272bad55eb3a990f343ada64c1f80,affc00fa56bb166f1d35459c7a36a6feb4b2a11b774941abc388221a68614a27,ctls,esign.platform.intuit.com,,443,https://esign.platform.intuit.com:443,https,envoy,text/plain,GET,54.201.189.87,/,-1840324437,52.24.77.207,HSTS,1,False,,True,,,True,,
eu-west-1-prd.edgeservice.a.intuit.com,503 Service Temporarily Unavailable,503,162,AS16509,AS16509,Unknown,54.64.0.0/12,eu-west-1-prd.edgeservice.a.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-02T00:00:00Z,2023-10-03T23:59:59Z,"CN=edgeservice.a.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",edgeservice.a.intuit.com,INTUIT INC.,eu-west-1-prd.edgeservice.a.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,dea2a19dc496ddbd9c909a1048fc0137,5a7793ef69a00da62e87c0893f23931514ac90ca378489381936ad273c0c6f8b,ctls,eu-west-1-prd.edgeservice.a.intuit.com,,443,https://eu-west-1-prd.edgeservice.a.intuit.com:443,https,awselb/2.0,text/html,GET,54.76.40.128,/,1862162275,54.76.40.128,,7,False,,,,,,,
eventbridge.api.intuit.com,,404,,AS16509,AS16509,Unknown,44.224.0.0/11,eventbridge.api.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-22T00:00:00Z,2024-05-22T23:59:59Z,"CN=*.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",*.intuit.com,INTUIT INC.,*.quickbooks.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e86272bad55eb3a990f343ada64c1f80,affc00fa56bb166f1d35459c7a36a6feb4b2a11b774941abc388221a68614a27,ctls,eventbridge.api.intuit.com,,443,https://eventbridge.api.intuit.com:443,https,envoy,text/plain,GET,44.239.82.116,/,-1840324437,54.69.69.209,HSTS,1,False,,True,,,True,,
eventbus-e2e.api.intuit.com,,404,,AS16509,AS16509,Unknown,18.116.0.0/14,eventbus-e2e.api.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-29T23:59:59Z,"CN=*.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",*.intuit.com,INTUIT INC.,*.payments.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2ad53bde3a55c74520a48dc1810e686a,c32145d97cb4b77ee48bcbfb0057c3ae4e33063777db122c71e0010f40e0e003,ctls,eventbus-e2e.api.intuit.com,,443,https://eventbus-e2e.api.intuit.com:443,https,istio-envoy,text/plain,GET,18.117.36.191,/,-1840324437,3.14.243.208,HSTS,1,False,,True,,,True,,
eventbus-e2e.intuit.com,,200,2,AS16509,AS16509,Unknown,100.20.0.0/14,eventbus-e2e.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-04-02T23:59:59Z,"CN=eventbus-e2e.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",eventbus-e2e.intuit.com,INTUIT INC.,eventbusiks-e2e.a.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,616d1ed44156482f9f53ce509451e938,08c9e16e73d1c1619e76b0270dbae31f73cd22846a388b64fd8bab6b87f52a8f,ctls,eventbus-e2e.intuit.com,,443,https://eventbus-e2e.intuit.com:443,https,IKS2,text/plain,GET,100.20.35.203,/,901816884,35.161.227.18,HSTS,1,False,,,,,,,
eventbus.a.intuit.com,,200,2,AS16509,AS16509,Unknown,35.80.0.0/12,eventbus.a.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-04-02T23:59:59Z,"CN=trinity.platform.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",trinity.platform.intuit.com,INTUIT INC.,eventbus.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,19256f9b6fb2b9349ecdaec42e8f7a74,9d3a3f1475d4f74ac6d0d9f1de308f772a6cbdf8a51085b1c43e190043828217,ctls,eventbus.a.intuit.com,,443,https://eventbus.a.intuit.com:443,https,Jetty,text/plain,GET,35.81.27.101,/,-1840324437,44.232.89.38,Jetty,1,False,,True,,,,,
eventbus.intuit.com,,200,2,AS16509,AS16509,Unknown,52.40.0.0/14,eventbus.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-04-02T23:59:59Z,"CN=trinity.platform.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",trinity.platform.intuit.com,INTUIT INC.,eventbus.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,19256f9b6fb2b9349ecdaec42e8f7a74,9d3a3f1475d4f74ac6d0d9f1de308f772a6cbdf8a51085b1c43e190043828217,ctls,eventbus.intuit.com,,443,https://eventbus.intuit.com:443,https,Jetty,text/plain,GET,52.41.68.86,/,-1840324437,44.239.253.132,Jetty,1,False,,True,,,,,
eventbusue2.a.intuit.com,,200,2,AS16509,AS16509,Unknown,3.28.0.0/15,eventbusue2.a.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-12T00:00:00Z,2024-04-02T23:59:59Z,"CN=trinity.platform.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",trinity.platform.intuit.com,INTUIT INC.,ixp.eventbus.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9603322095588c11e537cee9b8e3234b,7932f739b31ae5e9d132c6f0b5657a23b7343b9aa1870f8d37ccb967fbefd52f,ctls,eventbusue2.a.intuit.com,,443,https://eventbusue2.a.intuit.com:443,https,Jetty,text/plain,GET,3.20.184.252,/,-1840324437,18.218.70.148,Jetty,1,False,,True,,,True,,
eventbusue2.api.intuit.com,,404,,AS16509,AS16509,Unknown,52.16.0.0/14,eventbusue2.api.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-22T00:00:00Z,2024-05-22T23:59:59Z,"CN=*.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",*.intuit.com,INTUIT INC.,*.quickbooks.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e86272bad55eb3a990f343ada64c1f80,affc00fa56bb166f1d35459c7a36a6feb4b2a11b774941abc388221a68614a27,ctls,eventbusue2.api.intuit.com,,443,https://eventbusue2.api.intuit.com:443,https,envoy,text/plain,GET,52.14.204.175,/,-1840324437,3.136.72.192,HSTS,1,False,,True,,,True,,
eventmgmt.api.intuit.com,,404,,AS16509,AMAZON-02,US,44.235.216.0/24,eventmgmt.api.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-22T00:00:00Z,2024-05-22T23:59:59Z,"CN=*.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",*.intuit.com,INTUIT INC.,*.quickbooks.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e86272bad55eb3a990f343ada64c1f80,affc00fa56bb166f1d35459c7a36a6feb4b2a11b774941abc388221a68614a27,ctls,eventmgmt.api.intuit.com,,443,https://eventmgmt.api.intuit.com:443,https,,text/plain,GET,44.229.54.246,/,-1840324437,34.210.160.110,,1,False,,True,,,True,,
ews.intuit.com,404 Not Found,404,141,AS16509,AMAZON-02,US,54.184.0.0/13,ews.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T00:00:00Z,2024-05-16T23:59:59Z,"CN=ews-billingcomm.payrollprdusw2.iks2.a.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",ews-billingcomm.payrollprdusw2.iks2.a.intuit.com,INTUIT INC.,ewslogincallback.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c0a81642d29caa6f039f2fec15c85e8d,dc39e85432bf2f28d254fed3e2a599a32abc5af76e119794d8942d8664b217ab,ctls,ews.intuit.com,,443,https://ews.intuit.com:443,https,,text/html,GET,54.191.83.188,/,-599825794,52.88.54.157,Java,6,False,,,,https://ews.intuit.com/dispatch-dt-adapter/,,,
ewslogincallback.intuit.com,404 Not Found,404,141,AS16509,AS16509,Unknown,52.40.0.0/14,ewslogincallback.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T00:00:00Z,2024-05-16T23:59:59Z,"CN=ews-billingcomm.payrollprdusw2.iks2.a.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",ews-billingcomm.payrollprdusw2.iks2.a.intuit.com,INTUIT INC.,ewslogincallback.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c0a81642d29caa6f039f2fec15c85e8d,dc39e85432bf2f28d254fed3e2a599a32abc5af76e119794d8942d8664b217ab,ctls,ewslogincallback.intuit.com,,443,https://ewslogincallback.intuit.com:443,https,,text/html,GET,52.41.192.42,/,-599825794,54.191.83.188,Java,6,False,,,,https://ewslogincallback.intuit.com/dispatch-dt-adapter/,,,
ewsweb.iks.intuit.com,404 Not Found,404,141,AS16509,AS16509,Unknown,52.88.0.0/15,ewsweb.iks.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T00:00:00Z,2024-05-16T23:59:59Z,"CN=ews-billingcomm.payrollprdusw2.iks2.a.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",ews-billingcomm.payrollprdusw2.iks2.a.intuit.com,INTUIT INC.,ewslogincallback.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c0a81642d29caa6f039f2fec15c85e8d,dc39e85432bf2f28d254fed3e2a599a32abc5af76e119794d8942d8664b217ab,ctls,ewsweb.iks.intuit.com,,443,https://ewsweb.iks.intuit.com:443,https,,text/html,GET,52.88.54.157,/,-599825794,52.41.192.42,Java,6,False,,,,https://ewsweb.iks.intuit.com/dispatch-dt-adapter/,,,
expensepro.intuit.com,About • Culture • Corporate Responsibility •  Press • Investors | Intuit,200,497431,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,www.intuit.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-27T00:00:00Z,2024-01-24T23:59:59Z,"CN=mktg.intuit.com, O=Intuit Inc., L=San Diego, ST=California, C=US",mktg.intuit.com,Intuit Inc.,accountants.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7aa97b60139d6bae946f566b083822b4,4a4d94f18f8d5189c443301db650e26e1836122fb876bebe933ce1bd82079c5f,ctls,www.intuit.com,,443,https://expensepro.intuit.com:443,https,AmazonS3,text/html,GET,2.16.91.11,/,-1528545546,2.16.91.24,HSTS,99,False,,,*.intuit.com,https://www.intuit.com/company/,,,
experience.intuit.com,Intuit - Experience Center,200,16054,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,experience.intuit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-14T23:59:59Z,CN=*.intuit.com,*.intuit.com,,intuit.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8e6ce6c6e476250179ca3b32a8fba087,0c4c9cd27c9a9c06e56a5dace0ccdb280b6e4a16ef8c057fd0b64d95c2674c7d,ctls,experience.intuit.com,cloudfront,443,https://experience.intuit.com:443,https,AmazonS3,text/html,GET,108.138.7.44,/,1308895911,2600:9000:2490:1200:3:fcaf:d440:93a1,Bootstrap:5.1.3,363,False,True,True,,,,,
experimentation-preprod.au.api.intuit.com,,403,23,AS16509,AS16509,Unknown,54.154.0.0/15,experimentation-preprod.au.api.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-01-31T23:59:59Z,CN=experimentation-preprod.au.api.intuit.com,experimentation-preprod.au.api.intuit.com,,qal.au.experimentation-preprod.a.intuit.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,dea8226ada85ea1181eec74c069fcdf1,2bd02971f4a69b51c836a8c1630c808dc129dff00668f5cc3a7401ef9a1fdf2b,ctls,experimentation-preprod.au.api.intuit.com,,443,https://experimentation-preprod.au.api.intuit.com:443,https,,application/json,GET,54.153.174.154,/,968070783,54.66.157.161,,1,False,,,,,,,
experimentation-preprod.ca.api.intuit.com,,403,23,AS14618,AMAZON-AES,US,34.232.160.0/23,experimentation-preprod.ca.api.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-22T00:00:00Z,2023-08-22T23:59:59Z,"CN=experimentation-preprod.ca.api.intuit.com, OU=Technology Operations, O=INTUIT INC., L=San Diego, ST=California, C=US",experimentation-preprod.ca.api.intuit.com,INTUIT INC.,qal.ca.experimentation-preprod.a.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,bcb476d8f2d94136f4cf147c58bed45d,211926d652b1329179dfcbba4cac8cd54ba3db771f5e49358b1adcd71d17a703,ctls,experimentation-preprod.ca.api.intuit.com,,443,https://experimentation-preprod.ca.api.intuit.com:443,https,,application/json,GET,34.224.177.12,/,968070783,34.228.67.96,,1,False,,,,,,,
experimentation-preprod.uk.api.intuit.com,,403,23,AS16509,AS16509,Unknown,34.240.0.0/12,experimentation-preprod.uk.api.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-04T00:00:00Z,2024-04-03T23:59:59Z,"CN=experimentation-preprod.uk.api.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",experimentation-preprod.uk.api.intuit.com,INTUIT INC.,qal.uk.experimentation-preprod.a.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,744647d195d78d57646758189965c291,503f53f6fa986c10efea115759b6420694168396805f47b15ba489b66a67192c,ctls,experimentation-preprod.uk.api.intuit.com,,443,https://experimentation-preprod.uk.api.intuit.com:443,https,,application/json,GET,34.252.42.28,/,968070783,34.242.102.163,,1,False,,,,,,,
experimentation-preprod.us.api.intuit.com,,403,23,AS16509,AMAZON-02,US,44.235.216.0/24,experimentation-preprod.us.api.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-22T00:00:00Z,2023-08-22T23:59:59Z,"CN=experimentation-preprod.us.api.intuit.com, OU=Technology Operations, O=INTUIT INC., L=San Diego, ST=California, C=US",experimentation-preprod.us.api.intuit.com,INTUIT INC.,*.us.experimentation-preprod.a.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cb8eb69f5026e7c8d4cb400d1bbb5bef,45ace2cae696f6e3044b996c989c2a7cbf294322b10de242ac2170adcf478c25,ctls,experimentation-preprod.us.api.intuit.com,,443,https://experimentation-preprod.us.api.intuit.com:443,https,,application/json,GET,44.229.77.222,/,968070783,44.240.123.29,,1,False,,True,,,,,
experimentation.ca.api.intuit.com,,403,42,AS14618,AMAZON-AES,US,54.172.0.0/14,experimentation.ca.api.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-22T00:00:00Z,2023-08-22T23:59:59Z,"CN=experimentation.ca.api.intuit.com, OU=Technology Operations, O=INTUIT INC., L=San Diego, ST=California, C=US",experimentation.ca.api.intuit.com,INTUIT INC.,*.ca.experimentation.a.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,644d6b963cf6de7434ee359c45e9aa1f,dd031c7a7906f76acd3537dd8eafaaef1a6dc02c9ad6eee7aa38d2d3622ca021,ctls,experimentation.ca.api.intuit.com,,443,https://experimentation.ca.api.intuit.com:443,https,,application/json,GET,54.175.159.222,/,768769774,54.145.109.138,,1,False,,True,,,,,
experimentation.uk.api.intuit.com,,403,42,AS16509,AS16509,Unknown,18.200.0.0/14,experimentation.uk.api.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-09T00:00:00Z,2024-04-08T23:59:59Z,"CN=experimentation.uk.api.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",experimentation.uk.api.intuit.com,INTUIT INC.,prd.uk.experimentation.a.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b565223193d10f0c81f925598418db8c,c8ee36c992f86d7bc4e495a6ca98a0e941ba0f67997486562ebb2f93babd1b01,ctls,experimentation.uk.api.intuit.com,,443,https://experimentation.uk.api.intuit.com:443,https,,application/json,GET,18.202.148.32,/,768769774,52.210.190.102,,1,False,,,,,,,
experimentation.us.api.intuit.com,,403,42,AS16509,AS16509,Unknown,52.40.0.0/14,experimentation.us.api.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-22T00:00:00Z,2023-08-22T23:59:59Z,"CN=experimentation.us.api.intuit.com, OU=Technology Operations, O=INTUIT INC., L=San Diego, ST=California, C=US",experimentation.us.api.intuit.com,INTUIT INC.,*.us.experimentation.a.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,043c5a1550563650b66c78a084ea6919,bbabda8fbdd358efc74770af509826750900a3a90467579d91a15c1909cbd6ff,ctls,experimentation.us.api.intuit.com,,443,https://experimentation.us.api.intuit.com:443,https,,application/json,GET,52.37.2.89,/,768769774,52.27.23.160,,1,False,,True,,,,,
expert-community.intuit.com,ssoredirect - Intuit Experts,200,22864,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,expert-community.intuit.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-07T00:00:00Z,2023-06-08T23:59:59Z,"CN=expert-community.intuit.com, O=Intuit Inc., L=San Diego, ST=California, C=US",expert-community.intuit.com,Intuit Inc.,stage.expert-community.pprd.lc.a.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,79fd62bea902a603bcb7c3c0bebd3536,726e2c98b56327c240e5ac09462a256b5389e839041aa450d4de6a18fc930b24,ctls,expert-community.intuit.com,,443,https://expert-community.intuit.com:443,https,Apache,text/html,GET,104.102.51.245,/,1630242184,2a02:26f0:480:58d::39c8,PHP,507,False,,,,https://expert-community.intuit.com:443/community/custom/page/page-id/ssoredirect?redirectreason=notregistered&referer=https%3A%2F%2Fexpert-community.intuit.com%2Fcommunity%2F,,,
expert.api.intuit.com,,404,,AS16509,AS16509,Unknown,3.28.0.0/15,expert.api.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-22T00:00:00Z,2024-05-22T23:59:59Z,"CN=*.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",*.intuit.com,INTUIT INC.,*.quickbooks.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e86272bad55eb3a990f343ada64c1f80,affc00fa56bb166f1d35459c7a36a6feb4b2a11b774941abc388221a68614a27,ctls,expert.api.intuit.com,,443,https://expert.api.intuit.com:443,https,envoy,text/plain,GET,3.23.147.5,/,-1840324437,3.143.50.225,HSTS,1,False,,True,,,True,,
expertmatching.api.intuit.com,,404,,AS16509,AS16509,Unknown,34.208.0.0/12,expertmatching.api.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-22T00:00:00Z,2024-05-22T23:59:59Z,"CN=*.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",*.intuit.com,INTUIT INC.,*.quickbooks.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e86272bad55eb3a990f343ada64c1f80,affc00fa56bb166f1d35459c7a36a6feb4b2a11b774941abc388221a68614a27,ctls,expertmatching.api.intuit.com,,443,https://expertmatching.api.intuit.com:443,https,envoy,text/plain,GET,34.215.155.103,/,-1840324437,44.237.124.146,HSTS,1,False,,True,,,True,,
expertprofile.api.intuit.com,,404,,AS16509,AS16509,Unknown,3.144.0.0/13,expertprofile.api.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-22T00:00:00Z,2024-05-22T23:59:59Z,"CN=*.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",*.intuit.com,INTUIT INC.,*.quickbooks.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e86272bad55eb3a990f343ada64c1f80,affc00fa56bb166f1d35459c7a36a6feb4b2a11b774941abc388221a68614a27,ctls,expertprofile.api.intuit.com,,443,https://expertprofile.api.intuit.com:443,https,envoy,text/plain,GET,3.136.72.192,/,-1840324437,18.190.87.138,HSTS,1,False,,True,,,True,,
